road,random--la17,random--la109,random--la1018,random--la216,random--la219,random--la222,random--la310,random--la323,random--la46,random--la49,random--la53,random--la520,random--la66,random--la610,random--la616,random--la625,random--la626,random--la79,random--la711,random--la719,random--la811,random--la814,random--la816,random--la819,random--la821,random--la822,random--la912,random--la914,random--la918,random--la921
random--la17,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0
random--la109,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0
random--la1018,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la216,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0
random--la219,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0
random--la222,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la310,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la323,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la46,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,1.0,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375
random--la49,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,1.0,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375
random--la53,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,1.0,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375
random--la520,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la66,0.875,0.875,0.8125,0.875,0.875,0.8125,0.8125,0.8125,0.9375,0.9375,0.9375,0.8125,1.0,0.875,0.8125,0.8125,0.8125,0.9375,0.8125,0.875,0.9375,0.9375,0.875,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.875
random--la610,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0
random--la616,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la625,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la626,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la79,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,1.0,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375
random--la711,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0,1.0,0.875,0.875,0.875,1.0,0.8125,0.9375,1.0,1.0,1.0,0.875,1.0,0.9375,0.875,0.875,0.9375,1.0,1.0,1.0,0.9375,0.9375,0.9375,0.9375
random--la719,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,1.0,1.0
random--la811,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,1.0,1.0,0.875,0.9375,0.9375,0.875,0.875,0.875,1.0,0.875,0.9375,1.0,1.0,0.9375,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375
