road,one-plus-o23,one-plus-o211,one-plus-o212,one-plus-o213,one-plus-o216,one-plus-o220,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o226,one-plus-o227,one-plus-o228,one-plus-o243,one-plus-o356,random--la102,random--la1020,random--la1024,random--la26,random--la218,random--la223,random--la47,random--la412,random--la431,random--la526,random--la66,random--la631,random--la638,random--la76,random--la86,random--la87
one-plus-o227,0.77,0.94,0.9299999999999999,0.9529411764705882,0.785,0.95,1.0,0.81,1.0,0.8,1.0,0.975,0.7052631578947368,0.8222222222222222,0.77,0.725,0.7789473684210526,0.7473684210526316,0.765,0.8076923076923077,0.8214285714285714,0.7571428571428571,0.7150000000000001,0.7785714285714286,0.725,0.775,0.7428571428571429,0.7733333333333333,0.75,0.735
one-plus-o228,0.745,0.915,0.905,0.9529411764705882,0.76,0.925,0.975,0.785,0.975,0.775,0.975,1.0,0.7315789473684211,0.8222222222222222,0.745,0.74,0.7789473684210526,0.7315789473684211,0.75,0.7846153846153846,0.8214285714285714,0.7928571428571428,0.6950000000000001,0.7857142857142857,0.735,0.79,0.7785714285714286,0.7666666666666666,0.7777777777777778,0.73
one-plus-o243,0.8105263157894737,0.736842105263158,0.7578947368421053,0.7294117647058824,0.7421052631578947,0.7157894736842105,0.7052631578947368,0.7157894736842105,0.7052631578947368,0.7842105263157895,0.7052631578947368,0.7315789473684211,1.0,0.7888888888888889,0.7526315789473684,0.7842105263157895,0.7894736842105263,0.7052631578947368,0.7578947368421053,0.8153846153846154,0.7857142857142857,0.7357142857142858,0.7526315789473684,0.7571428571428571,0.7157894736842105,0.8052631578947369,0.8,0.7866666666666666,0.7444444444444445,0.7947368421052632
one-plus-o356,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.8222222222222222,0.8222222222222222,0.8,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.8222222222222222,0.7888888888888889,1.0,0.7888888888888889,0.8333333333333334,0.8777777777777778,0.8222222222222222,0.8,0.8,0.7888888888888889,0.7888888888888889,0.7777777777777778,0.8555555555555556,0.8,0.8555555555555556,0.8111111111111111,0.8777777777777778,0.8555555555555556,0.7666666666666666
random--la102,0.7318181818181818,0.78,0.78,0.788235294117647,0.7150000000000001,0.75,0.77,0.72,0.77,0.7318181818181818,0.77,0.745,0.7526315789473684,0.7888888888888889,1.0,0.780952380952381,0.7473684210526316,0.7526315789473684,0.7454545454545455,0.7692307692307692,0.7714285714285715,0.7571428571428571,0.7363636363636363,0.7714285714285715,0.75,0.740909090909091,0.8428571428571429,0.76,0.7666666666666666,0.7545454545454545
random--la1020,0.7904761904761904,0.75,0.75,0.7411764705882353,0.77,0.75,0.725,0.75,0.725,0.780952380952381,0.725,0.74,0.7842105263157895,0.8333333333333334,0.780952380952381,1.0,0.8578947368421053,0.7315789473684211,0.7857142857142857,0.8461538461538461,0.7714285714285715,0.7714285714285715,0.7761904761904762,0.7785714285714286,0.7523809523809524,0.7857142857142857,0.8071428571428572,0.7333333333333334,0.7666666666666666,0.7904761904761904
random--la1024,0.8052631578947369,0.7684210526315789,0.7684210526315789,0.7764705882352941,0.7526315789473684,0.7684210526315789,0.7789473684210526,0.7526315789473684,0.7789473684210526,0.8368421052631578,0.7789473684210526,0.7789473684210526,0.7894736842105263,0.8777777777777778,0.7473684210526316,0.8578947368421053,1.0,0.7473684210526316,0.7894736842105263,0.8153846153846154,0.7714285714285715,0.75,0.7789473684210526,0.7785714285714286,0.7789473684210526,0.7894736842105263,0.7642857142857142,0.74,0.7777777777777778,0.7578947368421053
random--la26,0.7315789473684211,0.7578947368421053,0.7789473684210526,0.788235294117647,0.7894736842105263,0.7736842105263158,0.7473684210526316,0.7631578947368421,0.7473684210526316,0.7526315789473684,0.7473684210526316,0.7315789473684211,0.7052631578947368,0.8222222222222222,0.7526315789473684,0.7315789473684211,0.7473684210526316,1.0,0.7157894736842105,0.7307692307692308,0.7571428571428571,0.7071428571428571,0.7263157894736842,0.7071428571428571,0.7789473684210526,0.8,0.7357142857142858,0.74,0.6888888888888889,0.7315789473684211
random--la218,0.7307692307692308,0.785,0.765,0.7705882352941177,0.735,0.735,0.765,0.735,0.765,0.726923076923077,0.765,0.75,0.7578947368421053,0.8,0.7454545454545455,0.7857142857142857,0.7894736842105263,0.7157894736842105,1.0,0.7769230769230769,0.7785714285714286,0.7785714285714286,0.7347826086956522,0.7857142857142857,0.7583333333333333,0.7954545454545454,0.8142857142857143,0.7666666666666666,0.7833333333333333,0.8
random--la223,0.8153846153846154,0.8615384615384616,0.8615384615384616,0.8384615384615385,0.7846153846153846,0.8076923076923077,0.8076923076923077,0.7846153846153846,0.8076923076923077,0.8153846153846154,0.8076923076923077,0.7846153846153846,0.8153846153846154,0.8,0.7692307692307692,0.8461538461538461,0.8153846153846154,0.7307692307692308,0.7769230769230769,1.0,0.8153846153846154,0.7769230769230769,0.8384615384615385,0.7461538461538462,0.7307692307692308,0.7846153846153846,0.7692307692307692,0.7538461538461538,0.7846153846153846,0.7846153846153846
random--la47,0.7857142857142857,0.8928571428571429,0.8071428571428572,0.85,0.7642857142857142,0.8571428571428572,0.8214285714285714,0.7571428571428571,0.8214285714285714,0.7714285714285715,0.8214285714285714,0.8214285714285714,0.7857142857142857,0.7888888888888889,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7571428571428571,0.7785714285714286,0.8153846153846154,1.0,0.7571428571428571,0.7785714285714286,0.7214285714285714,0.7571428571428571,0.7714285714285715,0.7857142857142857,0.7285714285714286,0.7928571428571428,0.8142857142857143
random--la412,0.7357142857142858,0.7357142857142858,0.75,0.7571428571428571,0.7285714285714286,0.7285714285714286,0.7571428571428571,0.7428571428571429,0.7571428571428571,0.75,0.7571428571428571,0.7928571428571428,0.7357142857142858,0.7888888888888889,0.7571428571428571,0.7714285714285715,0.75,0.7071428571428571,0.7785714285714286,0.7769230769230769,0.7571428571428571,1.0,0.7857142857142857,0.75,0.75,0.7642857142857142,0.7857142857142857,0.7714285714285715,0.75,0.7857142857142857
random--la431,0.7434782608695651,0.745,0.745,0.7294117647058824,0.7150000000000001,0.735,0.7150000000000001,0.71,0.7150000000000001,0.7217391304347827,0.7150000000000001,0.6950000000000001,0.7526315789473684,0.7777777777777778,0.7363636363636363,0.7761904761904762,0.7789473684210526,0.7263157894736842,0.7347826086956522,0.8384615384615385,0.7785714285714286,0.7857142857142857,1.0,0.8142857142857143,0.7695652173913043,0.7954545454545454,0.8071428571428572,0.8066666666666666,0.7166666666666667,0.7391304347826086
random--la526,0.7785714285714286,0.7571428571428571,0.7857142857142857,0.75,0.75,0.7142857142857143,0.7785714285714286,0.7857142857142857,0.7785714285714286,0.8071428571428572,0.7785714285714286,0.7857142857142857,0.7571428571428571,0.8555555555555556,0.7714285714285715,0.7785714285714286,0.7785714285714286,0.7071428571428571,0.7857142857142857,0.7461538461538462,0.7214285714285714,0.75,0.8142857142857143,1.0,0.7571428571428571,0.8,0.7357142857142858,0.7357142857142858,0.7571428571428571,0.7785714285714286
random--la66,0.7333333333333334,0.75,0.73,0.8,0.745,0.71,0.725,0.75,0.725,0.7666666666666666,0.725,0.735,0.7157894736842105,0.8,0.75,0.7523809523809524,0.7789473684210526,0.7789473684210526,0.7583333333333333,0.7307692307692308,0.7571428571428571,0.75,0.7695652173913043,0.7571428571428571,1.0,0.740909090909091,0.75,0.8133333333333334,0.7388888888888889,0.7375
random--la631,0.7545454545454545,0.795,0.825,0.7823529411764706,0.785,0.78,0.775,0.76,0.775,0.7681818181818182,0.775,0.79,0.8052631578947369,0.8555555555555556,0.740909090909091,0.7857142857142857,0.7894736842105263,0.8,0.7954545454545454,0.7846153846153846,0.7714285714285715,0.7642857142857142,0.7954545454545454,0.8,0.740909090909091,1.0,0.7857142857142857,0.7666666666666666,0.7666666666666666,0.7772727272727273
random--la638,0.8071428571428572,0.7928571428571428,0.7928571428571428,0.8,0.8,0.7785714285714286,0.7428571428571429,0.7928571428571428,0.7428571428571429,0.8142857142857143,0.7428571428571429,0.7785714285714286,0.8,0.8111111111111111,0.8428571428571429,0.8071428571428572,0.7642857142857142,0.7357142857142858,0.8142857142857143,0.7692307692307692,0.7857142857142857,0.7857142857142857,0.8071428571428572,0.7357142857142858,0.75,0.7857142857142857,1.0,0.7285714285714286,0.7642857142857142,0.8428571428571429
random--la76,0.8133333333333334,0.7733333333333333,0.7466666666666666,0.7466666666666666,0.7733333333333333,0.74,0.7733333333333333,0.8066666666666666,0.7733333333333333,0.8066666666666666,0.7733333333333333,0.7666666666666666,0.7866666666666666,0.8777777777777778,0.76,0.7333333333333334,0.74,0.74,0.7666666666666666,0.7538461538461538,0.7285714285714286,0.7714285714285715,0.8066666666666666,0.7357142857142858,0.8133333333333334,0.7666666666666666,0.7285714285714286,1.0,0.7133333333333334,0.74
random--la86,0.7777777777777778,0.7611111111111111,0.7611111111111111,0.7470588235294118,0.7833333333333333,0.7666666666666666,0.75,0.7555555555555555,0.75,0.7555555555555555,0.75,0.7777777777777778,0.7444444444444445,0.8555555555555556,0.7666666666666666,0.7666666666666666,0.7777777777777778,0.6888888888888889,0.7833333333333333,0.7846153846153846,0.7928571428571428,0.75,0.7166666666666667,0.7571428571428571,0.7388888888888889,0.7666666666666666,0.7642857142857142,0.7133333333333334,1.0,0.7611111111111111
random--la87,0.7538461538461538,0.755,0.755,0.7294117647058824,0.77,0.735,0.735,0.745,0.735,0.75,0.735,0.73,0.7947368421052632,0.7666666666666666,0.7545454545454545,0.7904761904761904,0.7578947368421053,0.7315789473684211,0.8,0.7846153846153846,0.8142857142857143,0.7857142857142857,0.7391304347826086,0.7785714285714286,0.7375,0.7772727272727273,0.8428571428571429,0.74,0.7611111111111111,1.0
