road,random--la14,random--la108,random--la24,random--la28,random--la214,random--la218,random--la220,random--la35,random--la42,random--la44,random--la412,random--la59,random--la510,random--la517,random--la520,random--la61,random--la63,random--la616,random--la623,random--la625,random--la75,random--la77,random--la79,random--la714,random--la87,random--la818,random--la821,random--la824,random--la92,random--la917
random--la616,0.74609375,0.83203125,0.79296875,0.7109375,0.89453125,0.74609375,0.76953125,0.8203125,0.8125,0.84375,0.83203125,0.8046875,0.8203125,0.875,0.8359375,0.72265625,0.84375,1.0,0.84765625,0.87109375,0.859375,0.74609375,0.78125,0.75390625,0.83984375,0.81640625,0.83203125,0.8203125,0.8671875,0.81640625
random--la623,0.765625,0.78125,0.8046875,0.72265625,0.8515625,0.78125,0.8203125,0.84765625,0.80078125,0.85546875,0.8046875,0.81640625,0.77734375,0.86328125,0.84765625,0.734375,0.84765625,0.84765625,1.0,0.859375,0.85546875,0.7734375,0.78515625,0.8125,0.84375,0.84375,0.8671875,0.79296875,0.87109375,0.8046875
random--la625,0.8046875,0.8515625,0.8515625,0.76953125,0.8671875,0.765625,0.8125,0.83984375,0.81640625,0.85546875,0.84375,0.83984375,0.79296875,0.87109375,0.81640625,0.7734375,0.83203125,0.87109375,0.859375,1.0,0.86328125,0.796875,0.83203125,0.796875,0.84375,0.8515625,0.8671875,0.85546875,0.87890625,0.828125
random--la75,0.73828125,0.83203125,0.79296875,0.703125,0.86328125,0.73828125,0.76953125,0.828125,0.796875,0.828125,0.81640625,0.7890625,0.8125,0.8359375,0.84375,0.74609375,0.859375,0.859375,0.85546875,0.86328125,1.0,0.75390625,0.765625,0.76953125,0.79296875,0.80078125,0.83984375,0.828125,0.875,0.81640625
random--la77,0.8046875,0.7578125,0.8046875,0.80078125,0.7421875,0.875,0.828125,0.80859375,0.82421875,0.78515625,0.7734375,0.80859375,0.76953125,0.80078125,0.76953125,0.796875,0.80078125,0.74609375,0.7734375,0.796875,0.75390625,1.0,0.81640625,0.796875,0.78125,0.828125,0.8046875,0.76953125,0.77734375,0.8046875
random--la79,0.87109375,0.83203125,0.85546875,0.8046875,0.78515625,0.83203125,0.83203125,0.796875,0.765625,0.8203125,0.77734375,0.8046875,0.7578125,0.828125,0.78125,0.80859375,0.796875,0.78125,0.78515625,0.83203125,0.765625,0.81640625,1.0,0.79296875,0.77734375,0.83984375,0.83203125,0.828125,0.8125,0.80859375
random--la714,0.8515625,0.7578125,0.8359375,0.84765625,0.734375,0.8359375,0.8125,0.80859375,0.81640625,0.82421875,0.7265625,0.81640625,0.75390625,0.80859375,0.78515625,0.875,0.79296875,0.75390625,0.8125,0.796875,0.76953125,0.796875,0.79296875,1.0,0.8046875,0.8125,0.8359375,0.82421875,0.77734375,0.8125
random--la87,0.8046875,0.828125,0.8125,0.75390625,0.796875,0.796875,0.796875,0.83203125,0.84765625,0.83984375,0.8125,0.83984375,0.79296875,0.85546875,0.84765625,0.796875,0.83203125,0.83984375,0.84375,0.84375,0.79296875,0.78125,0.77734375,0.8046875,1.0,0.8125,0.8359375,0.83984375,0.82421875,0.828125
random--la818,0.796875,0.7890625,0.8671875,0.76953125,0.84375,0.828125,0.8359375,0.83984375,0.79296875,0.83984375,0.7734375,0.88671875,0.78515625,0.86328125,0.85546875,0.796875,0.85546875,0.81640625,0.84375,0.8515625,0.80078125,0.828125,0.83984375,0.8125,0.8125,1.0,0.8828125,0.83984375,0.83203125,0.8671875
random--la821,0.8125,0.796875,0.828125,0.76171875,0.8359375,0.8046875,0.8203125,0.83203125,0.76953125,0.85546875,0.8046875,0.87109375,0.79296875,0.83203125,0.84765625,0.796875,0.83984375,0.83203125,0.8671875,0.8671875,0.83984375,0.8046875,0.83203125,0.8359375,0.8359375,0.8828125,1.0,0.83984375,0.86328125,0.859375
random--la824,0.81640625,0.86328125,0.83984375,0.796875,0.83984375,0.80078125,0.77734375,0.8203125,0.78125,0.84375,0.80859375,0.8671875,0.796875,0.84375,0.8359375,0.84765625,0.8203125,0.8203125,0.79296875,0.85546875,0.828125,0.76953125,0.828125,0.82421875,0.83984375,0.83984375,0.83984375,1.0,0.8359375,0.85546875
random--la92,0.78515625,0.81640625,0.82421875,0.7265625,0.87890625,0.76953125,0.77734375,0.8671875,0.796875,0.875,0.84765625,0.8359375,0.8125,0.859375,0.859375,0.74609375,0.875,0.8671875,0.87109375,0.87890625,0.875,0.77734375,0.8125,0.77734375,0.82421875,0.83203125,0.86328125,0.8359375,1.0,0.81640625
random--la917,0.78125,0.8515625,0.859375,0.75390625,0.796875,0.8203125,0.796875,0.83984375,0.80078125,0.87890625,0.8203125,0.85546875,0.80078125,0.83984375,0.83984375,0.78125,0.83203125,0.81640625,0.8046875,0.828125,0.81640625,0.8046875,0.80859375,0.8125,0.828125,0.8671875,0.859375,0.85546875,0.81640625,1.0
