road,one-plus-o220,one-plus-o223,random--la112,random--la115,random--la102,random--la107,random--la1018,random--la1020,random--la1021,random--la219,random--la223,random--la229,random--la33,random--la314,random--la318,random--la42,random--la43,random--la411,random--la438,random--la514,random--la519,random--la520,random--la621,random--la637,random--la660,random--la76,random--la727,random--la83,random--la86,random--la87
one-plus-o220,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,0.8125,1.0,0.875,0.8125,0.6875,0.875,0.875,0.875,1.0,1.0,1.0,0.875,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.875,0.875,0.875,0.875
one-plus-o223,0.9375,1.0,0.8125,0.1875,0.9375,0.8125,0.9375,0.75,0.9375,0.8125,0.75,0.625,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.875,0.875,0.9375,0.875,0.8125,0.875,0.9375,0.9375,0.9375,0.9375
random--la112,0.875,0.8125,1.0,0.375,0.875,0.875,0.875,0.8125,0.875,0.875,0.6875,0.5625,0.875,0.875,0.875,0.875,0.875,0.875,1.0,0.875,0.8125,0.9375,0.875,0.9375,0.875,0.8125,0.875,0.875,0.875,0.875
random--la115,0.25,0.1875,0.375,1.0,0.25,0.375,0.25,0.4375,0.25,0.375,0.4375,0.5625,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.25,0.3125,0.3125,0.25,0.3125,0.375,0.3125,0.25,0.25,0.25,0.25
random--la102,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,0.8125,1.0,0.875,0.8125,0.6875,0.875,0.875,0.875,1.0,1.0,1.0,0.875,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.875,0.875,0.875,0.875
random--la107,0.875,0.8125,0.875,0.375,0.875,1.0,0.875,0.6875,0.875,0.875,0.6875,0.5625,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,0.875,0.8125,0.75,0.8125,0.75,0.75,0.75,0.75
random--la1018,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,0.8125,1.0,0.875,0.8125,0.6875,0.875,0.875,0.875,1.0,1.0,1.0,0.875,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.875,0.875,0.875,0.875
random--la1020,0.8125,0.75,0.8125,0.4375,0.8125,0.6875,0.8125,1.0,0.8125,0.8125,0.875,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.875,0.9375,0.875,0.8125,0.8125,0.8125,0.8125
random--la1021,1.0,0.9375,0.875,0.25,1.0,0.875,1.0,0.8125,1.0,0.875,0.8125,0.6875,0.875,0.875,0.875,1.0,1.0,1.0,0.875,1.0,0.9375,0.9375,1.0,0.9375,0.875,0.9375,0.875,0.875,0.875,0.875
random--la219,0.875,0.8125,0.875,0.375,0.875,0.875,0.875,0.8125,0.875,1.0,0.8125,0.6875,0.75,0.75,0.75,0.875,0.875,0.875,0.875,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.9375,0.75,0.75,0.75,0.75
