road,one-plus-o220,one-plus-o223,random--la112,random--la115,random--la102,random--la107,random--la1018,random--la1020,random--la1021,random--la219,random--la223,random--la229,random--la33,random--la314,random--la318,random--la42,random--la43,random--la411,random--la438,random--la514,random--la519,random--la520,random--la621,random--la637,random--la660,random--la76,random--la727,random--la83,random--la86,random--la87
random--la411,0.7890625,0.734375,0.734375,0.6328125,0.78515625,0.7734375,0.75,0.765625,0.73046875,0.73828125,0.73828125,0.71875,0.68359375,0.75390625,0.734375,0.78515625,0.74609375,1.0,0.75390625,0.7734375,0.77734375,0.7734375,0.75390625,0.77734375,0.76953125,0.77734375,0.7421875,0.74609375,0.77734375,0.75
random--la438,0.71484375,0.73828125,0.75390625,0.73828125,0.7421875,0.80078125,0.79296875,0.78515625,0.78125,0.7578125,0.7578125,0.79296875,0.7109375,0.7578125,0.73828125,0.765625,0.796875,0.75390625,1.0,0.78515625,0.765625,0.80859375,0.75,0.75,0.78125,0.796875,0.73828125,0.734375,0.765625,0.73828125
random--la514,0.75,0.7265625,0.78125,0.65625,0.83984375,0.84375,0.765625,0.796875,0.76171875,0.76953125,0.74609375,0.75,0.73046875,0.80078125,0.7421875,0.80859375,0.83203125,0.7734375,0.78515625,1.0,0.79296875,0.8125,0.79296875,0.77734375,0.76953125,0.77734375,0.7890625,0.79296875,0.74609375,0.765625
random--la519,0.70703125,0.78515625,0.73828125,0.68359375,0.78125,0.78515625,0.74609375,0.80078125,0.75,0.7578125,0.84375,0.77734375,0.71875,0.7421875,0.74609375,0.796875,0.796875,0.77734375,0.765625,0.79296875,1.0,0.79296875,0.7890625,0.8046875,0.8203125,0.8203125,0.79296875,0.796875,0.796875,0.77734375
random--la520,0.71875,0.75,0.78125,0.6796875,0.76171875,0.8046875,0.71875,0.78125,0.76171875,0.72265625,0.75390625,0.734375,0.68359375,0.76953125,0.7421875,0.76953125,0.78515625,0.7734375,0.80859375,0.8125,0.79296875,1.0,0.73046875,0.73046875,0.79296875,0.76171875,0.765625,0.76953125,0.74609375,0.75
random--la621,0.72265625,0.75390625,0.76953125,0.68359375,0.734375,0.76953125,0.76953125,0.76953125,0.828125,0.7578125,0.7578125,0.75390625,0.71875,0.71875,0.80078125,0.8125,0.765625,0.75390625,0.75,0.79296875,0.7890625,0.73046875,1.0,0.78125,0.8125,0.765625,0.79296875,0.78125,0.7734375,0.78515625
random--la637,0.74609375,0.75390625,0.73046875,0.66015625,0.796875,0.76171875,0.77734375,0.80078125,0.7578125,0.7109375,0.7890625,0.76953125,0.8046875,0.765625,0.76953125,0.8046875,0.796875,0.77734375,0.75,0.77734375,0.8046875,0.73046875,0.78125,1.0,0.8125,0.84375,0.81640625,0.7265625,0.828125,0.81640625
random--la660,0.73828125,0.74609375,0.79296875,0.71484375,0.75,0.77734375,0.76953125,0.80078125,0.7890625,0.796875,0.828125,0.79296875,0.75,0.734375,0.80078125,0.8125,0.78125,0.76953125,0.78125,0.76953125,0.8203125,0.79296875,0.8125,0.8125,1.0,0.796875,0.81640625,0.765625,0.796875,0.79296875
random--la76,0.75390625,0.76171875,0.73828125,0.70703125,0.8125,0.73828125,0.77734375,0.82421875,0.78125,0.7421875,0.8125,0.79296875,0.7734375,0.7578125,0.77734375,0.796875,0.8125,0.77734375,0.796875,0.77734375,0.8203125,0.76171875,0.765625,0.84375,0.796875,1.0,0.77734375,0.78125,0.8125,0.79296875
random--la727,0.7109375,0.765625,0.7734375,0.640625,0.76953125,0.8046875,0.765625,0.765625,0.80078125,0.74609375,0.78515625,0.7578125,0.77734375,0.76953125,0.84375,0.80859375,0.80859375,0.7421875,0.73828125,0.7890625,0.79296875,0.765625,0.79296875,0.81640625,0.81640625,0.77734375,1.0,0.82421875,0.77734375,0.8359375
random--la83,0.70703125,0.73046875,0.75390625,0.62890625,0.765625,0.76171875,0.75390625,0.79296875,0.78125,0.71875,0.75,0.72265625,0.75,0.765625,0.76171875,0.7578125,0.75,0.74609375,0.734375,0.79296875,0.796875,0.76953125,0.78125,0.7265625,0.765625,0.78125,0.82421875,1.0,0.7734375,0.78515625
random--la86,0.74609375,0.76171875,0.71484375,0.66015625,0.765625,0.71484375,0.74609375,0.79296875,0.7421875,0.703125,0.78125,0.73046875,0.7421875,0.7734375,0.75390625,0.8125,0.7421875,0.77734375,0.765625,0.74609375,0.796875,0.74609375,0.7734375,0.828125,0.796875,0.8125,0.77734375,0.7734375,1.0,0.79296875
random--la87,0.765625,0.75,0.7421875,0.6171875,0.76953125,0.7421875,0.734375,0.7890625,0.76171875,0.70703125,0.76953125,0.75,0.78515625,0.74609375,0.8046875,0.82421875,0.79296875,0.75,0.73828125,0.765625,0.77734375,0.75,0.78515625,0.81640625,0.79296875,0.79296875,0.8359375,0.78515625,0.79296875,1.0
