road,one-plus-o23,one-plus-o212,one-plus-o217,one-plus-o225,one-plus-o226,one-plus-o228,random--la125,random--la102,random--la107,random--la1020,random--la1024,random--la26,random--la238,random--la240,random--la33,random--la43,random--la412,random--la427,random--la430,random--la438,random--la53,random--la519,random--la523,random--la625,random--la631,random--la652,random--la76,random--la727,random--la733,random--la87
random--la1024,0.8125,0.875,0.8125,0.875,0.8125,0.9375,0.9375,0.875,0.75,0.9375,1.0,0.875,0.875,1.0,0.875,0.875,0.875,0.9375,0.875,0.875,0.625,0.9375,0.8125,0.9375,1.0,0.875,0.9375,0.875,0.875,0.875
random--la26,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.875,0.8125,0.875,1.0,1.0,0.875,0.875,1.0,0.75,0.8125,0.875,0.875,0.625,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.875,0.875,0.875
random--la238,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.875,0.8125,0.875,1.0,1.0,0.875,0.875,1.0,0.75,0.8125,0.875,0.875,0.625,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.875,0.875,0.875
random--la240,0.8125,0.875,0.8125,0.875,0.8125,0.9375,0.9375,0.875,0.75,0.9375,1.0,0.875,0.875,1.0,0.875,0.875,0.875,0.9375,0.875,0.875,0.625,0.9375,0.8125,0.9375,1.0,0.875,0.9375,0.875,0.875,0.875
random--la33,0.9375,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.75,0.8125,0.875,0.875,0.875,0.875,1.0,0.875,0.75,0.8125,0.75,0.875,0.5,0.8125,0.9375,0.9375,0.875,0.875,0.8125,1.0,1.0,1.0
random--la43,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.875,0.8125,0.875,1.0,1.0,0.875,0.875,1.0,0.75,0.8125,0.875,0.875,0.625,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.875,0.875,0.875
random--la412,0.6875,0.75,0.6875,0.75,0.6875,0.8125,0.8125,0.75,0.625,0.9375,0.875,0.75,0.75,0.875,0.75,0.75,1.0,0.9375,0.875,0.75,0.75,0.8125,0.6875,0.8125,0.875,0.75,0.8125,0.75,0.75,0.75
random--la427,0.75,0.8125,0.75,0.8125,0.75,0.875,0.875,0.8125,0.6875,1.0,0.9375,0.8125,0.8125,0.9375,0.8125,0.8125,0.9375,1.0,0.9375,0.8125,0.6875,0.875,0.75,0.875,0.9375,0.8125,0.875,0.8125,0.8125,0.8125
random--la430,0.8125,0.875,0.8125,0.875,0.8125,0.8125,0.8125,0.875,0.75,0.9375,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.9375,1.0,0.75,0.75,0.9375,0.8125,0.8125,0.875,0.875,0.9375,0.75,0.75,0.75
random--la438,0.8125,0.875,0.8125,0.875,0.8125,0.9375,0.9375,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.8125,0.75,1.0,0.5,0.8125,0.8125,0.9375,0.875,0.875,0.8125,0.875,0.875,0.875
random--la53,0.5625,0.625,0.5625,0.625,0.5625,0.5625,0.5625,0.625,0.5,0.6875,0.625,0.625,0.625,0.625,0.5,0.625,0.75,0.6875,0.75,0.5,1.0,0.6875,0.5625,0.5625,0.625,0.625,0.6875,0.5,0.5,0.5
random--la519,0.875,0.9375,0.875,0.9375,0.875,0.875,0.875,0.9375,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.8125,0.875,0.9375,0.8125,0.6875,1.0,0.875,0.875,0.9375,0.9375,1.0,0.8125,0.8125,0.8125
random--la523,1.0,0.9375,1.0,0.9375,1.0,0.875,0.875,0.9375,0.8125,0.75,0.8125,0.9375,0.9375,0.8125,0.9375,0.9375,0.6875,0.75,0.8125,0.8125,0.5625,0.875,1.0,0.875,0.8125,0.9375,0.875,0.9375,0.9375,0.9375
random--la625,0.875,0.9375,0.875,0.9375,0.875,1.0,1.0,0.9375,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.875,0.8125,0.9375,0.5625,0.875,0.875,1.0,0.9375,0.9375,0.875,0.9375,0.9375,0.9375
random--la631,0.8125,0.875,0.8125,0.875,0.8125,0.9375,0.9375,0.875,0.75,0.9375,1.0,0.875,0.875,1.0,0.875,0.875,0.875,0.9375,0.875,0.875,0.625,0.9375,0.8125,0.9375,1.0,0.875,0.9375,0.875,0.875,0.875
random--la652,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,1.0,0.875,0.8125,0.875,1.0,1.0,0.875,0.875,1.0,0.75,0.8125,0.875,0.875,0.625,0.9375,0.9375,0.9375,0.875,1.0,0.9375,0.875,0.875,0.875
random--la76,0.875,0.9375,0.875,0.9375,0.875,0.875,0.875,0.9375,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.8125,0.875,0.9375,0.8125,0.6875,1.0,0.875,0.875,0.9375,0.9375,1.0,0.8125,0.8125,0.8125
random--la727,0.9375,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.75,0.8125,0.875,0.875,0.875,0.875,1.0,0.875,0.75,0.8125,0.75,0.875,0.5,0.8125,0.9375,0.9375,0.875,0.875,0.8125,1.0,1.0,1.0
random--la733,0.9375,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.75,0.8125,0.875,0.875,0.875,0.875,1.0,0.875,0.75,0.8125,0.75,0.875,0.5,0.8125,0.9375,0.9375,0.875,0.875,0.8125,1.0,1.0,1.0
random--la87,0.9375,0.875,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.75,0.8125,0.875,0.875,0.875,0.875,1.0,0.875,0.75,0.8125,0.75,0.875,0.5,0.8125,0.9375,0.9375,0.875,0.875,0.8125,1.0,1.0,1.0
