road,one-plus-o23,one-plus-o212,one-plus-o217,one-plus-o225,one-plus-o226,one-plus-o228,random--la125,random--la102,random--la107,random--la1020,random--la1024,random--la26,random--la238,random--la240,random--la33,random--la43,random--la412,random--la427,random--la430,random--la438,random--la53,random--la519,random--la523,random--la625,random--la631,random--la652,random--la76,random--la727,random--la733,random--la87
random--la1024,0.88671875,0.91796875,0.88671875,0.90234375,0.8828125,0.91796875,0.9140625,0.90625,0.91015625,0.9375,1.0,0.9296875,0.921875,0.91796875,0.921875,0.92578125,0.91796875,0.9375,0.93359375,0.92578125,0.89453125,0.91796875,0.88671875,0.90234375,0.9375,0.90625,0.9296875,0.92578125,0.92578125,0.9296875
random--la26,0.92578125,0.94140625,0.91796875,0.92578125,0.8984375,0.91796875,0.921875,0.90625,0.91796875,0.9296875,0.9296875,1.0,0.9296875,0.92578125,0.9375,0.96484375,0.92578125,0.9453125,0.93359375,0.94140625,0.91796875,0.91796875,0.91015625,0.91015625,0.9375,0.9140625,0.9609375,0.93359375,0.93359375,0.9296875
random--la238,0.87890625,0.91796875,0.87890625,0.89453125,0.875,0.90234375,0.90625,0.8984375,0.91015625,0.9375,0.921875,0.9296875,1.0,0.91015625,0.9296875,0.93359375,0.93359375,0.9375,0.94140625,0.90234375,0.93359375,0.91796875,0.87890625,0.88671875,0.921875,0.90625,0.9375,0.93359375,0.93359375,0.9296875
random--la240,0.90625,0.921875,0.8828125,0.890625,0.87109375,0.90625,0.91796875,0.90234375,0.90625,0.94921875,0.91796875,0.92578125,0.91015625,1.0,0.94921875,0.9296875,0.9375,0.95703125,0.953125,0.9140625,0.9375,0.9453125,0.8984375,0.921875,0.94921875,0.95703125,0.93359375,0.9140625,0.9453125,0.94140625
random--la33,0.88671875,0.91015625,0.88671875,0.88671875,0.8671875,0.88671875,0.90625,0.90625,0.89453125,0.9609375,0.921875,0.9375,0.9296875,0.94921875,1.0,0.94140625,0.96484375,0.96875,0.94921875,0.91015625,0.94921875,0.94140625,0.90234375,0.91796875,0.9453125,0.9296875,0.953125,0.94140625,0.97265625,0.984375
random--la43,0.921875,0.921875,0.8984375,0.9140625,0.88671875,0.90625,0.92578125,0.90234375,0.90625,0.94921875,0.92578125,0.96484375,0.93359375,0.9296875,0.94140625,1.0,0.9375,0.94921875,0.9453125,0.90625,0.9375,0.9296875,0.90625,0.9140625,0.92578125,0.92578125,0.98046875,0.9296875,0.9453125,0.94140625
random--la412,0.875,0.8984375,0.859375,0.875,0.86328125,0.875,0.89453125,0.89453125,0.8984375,0.96484375,0.91796875,0.92578125,0.93359375,0.9375,0.96484375,0.9375,1.0,0.96484375,0.9609375,0.8984375,0.9609375,0.9453125,0.8828125,0.9296875,0.92578125,0.93359375,0.95703125,0.90625,0.9609375,0.95703125
random--la427,0.88671875,0.91796875,0.87890625,0.89453125,0.8671875,0.89453125,0.9140625,0.9140625,0.92578125,0.984375,0.9375,0.9453125,0.9375,0.95703125,0.96875,0.94921875,0.96484375,1.0,0.97265625,0.92578125,0.94921875,0.95703125,0.90234375,0.93359375,0.953125,0.953125,0.9609375,0.91796875,0.96484375,0.96875
random--la430,0.8828125,0.921875,0.875,0.8984375,0.87109375,0.890625,0.91015625,0.91796875,0.9140625,0.97265625,0.93359375,0.93359375,0.94140625,0.953125,0.94921875,0.9453125,0.9609375,0.97265625,1.0,0.90625,0.9609375,0.9765625,0.8984375,0.9296875,0.94140625,0.96484375,0.94921875,0.9140625,0.9453125,0.94921875
random--la438,0.875,0.921875,0.8984375,0.8828125,0.87109375,0.9140625,0.91015625,0.87109375,0.890625,0.91015625,0.92578125,0.94140625,0.90234375,0.9140625,0.91015625,0.90625,0.8984375,0.92578125,0.90625,1.0,0.8828125,0.8984375,0.8671875,0.8671875,0.92578125,0.91015625,0.91015625,0.8984375,0.90625,0.91015625
random--la53,0.859375,0.8828125,0.8515625,0.859375,0.83984375,0.8515625,0.87109375,0.87890625,0.8828125,0.94921875,0.89453125,0.91796875,0.93359375,0.9375,0.94921875,0.9375,0.9609375,0.94921875,0.9609375,0.8828125,1.0,0.9375,0.875,0.90625,0.91015625,0.93359375,0.94140625,0.8984375,0.9375,0.93359375
random--la519,0.90625,0.9375,0.890625,0.90625,0.87890625,0.90625,0.91796875,0.91796875,0.9140625,0.95703125,0.91796875,0.91796875,0.91796875,0.9453125,0.94140625,0.9296875,0.9453125,0.95703125,0.9765625,0.8984375,0.9375,1.0,0.9140625,0.921875,0.95703125,0.97265625,0.93359375,0.90625,0.9296875,0.94140625
random--la523,0.9296875,0.921875,0.90625,0.9140625,0.91015625,0.890625,0.91015625,0.91015625,0.890625,0.90234375,0.88671875,0.91015625,0.87890625,0.8984375,0.90234375,0.90625,0.8828125,0.90234375,0.8984375,0.8671875,0.875,0.9140625,1.0,0.90625,0.91015625,0.90234375,0.91015625,0.890625,0.8984375,0.90234375
random--la625,0.890625,0.8828125,0.8984375,0.875,0.90234375,0.8671875,0.87890625,0.92578125,0.90625,0.93359375,0.90234375,0.91015625,0.88671875,0.921875,0.91796875,0.9140625,0.9296875,0.93359375,0.9296875,0.8671875,0.90625,0.921875,0.90625,1.0,0.91015625,0.91796875,0.93359375,0.8984375,0.9296875,0.91796875
random--la631,0.92578125,0.96484375,0.91796875,0.91796875,0.890625,0.94140625,0.9453125,0.9296875,0.91796875,0.953125,0.9375,0.9375,0.921875,0.94921875,0.9453125,0.92578125,0.92578125,0.953125,0.94140625,0.92578125,0.91015625,0.95703125,0.91015625,0.91015625,1.0,0.953125,0.9375,0.93359375,0.94140625,0.953125
random--la652,0.90234375,0.92578125,0.89453125,0.89453125,0.8828125,0.90234375,0.90625,0.8984375,0.91015625,0.953125,0.90625,0.9140625,0.90625,0.95703125,0.9296875,0.92578125,0.93359375,0.953125,0.96484375,0.91015625,0.93359375,0.97265625,0.90234375,0.91796875,0.953125,1.0,0.9296875,0.89453125,0.92578125,0.9296875
random--la76,0.91796875,0.92578125,0.90234375,0.91015625,0.8984375,0.90234375,0.9140625,0.9140625,0.91796875,0.9609375,0.9296875,0.9609375,0.9375,0.93359375,0.953125,0.98046875,0.95703125,0.9609375,0.94921875,0.91015625,0.94140625,0.93359375,0.91015625,0.93359375,0.9375,0.9296875,1.0,0.92578125,0.96484375,0.9609375
random--la727,0.890625,0.9140625,0.90625,0.890625,0.87890625,0.90625,0.91015625,0.90234375,0.8984375,0.91796875,0.92578125,0.93359375,0.93359375,0.9140625,0.94140625,0.9296875,0.90625,0.91796875,0.9140625,0.8984375,0.8984375,0.90625,0.890625,0.8984375,0.93359375,0.89453125,0.92578125,1.0,0.9296875,0.94140625
random--la733,0.890625,0.90625,0.875,0.8828125,0.87109375,0.8828125,0.90234375,0.90234375,0.90625,0.96484375,0.92578125,0.93359375,0.93359375,0.9453125,0.97265625,0.9453125,0.9609375,0.96484375,0.9453125,0.90625,0.9375,0.9296875,0.8984375,0.9296875,0.94140625,0.92578125,0.96484375,0.9296875,1.0,0.98046875
random--la87,0.89453125,0.91796875,0.89453125,0.89453125,0.875,0.89453125,0.9140625,0.9140625,0.91015625,0.96875,0.9296875,0.9296875,0.9296875,0.94140625,0.984375,0.94140625,0.95703125,0.96875,0.94921875,0.91015625,0.93359375,0.94140625,0.90234375,0.91796875,0.953125,0.9296875,0.9609375,0.94140625,0.98046875,1.0
