road,random--la17,random--la111,random--la117,random--la108,random--la109,random--la1018,random--la23,random--la24,random--la214,random--la311,random--la44,random--la413,random--la57,random--la62,random--la625,random--la79,random--la716,random--la718,random--la719,random--la82,random--la811,random--la813,random--la814,random--la818,random--la92,random--la93,random--la96,random--la912,random--la916,random--la918
random--la17,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la111,0.875,1.0,0.9375,0.9375,0.875,0.875,0.8125,0.875,0.8125,0.8125,0.875,0.8125,0.8125,0.875,0.875,0.875,0.875,0.8125,0.875,0.9375,0.9375,0.8125,0.875,0.8125,0.8125,0.875,0.8125,0.9375,0.875,0.875
random--la117,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.875,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,1.0,0.875,0.875,0.9375,0.875,0.875,0.9375,0.875,1.0,0.9375,0.9375
random--la108,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.875,0.9375,0.875,0.875,0.9375,0.75,0.875,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,1.0,0.875,0.875,0.9375,0.875,0.875,0.9375,0.875,1.0,0.9375,0.9375
random--la109,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la1018,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la23,0.9375,0.8125,0.875,0.875,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.625,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.6875,0.875,0.75,1.0,0.9375,1.0,1.0,0.9375,1.0,0.875,0.9375,0.9375
random--la24,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la214,0.9375,0.8125,0.875,0.875,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.625,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.6875,0.875,0.75,1.0,0.9375,1.0,1.0,0.9375,1.0,0.875,0.9375,0.9375
random--la311,0.9375,0.8125,0.875,0.875,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.625,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.6875,0.875,0.75,1.0,0.9375,1.0,1.0,0.9375,1.0,0.875,0.9375,0.9375
random--la44,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la413,0.6875,0.8125,0.75,0.75,0.6875,0.6875,0.625,0.6875,0.625,0.625,0.6875,1.0,0.625,0.6875,0.6875,0.6875,0.6875,0.625,0.9375,0.75,0.875,0.625,0.6875,0.625,0.625,0.6875,0.625,0.75,0.6875,0.6875
random--la57,0.9375,0.8125,0.875,0.875,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.625,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.6875,0.875,0.75,1.0,0.9375,1.0,1.0,0.9375,1.0,0.875,0.9375,0.9375
random--la62,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la625,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
random--la79,1.0,0.875,0.9375,0.9375,1.0,1.0,0.9375,1.0,0.9375,0.9375,1.0,0.6875,0.9375,1.0,1.0,1.0,1.0,0.9375,0.75,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,1.0,0.9375,0.9375,1.0,1.0
