road,one-plus-o1014,one-plus-o219,one-plus-o221,one-plus-o320,one-plus-o328,one-plus-o335,one-plus-o348,one-plus-o349,one-plus-o350,one-plus-o356,one-plus-o359,one-plus-o368,random--la124,random--la23,random--la213,random--la240,random--la315,random--la431,random--la434,random--la510,random--la635,random--la637,random--la651,random--la656,random--la658,random--la77,random--la726,random--la734,random--la910,random--la924
random--la315,0.9140625,0.828125,0.90625,0.92578125,0.92578125,0.92578125,0.90234375,0.93359375,0.9375,0.92578125,0.92578125,0.91796875,0.87109375,0.9375,0.9140625,0.921875,1.0,0.8984375,0.93359375,0.90234375,0.89453125,0.90625,0.921875,0.93359375,0.9140625,0.921875,0.94140625,0.94140625,0.8828125,0.8984375
random--la431,0.890625,0.9140625,0.8984375,0.93359375,0.94140625,0.93359375,0.88671875,0.94921875,0.921875,0.91015625,0.91015625,0.92578125,0.91796875,0.9296875,0.9453125,0.90625,0.8984375,1.0,0.91796875,0.91796875,0.94140625,0.953125,0.9296875,0.93359375,0.9453125,0.90625,0.91796875,0.92578125,0.890625,0.953125
random--la434,0.90234375,0.83984375,0.93359375,0.96875,0.96875,0.96875,0.9609375,0.96875,0.98828125,0.9921875,0.9921875,0.96875,0.8984375,0.98828125,0.92578125,0.94140625,0.93359375,0.91796875,1.0,0.90625,0.9296875,0.91796875,0.94140625,0.9765625,0.94921875,0.98046875,0.9296875,0.9453125,0.91015625,0.92578125
random--la510,0.91796875,0.90234375,0.91015625,0.9375,0.9375,0.9296875,0.8828125,0.9375,0.91015625,0.8984375,0.8984375,0.9296875,0.8984375,0.91796875,0.94140625,0.93359375,0.90234375,0.91796875,0.90625,1.0,0.9375,0.89453125,0.94921875,0.921875,0.94140625,0.89453125,0.9375,0.9296875,0.93359375,0.90234375
random--la635,0.90234375,0.89453125,0.91015625,0.9609375,0.9609375,0.953125,0.8984375,0.9609375,0.93359375,0.921875,0.921875,0.953125,0.9296875,0.94140625,0.95703125,0.92578125,0.89453125,0.94140625,0.9296875,0.9375,1.0,0.91796875,0.94921875,0.9453125,0.96484375,0.91015625,0.9296875,0.9375,0.92578125,0.91796875
random--la637,0.890625,0.9140625,0.890625,0.91796875,0.91796875,0.91796875,0.88671875,0.93359375,0.921875,0.91015625,0.91015625,0.90234375,0.92578125,0.9296875,0.953125,0.9140625,0.90625,0.953125,0.91796875,0.89453125,0.91796875,1.0,0.9140625,0.93359375,0.921875,0.90625,0.90234375,0.92578125,0.8828125,0.953125
random--la651,0.9296875,0.890625,0.9453125,0.96484375,0.95703125,0.95703125,0.91015625,0.97265625,0.9453125,0.93359375,0.93359375,0.94921875,0.91015625,0.953125,0.9453125,0.953125,0.921875,0.9296875,0.94140625,0.94921875,0.94921875,0.9140625,1.0,0.95703125,0.9609375,0.9296875,0.94140625,0.94921875,0.9375,0.921875
random--la656,0.91796875,0.85546875,0.94140625,0.96875,0.96875,0.96875,0.953125,0.984375,0.98046875,0.96875,0.96875,0.953125,0.9140625,0.98828125,0.94140625,0.94921875,0.93359375,0.93359375,0.9765625,0.921875,0.9453125,0.93359375,0.95703125,1.0,0.96484375,0.95703125,0.9296875,0.953125,0.92578125,0.93359375
random--la658,0.921875,0.875,0.921875,0.97265625,0.97265625,0.98046875,0.93359375,0.98046875,0.953125,0.94921875,0.94140625,0.96484375,0.93359375,0.9609375,0.9609375,0.9375,0.9140625,0.9453125,0.94921875,0.94140625,0.96484375,0.921875,0.9609375,0.96484375,1.0,0.9296875,0.93359375,0.95703125,0.9296875,0.9453125
random--la77,0.890625,0.828125,0.921875,0.94921875,0.94921875,0.94921875,0.96484375,0.94921875,0.9765625,0.98046875,0.98828125,0.94921875,0.87890625,0.96875,0.9140625,0.9296875,0.921875,0.90625,0.98046875,0.89453125,0.91015625,0.90625,0.9296875,0.95703125,0.9296875,1.0,0.92578125,0.93359375,0.8984375,0.9140625
random--la726,0.92578125,0.86328125,0.91796875,0.9453125,0.9453125,0.9375,0.90625,0.9453125,0.93359375,0.921875,0.9296875,0.9453125,0.890625,0.93359375,0.94140625,0.93359375,0.94140625,0.91796875,0.9296875,0.9375,0.9296875,0.90234375,0.94140625,0.9296875,0.93359375,0.92578125,1.0,0.953125,0.90234375,0.90234375
random--la734,0.94140625,0.86328125,0.92578125,0.96875,0.96875,0.96875,0.9140625,0.9609375,0.94921875,0.9375,0.9375,0.953125,0.9140625,0.95703125,0.95703125,0.95703125,0.94140625,0.92578125,0.9453125,0.9296875,0.9375,0.92578125,0.94921875,0.953125,0.95703125,0.93359375,0.953125,1.0,0.91015625,0.91796875
random--la910,0.9140625,0.859375,0.90625,0.92578125,0.91796875,0.91796875,0.88671875,0.93359375,0.921875,0.91015625,0.91015625,0.91015625,0.88671875,0.921875,0.9140625,0.921875,0.8828125,0.890625,0.91015625,0.93359375,0.92578125,0.8828125,0.9375,0.92578125,0.9296875,0.8984375,0.90234375,0.91015625,1.0,0.8828125
random--la924,0.890625,0.8828125,0.8984375,0.92578125,0.92578125,0.93359375,0.92578125,0.94140625,0.9296875,0.92578125,0.91796875,0.92578125,0.90234375,0.9296875,0.9296875,0.90625,0.8984375,0.953125,0.92578125,0.90234375,0.91796875,0.953125,0.921875,0.93359375,0.9453125,0.9140625,0.90234375,0.91796875,0.8828125,1.0
