road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
random--la431,0.76171875,0.7421875,0.81640625,0.76171875,0.76171875,0.7265625,0.69921875,0.7578125,0.71875,0.73046875,0.671875,0.7109375,0.75,0.72265625,0.74609375,0.74609375,0.73828125,1.0,0.73828125,0.765625,0.71484375,0.73046875,0.78515625,0.7421875,0.74609375,0.75,0.7890625,0.71484375,0.70703125,0.75390625
random--la439,0.7578125,0.73828125,0.765625,0.734375,0.8125,0.74609375,0.75,0.71484375,0.73828125,0.7265625,0.66796875,0.76171875,0.80859375,0.75,0.7890625,0.796875,0.7421875,0.73828125,1.0,0.78515625,0.7421875,0.7265625,0.75,0.73046875,0.7734375,0.75390625,0.80859375,0.75,0.75,0.8046875
random--la512,0.82421875,0.765625,0.76171875,0.76953125,0.76953125,0.796875,0.76953125,0.7578125,0.75,0.76953125,0.71875,0.765625,0.8359375,0.77734375,0.83984375,0.79296875,0.77734375,0.765625,0.78515625,1.0,0.77734375,0.75390625,0.82421875,0.703125,0.80859375,0.8046875,0.8359375,0.78515625,0.76953125,0.80859375
random--la514,0.8125,0.76953125,0.75,0.75,0.7265625,0.81640625,0.84375,0.81640625,0.76171875,0.796875,0.76953125,0.73046875,0.83203125,0.7734375,0.734375,0.828125,0.765625,0.71484375,0.7421875,0.77734375,1.0,0.828125,0.796875,0.70703125,0.7421875,0.76953125,0.77734375,0.8125,0.7890625,0.765625
random--la523,0.8046875,0.70703125,0.71875,0.7109375,0.703125,0.80859375,0.796875,0.79296875,0.80859375,0.7890625,0.76953125,0.69921875,0.77734375,0.7421875,0.7109375,0.796875,0.75,0.73046875,0.7265625,0.75390625,0.828125,1.0,0.796875,0.69921875,0.734375,0.77734375,0.75390625,0.7421875,0.8125,0.765625
random--la532,0.8046875,0.77734375,0.7421875,0.8046875,0.765625,0.81640625,0.7890625,0.81640625,0.79296875,0.7890625,0.80078125,0.75390625,0.84765625,0.7578125,0.796875,0.8125,0.8203125,0.78515625,0.75,0.82421875,0.796875,0.796875,1.0,0.73046875,0.828125,0.80859375,0.83984375,0.765625,0.8046875,0.7890625
random--la631,0.68359375,0.703125,0.68359375,0.73828125,0.72265625,0.71875,0.62890625,0.7109375,0.65625,0.69140625,0.6875,0.7421875,0.6953125,0.66796875,0.73046875,0.72265625,0.68359375,0.7421875,0.73046875,0.703125,0.70703125,0.69921875,0.73046875,1.0,0.69921875,0.703125,0.6796875,0.69921875,0.67578125,0.69921875
random--la638,0.796875,0.73046875,0.734375,0.7890625,0.7421875,0.78515625,0.7265625,0.76171875,0.74609375,0.7578125,0.73828125,0.78515625,0.80859375,0.7421875,0.8359375,0.8203125,0.8203125,0.74609375,0.7734375,0.80859375,0.7421875,0.734375,0.828125,0.69921875,1.0,0.77734375,0.81640625,0.7734375,0.75,0.8046875
random--la660,0.76953125,0.7421875,0.73828125,0.76953125,0.75390625,0.8046875,0.77734375,0.78125,0.7890625,0.76953125,0.796875,0.75,0.78125,0.76953125,0.80859375,0.83984375,0.76953125,0.75,0.75390625,0.8046875,0.76953125,0.77734375,0.80859375,0.703125,0.77734375,1.0,0.796875,0.76953125,0.81640625,0.79296875
random--la76,0.82421875,0.734375,0.75390625,0.80078125,0.77734375,0.796875,0.73828125,0.8125,0.78125,0.79296875,0.7421875,0.7734375,0.8125,0.77734375,0.83203125,0.80078125,0.78515625,0.7890625,0.80859375,0.8359375,0.77734375,0.75390625,0.83984375,0.6796875,0.81640625,0.796875,1.0,0.76953125,0.77734375,0.79296875
random--la712,0.7578125,0.74609375,0.7109375,0.7265625,0.703125,0.79296875,0.7421875,0.75390625,0.71484375,0.75,0.76171875,0.76171875,0.80078125,0.7578125,0.78125,0.8125,0.78125,0.71484375,0.75,0.78515625,0.8125,0.7421875,0.765625,0.69921875,0.7734375,0.76953125,0.76953125,1.0,0.734375,0.7421875
random--la727,0.7578125,0.73828125,0.7109375,0.765625,0.71875,0.79296875,0.8046875,0.76171875,0.80078125,0.78125,0.74609375,0.77734375,0.80859375,0.7421875,0.75,0.8046875,0.765625,0.70703125,0.75,0.76953125,0.7890625,0.8125,0.8046875,0.67578125,0.75,0.81640625,0.77734375,0.734375,1.0,0.8359375
random--la87,0.78125,0.76171875,0.765625,0.7578125,0.7421875,0.80859375,0.7421875,0.77734375,0.76171875,0.7734375,0.70703125,0.78515625,0.79296875,0.75,0.8125,0.8046875,0.828125,0.75390625,0.8046875,0.80859375,0.765625,0.765625,0.7890625,0.69921875,0.8046875,0.79296875,0.79296875,0.7421875,0.8359375,1.0
