road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
random--la514,0.7714285714285715,0.7578947368421053,0.745,0.8941176470588236,0.7866666666666666,0.7777777777777778,0.736842105263158,0.7428571428571429,0.7238095238095238,0.7052631578947368,0.7285714285714286,0.7357142857142858,0.7571428571428571,0.725,0.7571428571428571,0.7277777777777779,0.7523809523809524,0.7666666666666666,0.76,0.7647058823529411,1.0,0.7666666666666666,0.76,0.780952380952381,0.8142857142857143,0.7444444444444445,0.7333333333333334,0.765,0.7904761904761904,0.7476190476190476
random--la523,0.719047619047619,0.736842105263158,0.725,0.788235294117647,0.76,0.7333333333333334,0.7157894736842105,0.7285714285714286,0.7571428571428571,0.6842105263157895,0.7380952380952381,0.7285714285714286,0.7285714285714286,0.725,0.7214285714285714,0.7833333333333333,0.7047619047619047,0.7285714285714286,0.7266666666666667,0.7647058823529411,0.7666666666666666,1.0,0.6950000000000001,0.7047619047619047,0.7214285714285714,0.6888888888888889,0.72,0.72,0.7285714285714286,0.7476190476190476
random--la532,0.765,0.7684210526315789,0.735,0.8058823529411765,0.7733333333333333,0.8055555555555556,0.7684210526315789,0.765,0.725,0.7631578947368421,0.75,0.7928571428571428,0.735,0.765,0.8071428571428572,0.7555555555555555,0.74,0.74,0.7466666666666666,0.7764705882352941,0.76,0.6950000000000001,1.0,0.74,0.85,0.7,0.7933333333333333,0.745,0.795,0.745
random--la631,0.7545454545454545,0.8210526315789474,0.78,0.8,0.78,0.7722222222222223,0.7842105263157895,0.7772727272727273,0.7666666666666666,0.8,0.7681818181818182,0.8,0.7181818181818183,0.73,0.7642857142857142,0.7611111111111111,0.7545454545454545,0.7954545454545454,0.7866666666666666,0.7764705882352941,0.780952380952381,0.7047619047619047,0.74,1.0,0.7857142857142857,0.7833333333333333,0.7666666666666666,0.785,0.7545454545454545,0.7772727272727273
random--la638,0.8071428571428572,0.7928571428571428,0.7785714285714286,0.8142857142857143,0.7714285714285715,0.8071428571428572,0.7857142857142857,0.7928571428571428,0.7928571428571428,0.7357142857142858,0.7714285714285715,0.7714285714285715,0.7428571428571429,0.8,0.7857142857142857,0.7142857142857143,0.8071428571428572,0.8071428571428572,0.85,0.75,0.8142857142857143,0.7214285714285714,0.85,0.7857142857142857,1.0,0.7571428571428571,0.7285714285714286,0.7428571428571429,0.7928571428571428,0.8428571428571429
random--la660,0.7222222222222222,0.7944444444444445,0.7111111111111111,0.711764705882353,0.7666666666666666,0.7555555555555555,0.6888888888888889,0.7777777777777778,0.7388888888888889,0.75,0.8111111111111111,0.7642857142857142,0.7055555555555555,0.7666666666666666,0.7357142857142858,0.7388888888888889,0.7444444444444445,0.7833333333333333,0.7733333333333333,0.7058823529411764,0.7444444444444445,0.6888888888888889,0.7,0.7833333333333333,0.7571428571428571,1.0,0.7333333333333334,0.7333333333333334,0.7611111111111111,0.7333333333333334
random--la76,0.8133333333333334,0.7733333333333333,0.74,0.7266666666666667,0.7066666666666667,0.7666666666666666,0.7733333333333333,0.76,0.7466666666666666,0.74,0.8066666666666666,0.8214285714285714,0.7333333333333334,0.74,0.7714285714285715,0.7866666666666666,0.8133333333333334,0.8066666666666666,0.74,0.74,0.7333333333333334,0.72,0.7933333333333333,0.7666666666666666,0.7285714285714286,0.7333333333333334,1.0,0.7333333333333334,0.7733333333333333,0.74
random--la712,0.76,0.7631578947368421,0.75,0.8,0.8200000000000001,0.7722222222222223,0.8,0.78,0.77,0.7473684210526316,0.725,0.7785714285714286,0.73,0.78,0.7642857142857142,0.7555555555555555,0.755,0.765,0.78,0.7647058823529411,0.765,0.72,0.745,0.785,0.7428571428571429,0.7333333333333334,0.7333333333333334,1.0,0.8049999999999999,0.755
random--la727,0.7769230769230769,0.7315789473684211,0.74,0.8352941176470589,0.7533333333333333,0.7777777777777778,0.7842105263157895,0.7692307692307692,0.7666666666666666,0.7315789473684211,0.7833333333333333,0.7785714285714286,0.7818181818181819,0.76,0.8071428571428572,0.7388888888888889,0.7772727272727273,0.7869565217391304,0.8266666666666667,0.7647058823529411,0.7904761904761904,0.7285714285714286,0.795,0.7545454545454545,0.7928571428571428,0.7611111111111111,0.7733333333333333,0.8049999999999999,1.0,0.7846153846153846
random--la87,0.7538461538461538,0.7526315789473684,0.735,0.788235294117647,0.8,0.7833333333333333,0.736842105263158,0.7730769230769231,0.7952380952380953,0.7315789473684211,0.7541666666666667,0.7642857142857142,0.7454545454545455,0.725,0.7857142857142857,0.7222222222222222,0.7727272727272727,0.7391304347826086,0.84,0.7941176470588236,0.7476190476190476,0.7476190476190476,0.745,0.7772727272727273,0.8428571428571429,0.7333333333333334,0.74,0.755,0.7846153846153846,1.0
