road,one-plus-o216,one-plus-o218,one-plus-o220,one-plus-o222,one-plus-o225,one-plus-o226,one-plus-o357,random--la115,random--la102,random--la107,random--la1010,random--la1021,random--la218,random--la33,random--la318,random--la43,random--la47,random--la411,random--la412,random--la427,random--la519,random--la614,random--la625,random--la653,random--la76,random--la729,random--la733,random--la82,random--la86,random--la910
random--la411,0.91015625,0.921875,0.9140625,0.92578125,0.93359375,0.90625,0.90625,0.83984375,0.90625,0.90234375,0.91015625,0.9453125,0.92578125,0.90625,0.828125,0.92578125,0.9140625,1.0,0.90234375,0.9140625,0.92578125,0.9140625,0.87890625,0.91015625,0.9296875,0.90625,0.91015625,0.92578125,0.93359375,0.90234375
random--la412,0.8828125,0.87109375,0.86328125,0.8828125,0.875,0.86328125,0.97265625,0.921875,0.89453125,0.8984375,0.921875,0.91015625,0.9296875,0.96484375,0.88671875,0.9375,0.96484375,0.90234375,1.0,0.96484375,0.9453125,0.87109375,0.9296875,0.9609375,0.95703125,0.94140625,0.9609375,0.8984375,0.8984375,0.921875
random--la427,0.89453125,0.8828125,0.8828125,0.90234375,0.89453125,0.8671875,0.9609375,0.91796875,0.9140625,0.92578125,0.94140625,0.9375,0.94140625,0.96875,0.8984375,0.94921875,0.9609375,0.9140625,0.96484375,1.0,0.95703125,0.890625,0.93359375,0.98046875,0.9609375,0.9453125,0.96484375,0.92578125,0.92578125,0.92578125
random--la519,0.8984375,0.90234375,0.88671875,0.9140625,0.90625,0.87890625,0.94140625,0.8984375,0.91796875,0.9140625,0.9453125,0.92578125,0.90625,0.94140625,0.87109375,0.9296875,0.94140625,0.92578125,0.9453125,0.95703125,1.0,0.90234375,0.921875,0.96875,0.93359375,0.91015625,0.9296875,0.9296875,0.9296875,0.9296875
random--la614,0.87890625,0.8828125,0.890625,0.89453125,0.90234375,0.890625,0.8671875,0.82421875,0.890625,0.86328125,0.88671875,0.90625,0.88671875,0.875,0.8125,0.87890625,0.875,0.9140625,0.87109375,0.890625,0.90234375,1.0,0.87890625,0.88671875,0.8828125,0.875,0.86328125,0.88671875,0.88671875,0.87109375
random--la625,0.8984375,0.90234375,0.87109375,0.890625,0.875,0.90234375,0.92578125,0.8671875,0.92578125,0.90625,0.9296875,0.90234375,0.90625,0.91796875,0.83984375,0.9140625,0.94140625,0.87890625,0.9296875,0.93359375,0.921875,0.87890625,1.0,0.9375,0.93359375,0.92578125,0.9296875,0.8984375,0.890625,0.9375
random--la653,0.8828125,0.87109375,0.87890625,0.8984375,0.890625,0.86328125,0.95703125,0.921875,0.91015625,0.9140625,0.9375,0.93359375,0.921875,0.95703125,0.88671875,0.9453125,0.97265625,0.91015625,0.9609375,0.98046875,0.96875,0.88671875,0.9375,1.0,0.94921875,0.93359375,0.953125,0.921875,0.921875,0.9296875
random--la76,0.91015625,0.8984375,0.8984375,0.91796875,0.91015625,0.8984375,0.96875,0.90234375,0.9140625,0.91796875,0.93359375,0.953125,0.97265625,0.953125,0.875,0.98046875,0.96875,0.9296875,0.95703125,0.9609375,0.93359375,0.8828125,0.93359375,0.94921875,1.0,0.953125,0.96484375,0.90234375,0.93359375,0.91796875
random--la729,0.87890625,0.8671875,0.875,0.88671875,0.87890625,0.8671875,0.9453125,0.87890625,0.890625,0.89453125,0.91796875,0.9296875,0.94140625,0.9453125,0.8828125,0.93359375,0.953125,0.90625,0.94140625,0.9453125,0.91015625,0.875,0.92578125,0.93359375,0.953125,1.0,0.97265625,0.89453125,0.90234375,0.91796875
random--la733,0.890625,0.87890625,0.87109375,0.890625,0.8828125,0.87109375,0.96484375,0.8984375,0.90234375,0.90625,0.9296875,0.92578125,0.9453125,0.97265625,0.89453125,0.9453125,0.96484375,0.91015625,0.9609375,0.96484375,0.9296875,0.86328125,0.9296875,0.953125,0.96484375,0.97265625,1.0,0.921875,0.90625,0.921875
random--la82,0.8984375,0.90234375,0.87109375,0.890625,0.890625,0.87109375,0.90234375,0.8515625,0.91796875,0.8984375,0.9296875,0.90234375,0.8828125,0.93359375,0.85546875,0.890625,0.91015625,0.92578125,0.8984375,0.92578125,0.9296875,0.88671875,0.8984375,0.921875,0.90234375,0.89453125,0.921875,1.0,0.9140625,0.9296875
random--la86,0.890625,0.88671875,0.91015625,0.921875,0.921875,0.88671875,0.90234375,0.84375,0.89453125,0.8984375,0.921875,0.94921875,0.9296875,0.91796875,0.83984375,0.9453125,0.91796875,0.93359375,0.8984375,0.92578125,0.9296875,0.88671875,0.890625,0.921875,0.93359375,0.90234375,0.90625,0.9140625,1.0,0.8984375
random--la910,0.8828125,0.89453125,0.84765625,0.8828125,0.8671875,0.86328125,0.94140625,0.875,0.89453125,0.890625,0.9375,0.89453125,0.890625,0.91796875,0.84765625,0.8984375,0.93359375,0.90234375,0.921875,0.92578125,0.9296875,0.87109375,0.9375,0.9296875,0.91796875,0.91796875,0.921875,0.9296875,0.8984375,1.0
