road,one-plus-o220,one-plus-o243,random--la114,random--la119,random--la124,random--la102,random--la107,random--la1010,random--la1018,random--la1020,random--la1021,random--la1024,random--la26,random--la213,random--la219,random--la33,random--la314,random--la318,random--la42,random--la412,random--la431,random--la52,random--la519,random--la652,random--la654,random--la658,random--la660,random--la727,random--la86,random--la920
random--la318,0.796875,0.80859375,0.8984375,0.85546875,0.828125,0.828125,0.83203125,0.85546875,0.83203125,0.8828125,0.859375,0.84375,0.8671875,0.87109375,0.82421875,0.921875,0.84765625,1.0,0.84765625,0.88671875,0.84765625,0.828125,0.87109375,0.859375,0.828125,0.88671875,0.87109375,0.87109375,0.83984375,0.8828125
random--la42,0.91015625,0.90625,0.91796875,0.859375,0.91796875,0.90234375,0.921875,0.9140625,0.9140625,0.93359375,0.96484375,0.94140625,0.95703125,0.9453125,0.90625,0.91796875,0.9375,0.84765625,1.0,0.9140625,0.9453125,0.93359375,0.9140625,0.91015625,0.87890625,0.9453125,0.9296875,0.9296875,0.9296875,0.94140625
random--la412,0.86328125,0.859375,0.97265625,0.9296875,0.91796875,0.89453125,0.8984375,0.921875,0.890625,0.96484375,0.91015625,0.91796875,0.92578125,0.953125,0.8828125,0.96484375,0.890625,0.88671875,0.9140625,1.0,0.9375,0.90234375,0.9453125,0.93359375,0.89453125,0.9609375,0.953125,0.90625,0.8984375,0.97265625
random--la431,0.91796875,0.8984375,0.93359375,0.875,0.91796875,0.90234375,0.90625,0.9140625,0.921875,0.94140625,0.94921875,0.94140625,0.94921875,0.9453125,0.875,0.92578125,0.9296875,0.84765625,0.9453125,0.9375,1.0,0.94140625,0.921875,0.91015625,0.87109375,0.9453125,0.9375,0.90625,0.9375,0.94921875
random--la52,0.921875,0.91796875,0.8984375,0.83984375,0.8984375,0.9453125,0.89453125,0.91015625,0.88671875,0.9140625,0.9453125,0.921875,0.9296875,0.93359375,0.87109375,0.90625,0.92578125,0.828125,0.93359375,0.90234375,0.94140625,1.0,0.91015625,0.8984375,0.875,0.91796875,0.90234375,0.90234375,0.93359375,0.921875
random--la519,0.88671875,0.90625,0.95703125,0.8984375,0.90234375,0.91796875,0.9140625,0.9453125,0.875,0.95703125,0.92578125,0.91796875,0.91796875,0.9375,0.8828125,0.94140625,0.8984375,0.87109375,0.9140625,0.9453125,0.921875,0.91015625,1.0,0.97265625,0.91796875,0.953125,0.921875,0.90625,0.9296875,0.96484375
random--la652,0.8828125,0.89453125,0.953125,0.89453125,0.8984375,0.8984375,0.91015625,0.94921875,0.87109375,0.953125,0.9140625,0.90625,0.9140625,0.92578125,0.88671875,0.9296875,0.88671875,0.859375,0.91015625,0.93359375,0.91015625,0.8984375,0.97265625,1.0,0.921875,0.94921875,0.91796875,0.89453125,0.92578125,0.9609375
random--la654,0.8671875,0.87890625,0.9140625,0.84765625,0.8671875,0.90625,0.90234375,0.91015625,0.84765625,0.9140625,0.8828125,0.875,0.8828125,0.88671875,0.84765625,0.890625,0.85546875,0.828125,0.87890625,0.89453125,0.87109375,0.875,0.91796875,0.921875,1.0,0.91796875,0.89453125,0.86328125,0.87890625,0.9140625
random--la658,0.87890625,0.8828125,0.96484375,0.9140625,0.93359375,0.91015625,0.9375,0.9453125,0.8984375,0.98046875,0.93359375,0.92578125,0.93359375,0.9609375,0.9140625,0.94921875,0.90625,0.88671875,0.9453125,0.9609375,0.9453125,0.91796875,0.953125,0.94921875,0.91796875,1.0,0.9609375,0.90625,0.9140625,0.98828125
random--la660,0.87890625,0.8828125,0.94921875,0.890625,0.93359375,0.88671875,0.90625,0.9140625,0.8984375,0.94921875,0.91796875,0.91796875,0.93359375,0.953125,0.90625,0.93359375,0.8984375,0.87109375,0.9296875,0.953125,0.9375,0.90234375,0.921875,0.91796875,0.89453125,0.9609375,1.0,0.90625,0.90625,0.94921875
random--la727,0.89453125,0.8828125,0.92578125,0.859375,0.91796875,0.90234375,0.8984375,0.90625,0.890625,0.91796875,0.93359375,0.92578125,0.93359375,0.9375,0.875,0.94140625,0.9375,0.87109375,0.9296875,0.90625,0.90625,0.90234375,0.90625,0.89453125,0.86328125,0.90625,0.90625,1.0,0.9140625,0.91015625
random--la86,0.91015625,0.921875,0.91015625,0.84375,0.90234375,0.89453125,0.8984375,0.921875,0.890625,0.92578125,0.94921875,0.91796875,0.93359375,0.921875,0.859375,0.91796875,0.953125,0.83984375,0.9296875,0.8984375,0.9375,0.93359375,0.9296875,0.92578125,0.87890625,0.9140625,0.90625,0.9140625,1.0,0.91796875
random--la920,0.8828125,0.87890625,0.9765625,0.91796875,0.9375,0.9140625,0.92578125,0.94921875,0.90234375,0.984375,0.9375,0.9296875,0.9375,0.96484375,0.91015625,0.9609375,0.91015625,0.8828125,0.94140625,0.97265625,0.94921875,0.921875,0.96484375,0.9609375,0.9140625,0.98828125,0.94921875,0.91015625,0.91796875,1.0
