road,random--la102,random--la103,random--la108,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la210,random--la211,random--la213,random--la214,random--la222,random--la35,random--la36,random--la310,random--la311,random--la318,random--la321,random--la323,random--la44,random--la56,random--la57,random--la58,random--la59,random--la517,random--la518,random--la520,random--la68,random--la614,random--la615,random--la616,random--la621,random--la622,random--la623,random--la625,random--la626,random--la72,random--la74,random--la75,random--la711,random--la716,random--la718,random--la84,random--la85,random--la813,random--la818,random--la819,random--la820,random--la821,random--la822,random--la92,random--la910,random--la912,random--la916,random--la917,random--la918,random--la921,random--la923
random--la35,0.8,0.7692307692307692,0.75,0.7384615384615385,0.7615384615384615,0.823076923076923,0.7923076923076923,0.8375,0.7923076923076923,0.84,0.7818181818181819,0.8384615384615385,0.7846153846153846,1.0,0.8,0.8153846153846154,0.7692307692307692,0.775,0.7,0.7769230769230769,0.823076923076923,0.8076923076923077,0.8076923076923077,0.7692307692307692,0.8,0.72,0.775,0.8076923076923077,0.7769230769230769,0.78,0.7846153846153846,0.8307692307692307,0.8307692307692307,0.7692307692307692,0.7384615384615385,0.7230769230769231,0.8153846153846154,0.7461538461538462,0.7583333333333333,0.7846153846153846,0.7615384615384615,0.84,0.7538461538461538,0.7769230769230769,0.8076923076923077,0.7615384615384615,0.8,0.7923076923076923,0.8076923076923077,0.7769230769230769,0.8076923076923077,0.7615384615384615,0.8076923076923077,0.7384615384615385,0.7692307692307692,0.7692307692307692,0.7846153846153846,0.8615384615384616,0.823076923076923
random--la36,0.83,0.77,0.72,0.79,0.79,0.88,0.86,0.75,0.85,0.78,0.77,0.87,0.8200000000000001,0.8,1.0,0.84,0.86,0.81,0.69,0.85,0.85,0.88,0.86,0.79,0.77,0.74,0.78,0.79,0.83,0.8,0.79,0.83,0.84,0.74,0.8200000000000001,0.7,0.83,0.85,0.85,0.81,0.8,0.78,0.83,0.85,0.8,0.81,0.81,0.77,0.76,0.86,0.85,0.81,0.84,0.8200000000000001,0.77,0.75,0.89,0.83,0.87
random--la310,0.7285714285714286,0.7428571428571429,0.775,0.8142857142857143,0.7625,0.7478260869565218,0.7380952380952381,0.8375,0.7714285714285715,0.79,0.7909090909090909,0.7958333333333334,0.736842105263158,0.8153846153846154,0.84,1.0,0.7608695652173914,0.75,0.7166666666666667,0.7666666666666666,0.78125,0.77,0.7461538461538462,0.7307692307692308,0.775,0.77,0.7916666666666666,0.78,0.7526315789473684,0.8200000000000001,0.7473684210526316,0.7375,0.8071428571428572,0.7692307692307692,0.74,0.7142857142857143,0.78125,0.7733333333333333,0.7416666666666667,0.740909090909091,0.7733333333333333,0.86,0.7714285714285715,0.7090909090909091,0.7052631578947368,0.8933333333333333,0.8285714285714285,0.7476190476190476,0.7166666666666667,0.7631578947368421,0.7545454545454545,0.7454545454545455,0.7842105263157895,0.785,0.70625,0.7571428571428571,0.7761904761904762,0.7230769230769231,0.785
random--la311,0.7285714285714286,0.7642857142857142,0.8,0.7428571428571429,0.7625,0.7913043478260869,0.7904761904761904,0.775,0.8333333333333334,0.79,0.8363636363636364,0.7869565217391304,0.7736842105263158,0.7692307692307692,0.86,0.7608695652173914,1.0,0.7916666666666666,0.825,0.7523809523809524,0.7875,0.795,0.8,0.7846153846153846,0.8,0.84,0.7583333333333333,0.725,0.7842105263157895,0.84,0.7736842105263158,0.7652173913043478,0.8,0.7769230769230769,0.8,0.7714285714285715,0.7875,0.7733333333333333,0.8833333333333333,0.8136363636363636,0.78,0.76,0.75,0.7727272727272727,0.7473684210526316,0.84,0.8142857142857143,0.8047619047619048,0.7555555555555555,0.8210526315789474,0.7227272727272727,0.7818181818181819,0.7947368421052632,0.76,0.74375,0.7142857142857143,0.7666666666666666,0.7652173913043478,0.8049999999999999
random--la318,0.8,0.7583333333333333,0.7416666666666667,0.7416666666666667,0.775,0.825,0.8333333333333334,0.75,0.8,0.75,0.7636363636363637,0.8,0.7916666666666666,0.775,0.81,0.75,0.7916666666666666,1.0,0.725,0.7833333333333333,0.7916666666666666,0.8,0.775,0.75,0.7833333333333333,0.75,0.7,0.8416666666666667,0.8083333333333333,0.71,0.7833333333333333,0.8583333333333334,0.7416666666666667,0.8166666666666667,0.7416666666666667,0.7833333333333333,0.825,0.7916666666666666,0.75,0.9333333333333333,0.8416666666666667,0.72,0.8166666666666667,0.825,0.8,0.7333333333333334,0.7416666666666667,0.8333333333333334,0.7833333333333333,0.7666666666666666,0.75,0.85,0.7833333333333333,0.7916666666666666,0.875,0.7416666666666667,0.7666666666666666,0.775,0.8583333333333334
random--la321,0.7166666666666667,0.725,0.7,0.675,0.75,0.7,0.6916666666666667,0.8125,0.7333333333333334,0.81,0.6909090909090909,0.7,0.8083333333333333,0.7,0.69,0.7166666666666667,0.825,0.725,1.0,0.8,0.6833333333333333,0.6833333333333333,0.7416666666666667,0.8,0.7583333333333333,0.75,0.725,0.7333333333333334,0.7333333333333334,0.75,0.7333333333333334,0.7583333333333333,0.725,0.7166666666666667,0.75,0.8166666666666667,0.75,0.7416666666666667,0.725,0.8083333333333333,0.7166666666666667,0.8,0.675,0.6916666666666667,0.675,0.6916666666666667,0.6833333333333333,0.825,0.7333333333333334,0.7083333333333333,0.7,0.775,0.775,0.7666666666666666,0.7166666666666667,0.8,0.7,0.775,0.7666666666666666
random--la323,0.7523809523809524,0.7214285714285714,0.7416666666666667,0.7642857142857142,0.75625,0.780952380952381,0.8047619047619048,0.7875,0.7904761904761904,0.79,0.7454545454545455,0.7952380952380953,0.7631578947368421,0.7769230769230769,0.85,0.7666666666666666,0.7523809523809524,0.7833333333333333,0.8,1.0,0.75,0.77,0.7714285714285715,0.8,0.7833333333333333,0.79,0.8,0.78,0.7473684210526316,0.86,0.7842105263157895,0.7333333333333334,0.8,0.7461538461538462,0.76,0.75,0.7625,0.84,0.8333333333333334,0.7666666666666666,0.76,0.9,0.7857142857142857,0.7380952380952381,0.7105263157894737,0.8133333333333334,0.7571428571428571,0.7571428571428571,0.7,0.7842105263157895,0.7333333333333334,0.8238095238095238,0.7421052631578947,0.73,0.7875,0.7214285714285714,0.8047619047619048,0.780952380952381,0.78
random--la44,0.81875,0.7857142857142857,0.775,0.75,0.725,0.8875,0.825,0.8375,0.78125,0.83,0.7818181818181819,0.84375,0.7625,0.823076923076923,0.85,0.78125,0.7875,0.7916666666666666,0.6833333333333333,0.75,1.0,0.8125,0.79375,0.7692307692307692,0.825,0.74,0.7833333333333333,0.7625,0.8375,0.77,0.80625,0.825,0.7928571428571428,0.7307692307692308,0.78,0.7071428571428571,0.7375,0.8,0.7666666666666666,0.775,0.78,0.78,0.7428571428571429,0.78125,0.8625,0.74,0.7571428571428571,0.78125,0.7625,0.775,0.725,0.7625,0.81875,0.78125,0.775,0.75,0.81875,0.80625,0.8125
random--la56,0.735,0.7642857142857142,0.7166666666666667,0.7642857142857142,0.73125,0.795,0.8049999999999999,0.7625,0.83,0.78,0.7454545454545455,0.75,0.7315789473684211,0.8076923076923077,0.88,0.77,0.795,0.8,0.6833333333333333,0.77,0.8125,1.0,0.77,0.7692307692307692,0.7916666666666666,0.77,0.725,0.77,0.8210526315789474,0.77,0.7631578947368421,0.775,0.8142857142857143,0.7230769230769231,0.7466666666666666,0.7214285714285714,0.79375,0.7866666666666666,0.7666666666666666,0.775,0.7733333333333333,0.76,0.7214285714285714,0.785,0.7578947368421053,0.7533333333333333,0.8357142857142857,0.79,0.7444444444444445,0.7894736842105263,0.72,0.745,0.7947368421052632,0.75,0.75,0.7071428571428571,0.8,0.785,0.8049999999999999
random--la57,0.7714285714285715,0.7428571428571429,0.7916666666666666,0.7285714285714286,0.8,0.808695652173913,0.8142857142857143,0.8125,0.8,0.81,0.7727272727272727,0.8,0.8052631578947369,0.8076923076923077,0.86,0.7461538461538462,0.8,0.775,0.7416666666666667,0.7714285714285715,0.79375,0.77,1.0,0.7846153846153846,0.8,0.77,0.8,0.78,0.8157894736842105,0.83,0.7789473684210526,0.775,0.8357142857142857,0.8153846153846154,0.7933333333333333,0.7642857142857142,0.7625,0.7933333333333333,0.8333333333333334,0.7909090909090909,0.7733333333333333,0.8200000000000001,0.8142857142857143,0.7272727272727273,0.7421052631578947,0.78,0.85,0.7619047619047619,0.7611111111111111,0.7947368421052632,0.759090909090909,0.7318181818181818,0.8105263157894737,0.8200000000000001,0.7625,0.7428571428571429,0.8095238095238095,0.7653846153846153,0.79
random--la58,0.7769230769230769,0.7692307692307692,0.8416666666666667,0.7846153846153846,0.8153846153846154,0.7846153846153846,0.7461538461538462,0.7625,0.8,0.9299999999999999,0.8363636363636364,0.7923076923076923,0.7769230769230769,0.7692307692307692,0.79,0.7307692307692308,0.7846153846153846,0.75,0.8,0.8,0.7692307692307692,0.7692307692307692,0.7846153846153846,1.0,0.8333333333333334,0.77,0.6916666666666667,0.7307692307692308,0.8,0.74,0.7692307692307692,0.7692307692307692,0.7615384615384615,0.7846153846153846,0.7769230769230769,0.7307692307692308,0.7384615384615385,0.7846153846153846,0.7916666666666666,0.8461538461538461,0.7923076923076923,0.76,0.7461538461538462,0.7769230769230769,0.7769230769230769,0.7846153846153846,0.7692307692307692,0.8461538461538461,0.7692307692307692,0.7923076923076923,0.7538461538461538,0.7461538461538462,0.7846153846153846,0.8307692307692307,0.7384615384615385,0.7307692307692308,0.7615384615384615,0.8076923076923077,0.7538461538461538
random--la59,0.7916666666666666,0.7916666666666666,0.7583333333333333,0.75,0.825,0.8166666666666667,0.7833333333333333,0.725,0.8333333333333334,0.77,0.7545454545454545,0.7833333333333333,0.7666666666666666,0.8,0.77,0.775,0.8,0.7833333333333333,0.7583333333333333,0.7833333333333333,0.825,0.7916666666666666,0.8,0.8333333333333334,1.0,0.77,0.7833333333333333,0.775,0.8083333333333333,0.76,0.75,0.7916666666666666,0.7666666666666666,0.8083333333333333,0.775,0.8083333333333333,0.775,0.7583333333333333,0.7333333333333334,0.85,0.8583333333333334,0.74,0.8,0.7833333333333333,0.7666666666666666,0.7833333333333333,0.775,0.7833333333333333,0.8,0.8,0.7583333333333333,0.7666666666666666,0.7666666666666666,0.8,0.7583333333333333,0.7333333333333334,0.775,0.8,0.775
random--la517,0.78,0.77,0.81,0.8,0.76,0.73,0.74,0.7375,0.8,0.7,0.77,0.79,0.77,0.72,0.74,0.77,0.84,0.75,0.75,0.79,0.74,0.77,0.77,0.77,0.77,1.0,0.74,0.79,0.83,0.78,0.75,0.8,0.73,0.76,0.83,0.74,0.79,0.81,0.76,0.84,0.76,0.74,0.79,0.76,0.73,0.83,0.79,0.87,0.76,0.81,0.75,0.79,0.8200000000000001,0.76,0.75,0.8,0.79,0.75,0.85
random--la518,0.7666666666666666,0.7416666666666667,0.725,0.6583333333333333,0.8083333333333333,0.775,0.7916666666666666,0.775,0.8083333333333333,0.76,0.7454545454545455,0.7583333333333333,0.7416666666666667,0.775,0.78,0.7916666666666666,0.7583333333333333,0.7,0.725,0.8,0.7833333333333333,0.725,0.8,0.6916666666666667,0.7833333333333333,0.74,1.0,0.8083333333333333,0.7666666666666666,0.87,0.775,0.7666666666666666,0.8666666666666667,0.7166666666666667,0.775,0.775,0.775,0.7916666666666666,0.75,0.7166666666666667,0.7083333333333333,0.92,0.7666666666666666,0.7083333333333333,0.7333333333333334,0.8083333333333333,0.7333333333333334,0.7416666666666667,0.8,0.75,0.7666666666666666,0.7583333333333333,0.775,0.8083333333333333,0.7416666666666667,0.7916666666666666,0.8083333333333333,0.8083333333333333,0.7833333333333333
random--la520,0.7050000000000001,0.7285714285714286,0.7333333333333334,0.6928571428571428,0.7875,0.785,0.81,0.7375,0.75,0.81,0.7636363636363637,0.755,0.7210526315789474,0.8076923076923077,0.79,0.78,0.725,0.8416666666666667,0.7333333333333334,0.78,0.7625,0.77,0.78,0.7307692307692308,0.775,0.79,0.8083333333333333,1.0,0.7684210526315789,0.83,0.7947368421052632,0.75,0.8071428571428572,0.7230769230769231,0.8,0.7214285714285714,0.83125,0.7733333333333333,0.7583333333333333,0.825,0.8066666666666666,0.76,0.7214285714285714,0.71,0.8210526315789474,0.7666666666666666,0.7642857142857142,0.75,0.7611111111111111,0.7263157894736842,0.7050000000000001,0.76,0.736842105263158,0.72,0.78125,0.8,0.785,0.81,0.765
random--la68,0.7736842105263158,0.7714285714285715,0.7916666666666666,0.7428571428571429,0.75625,0.8473684210526315,0.8,0.75,0.7947368421052632,0.8200000000000001,0.7636363636363637,0.8210526315789474,0.7473684210526316,0.7769230769230769,0.83,0.7526315789473684,0.7842105263157895,0.8083333333333333,0.7333333333333334,0.7473684210526316,0.8375,0.8210526315789474,0.8157894736842105,0.8,0.8083333333333333,0.83,0.7666666666666666,0.7684210526315789,1.0,0.81,0.7894736842105263,0.8368421052631578,0.8142857142857143,0.7153846153846154,0.8133333333333334,0.7071428571428571,0.76875,0.8200000000000001,0.7833333333333333,0.7947368421052632,0.8,0.74,0.7142857142857143,0.7631578947368421,0.7684210526315789,0.8200000000000001,0.8142857142857143,0.8,0.7166666666666667,0.7684210526315789,0.736842105263158,0.7631578947368421,0.8052631578947369,0.7894736842105263,0.73125,0.7642857142857142,0.7578947368421053,0.7894736842105263,0.7947368421052632
random--la614,0.83,0.74,0.76,0.75,0.78,0.77,0.83,0.8625,0.8,0.76,0.74,0.8200000000000001,0.73,0.78,0.8,0.8200000000000001,0.84,0.71,0.75,0.86,0.77,0.77,0.83,0.74,0.76,0.78,0.87,0.83,0.81,1.0,0.76,0.87,0.84,0.75,0.8,0.81,0.77,0.81,0.77,0.75,0.78,0.9,0.74,0.75,0.73,0.86,0.72,0.86,0.83,0.72,0.77,0.76,0.83,0.79,0.71,0.78,0.84,0.81,0.8200000000000001
random--la615,0.736842105263158,0.7785714285714286,0.7666666666666666,0.7214285714285714,0.8125,0.7736842105263158,0.7684210526315789,0.725,0.7684210526315789,0.79,0.7636363636363637,0.7684210526315789,0.8105263157894737,0.7846153846153846,0.79,0.7473684210526316,0.7736842105263158,0.7833333333333333,0.7333333333333334,0.7842105263157895,0.80625,0.7631578947368421,0.7789473684210526,0.7692307692307692,0.75,0.75,0.775,0.7947368421052632,0.7894736842105263,0.76,1.0,0.7578947368421053,0.7785714285714286,0.7538461538461538,0.7666666666666666,0.7571428571428571,0.76875,0.7933333333333333,0.8,0.7684210526315789,0.76,0.84,0.8,0.7894736842105263,0.7052631578947368,0.7733333333333333,0.8,0.7684210526315789,0.7,0.7578947368421053,0.736842105263158,0.7421052631578947,0.7631578947368421,0.7842105263157895,0.7875,0.8,0.7526315789473684,0.7315789473684211,0.7631578947368421
random--la616,0.780952380952381,0.7785714285714286,0.775,0.7714285714285715,0.76875,0.817391304347826,0.7666666666666666,0.7875,0.7619047619047619,0.84,0.7727272727272727,0.7625,0.7631578947368421,0.8307692307692307,0.83,0.7375,0.7652173913043478,0.8583333333333334,0.7583333333333333,0.7333333333333334,0.825,0.775,0.775,0.7692307692307692,0.7916666666666666,0.8,0.7666666666666666,0.75,0.8368421052631578,0.87,0.7578947368421053,1.0,0.7857142857142857,0.7307692307692308,0.7333333333333334,0.7071428571428571,0.81875,0.7866666666666666,0.8166666666666667,0.7454545454545455,0.8200000000000001,0.86,0.8071428571428572,0.7318181818181818,0.7631578947368421,0.8200000000000001,0.7571428571428571,0.7571428571428571,0.7666666666666666,0.7631578947368421,0.75,0.740909090909091,0.7842105263157895,0.785,0.8125,0.7714285714285715,0.7380952380952381,0.7916666666666666,0.795
random--la621,0.7928571428571428,0.7714285714285715,0.7666666666666666,0.7214285714285714,0.7571428571428571,0.8357142857142857,0.8214285714285714,0.7875,0.8,0.83,0.7636363636363637,0.85,0.7285714285714286,0.8307692307692307,0.84,0.8071428571428572,0.8,0.7416666666666667,0.725,0.8,0.7928571428571428,0.8142857142857143,0.8357142857142857,0.7615384615384615,0.7666666666666666,0.73,0.8666666666666667,0.8071428571428572,0.8142857142857143,0.84,0.7785714285714286,0.7857142857142857,1.0,0.7153846153846154,0.7928571428571428,0.7357142857142858,0.7785714285714286,0.8,0.8333333333333334,0.7571428571428571,0.7428571428571429,0.86,0.7428571428571429,0.7214285714285714,0.7357142857142858,0.8285714285714285,0.7857142857142857,0.8214285714285714,0.7428571428571429,0.8,0.7714285714285715,0.7785714285714286,0.8142857142857143,0.7857142857142857,0.7142857142857143,0.7571428571428571,0.8428571428571429,0.7857142857142857,0.8142857142857143
