names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
random--la18,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,14.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0
random--la117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
random--la1018,0.0,0.0,0.0,0.0,0.0,0.0,5.0,349.0,289.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la23,0.0,0.0,0.0,0.0,0.0,8.0,5.0,351.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la219,0.0,0.0,0.0,2.0,3.0,4.0,19.0,178.0,232.0,22.0,4.0,7.0,0.0,0.0,0.0,0.0
random--la222,0.0,0.0,0.0,0.0,0.0,0.0,48.0,312.0,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la310,0.0,0.0,0.0,0.0,0.0,0.0,89.0,341.0,489.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la322,0.0,0.0,0.0,3.0,2.0,1.0,5.0,149.0,174.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0
random--la44,0.0,0.0,0.0,0.0,0.0,5.0,24.0,243.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,174.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0
random--la414,0.0,0.0,0.0,1.0,0.0,2.0,1.0,81.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la56,0.0,0.0,0.0,0.0,0.0,4.0,9.0,283.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la510,0.0,0.0,0.0,0.0,0.0,0.0,48.0,145.0,209.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0
random--la511,0.0,0.0,0.0,0.0,0.0,0.0,4.0,94.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,13.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0
random--la66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,15.0,28.0,11.0,2.0,7.0,0.0,0.0,0.0
random--la616,0.0,0.0,0.0,0.0,0.0,7.0,15.0,352.0,334.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,97.0,4.0,2.0,2.0,4.0,3.0,0.0,0.0
random--la619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,29.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0
random--la626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,150.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
random--la711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,306.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la714,0.0,0.0,0.0,3.0,4.0,2.0,2.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la719,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,17.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0
random--la811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0
random--la821,0.0,0.0,0.0,0.0,0.0,1.0,7.0,331.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random--la96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,159.0,3.0,1.0,6.0,2.0,0.0,0.0,0.0
random--la921,0.0,0.0,2.0,2.0,5.0,10.0,18.0,351.0,316.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0
random--la922,1.0,1.0,4.0,1.0,1.0,4.0,21.0,238.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
