test,sampling_index
random--la11,-1
random--la14,-1
random--la17,-1
random--la18,14
random--la111,-1
random--la115,-1
random--la117,-1
random--la102,-1
random--la103,-1
random--la105,-1
random--la108,-1
random--la109,-1
random--la1012,-1
random--la1017,-1
random--la1018,11
random--la1020,-1
random--la23,-1
random--la24,-1
random--la28,-1
random--la210,-1
random--la211,-1
random--la213,-1
random--la214,21
random--la215,-1
random--la216,-1
random--la218,-1
random--la219,1
random--la220,-1
random--la222,13
random--la31,16
random--la35,-1
random--la36,-1
random--la37,-1
random--la38,-1
random--la310,4
random--la311,6
random--la318,-1
random--la321,-1
random--la322,5
random--la323,-1
random--la42,-1
random--la44,-1
random--la46,2
random--la49,18
random--la412,15
random--la413,-1
random--la414,-1
random--la415,-1
random--la53,-1
random--la56,-1
random--la57,28
random--la58,-1
random--la59,-1
random--la510,27
random--la511,9
random--la517,-1
random--la518,-1
random--la520,29
random--la61,12
random--la62,-1
random--la63,-1
random--la66,-1
random--la68,-1
random--la610,24
random--la614,-1
random--la615,-1
random--la616,10
random--la617,-1
random--la619,23
random--la621,-1
random--la622,-1
random--la623,-1
random--la625,-1
random--la626,-1
random--la627,20
random--la72,-1
random--la74,-1
random--la75,-1
random--la77,-1
random--la79,-1
random--la711,22
random--la713,-1
random--la714,8
random--la716,-1
random--la718,-1
random--la719,-1
random--la82,-1
random--la84,25
random--la85,-1
random--la87,-1
random--la88,-1
random--la810,-1
random--la811,0
random--la813,19
random--la814,26
random--la816,-1
random--la818,-1
random--la819,-1
random--la820,-1
random--la821,-1
random--la822,17
random--la824,-1
random--la92,-1
random--la93,-1
random--la96,-1
random--la98,-1
random--la910,-1
random--la912,-1
random--la914,-1
random--la916,-1
random--la917,-1
random--la918,-1
random--la921,3
random--la922,7
random--la923,-1
