test,num_states
random--la18,63
random--la1018,652
random--la214,757
random--la219,471
random--la222,727
random--la31,95
random--la310,941
random--la311,699
random--la322,344
random--la46,129
random--la49,316
random--la412,648
random--la57,776
random--la510,412
random--la511,155
random--la520,755
random--la61,72
random--la610,85
random--la616,736
random--la619,228
random--la627,455
random--la711,640
random--la714,69
random--la84,871
random--la811,64
random--la813,499
random--la814,195
random--la822,872
random--la921,740
random--la922,488
