road,random--la18,random--la111,random--la102,random--la109,random--la1018,random--la23,random--la211,random--la214,random--la215,random--la219,random--la311,random--la318,random--la321,random--la415,random--la57,random--la511,random--la517,random--la68,random--la617,random--la627,random--la74,random--la77,random--la711,random--la713,random--la714,random--la87,random--la819,random--la822,random--la914,random--la916
random--la18,1.0,1.0,0.9375,0.9375,0.875,0.875,0.875,0.875,1.0,0.9375,0.875,0.875,0.875,1.0,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,1.0,0.875,0.9375,0.9375,1.0,0.875,0.875,0.9375,0.875
random--la111,1.0,1.0,0.9375,0.9375,0.875,0.875,0.875,0.875,1.0,0.9375,0.875,0.875,0.875,1.0,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,1.0,0.875,0.9375,0.9375,1.0,0.875,0.875,0.9375,0.875
random--la102,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375
random--la109,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375
random--la1018,0.875,0.875,0.9375,0.9375,1.0,1.0,1.0,1.0,0.875,0.9375,1.0,1.0,1.0,0.875,0.9375,0.875,1.0,0.9375,0.875,0.9375,1.0,0.875,1.0,0.9375,0.9375,0.875,1.0,1.0,0.9375,1.0
random--la23,0.875,0.875,0.9375,0.9375,1.0,1.0,1.0,1.0,0.875,0.9375,1.0,1.0,1.0,0.875,0.9375,0.875,1.0,0.9375,0.875,0.9375,1.0,0.875,1.0,0.9375,0.9375,0.875,1.0,1.0,0.9375,1.0
random--la211,0.875,0.875,0.9375,0.9375,1.0,1.0,1.0,1.0,0.875,0.9375,1.0,1.0,1.0,0.875,0.9375,0.875,1.0,0.9375,0.875,0.9375,1.0,0.875,1.0,0.9375,0.9375,0.875,1.0,1.0,0.9375,1.0
random--la214,0.875,0.875,0.9375,0.9375,1.0,1.0,1.0,1.0,0.875,0.9375,1.0,1.0,1.0,0.875,0.9375,0.875,1.0,0.9375,0.875,0.9375,1.0,0.875,1.0,0.9375,0.9375,0.875,1.0,1.0,0.9375,1.0
random--la215,1.0,1.0,0.9375,0.9375,0.875,0.875,0.875,0.875,1.0,0.9375,0.875,0.875,0.875,1.0,0.9375,1.0,0.875,0.9375,1.0,0.9375,0.875,1.0,0.875,0.9375,0.9375,1.0,0.875,0.875,0.9375,0.875
random--la219,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,0.9375,0.9375,1.0,0.9375,0.9375,1.0,0.9375,1.0,0.9375,0.9375,0.9375,1.0,1.0,0.9375,0.9375,0.9375,1.0,0.9375
