road,one-plus-o23,one-plus-o212,one-plus-o216,one-plus-o217,one-plus-o220,one-plus-o222,one-plus-o223,one-plus-o225,one-plus-o226,one-plus-o243,one-plus-o329,one-plus-o344,one-plus-o350,one-plus-o353,one-plus-o361,one-plus-o368,random--la1024,random--la232,random--la240,random--la438,random--la53,random--la519,random--la523,random--la624,random--la631,random--la637,random--la76,random--la724,random--la733,random--la86
one-plus-o23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
one-plus-o329,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.8125,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.875
one-plus-o344,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,1.0,0.875,0.8125,0.8125,0.75,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125
one-plus-o350,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,1.0,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125
one-plus-o353,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.8125,0.9375,1.0,0.875,0.9375,0.8125,0.8125,0.8125,0.8125,1.0,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75
one-plus-o361,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.8125,0.9375,0.875,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.875
one-plus-o368,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.9375,0.75,0.875,0.9375,0.9375,1.0,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125
random--la1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la240,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la53,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.875,0.8125,0.9375,1.0,0.875,0.9375,0.8125,0.8125,0.8125,0.8125,1.0,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.75
random--la519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la76,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.875,0.875,0.8125,0.9375,0.875,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9375
random--la733,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,0.8125,0.75,0.875,0.8125,0.9375,0.9375,0.9375,0.9375,0.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1.0,0.875
random--la86,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.8125,0.8125,0.75,0.875,0.8125,0.9375,0.9375,0.9375,0.9375,0.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,1.0
