road,one-plus-o218,one-plus-o220,random--la1010,random--la1018,random--la26,random--la219,random--la33,random--la42,random--la427,random--la435,random--la438,random--la439,random--la53,random--la514,random--la515,random--la520,random--la62,random--la620,random--la654,random--la655,random--la656,random--la658,random--la74,random--la78,random--la722,random--la727,random--la82,random--la86,random--la87,random--la924
one-plus-o218,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
one-plus-o220,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la1010,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la1018,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la26,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la219,0.875,0.875,0.875,0.875,0.875,1.0,0.75,0.875,0.8125,0.9375,0.875,0.875,0.625,0.875,0.625,0.8125,0.8125,0.875,0.875,0.8125,0.8125,0.875,0.8125,0.875,0.75,0.75,0.75,0.75,0.75,0.9375
random--la33,0.875,0.875,0.875,0.875,0.875,0.75,1.0,0.875,0.8125,0.8125,0.875,0.75,0.5,0.875,0.5,0.9375,0.6875,0.875,0.875,0.9375,0.6875,0.75,0.6875,0.75,1.0,1.0,1.0,1.0,1.0,0.8125
random--la42,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la427,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,1.0,0.875,0.8125,0.9375,0.6875,0.8125,0.6875,0.875,0.875,0.8125,0.6875,0.875,0.875,0.9375,0.875,0.9375,0.8125,0.8125,0.8125,0.8125,0.8125,0.75
random--la435,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.875,1.0,0.8125,0.9375,0.6875,0.9375,0.6875,0.875,0.875,0.9375,0.8125,0.875,0.875,0.9375,0.875,0.9375,0.8125,0.8125,0.8125,0.8125,0.8125,0.875
random--la438,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.8125,1.0,0.75,0.5,0.875,0.5,0.9375,0.6875,0.875,0.875,0.9375,0.6875,0.75,0.6875,0.75,0.875,0.875,0.875,0.875,0.875,0.9375
random--la439,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.9375,0.9375,0.75,1.0,0.75,0.875,0.75,0.8125,0.9375,0.875,0.75,0.8125,0.9375,1.0,0.9375,1.0,0.75,0.75,0.75,0.75,0.75,0.8125
random--la53,0.625,0.625,0.625,0.625,0.625,0.625,0.5,0.625,0.6875,0.6875,0.5,0.75,1.0,0.625,1.0,0.5625,0.8125,0.625,0.5,0.5625,0.8125,0.75,0.8125,0.75,0.5,0.5,0.5,0.5,0.5,0.5625
random--la514,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la515,0.625,0.625,0.625,0.625,0.625,0.625,0.5,0.625,0.6875,0.6875,0.5,0.75,1.0,0.625,1.0,0.5625,0.8125,0.625,0.5,0.5625,0.8125,0.75,0.8125,0.75,0.5,0.5,0.5,0.5,0.5,0.5625
random--la520,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.9375,0.875,0.875,0.9375,0.8125,0.5625,0.9375,0.5625,1.0,0.75,0.9375,0.8125,1.0,0.75,0.8125,0.75,0.8125,0.9375,0.9375,0.9375,0.9375,0.9375,0.875
random--la62,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.6875,0.8125,0.875,0.875,0.6875,0.9375,0.8125,0.8125,0.8125,0.75,1.0,0.8125,0.6875,0.75,1.0,0.9375,1.0,0.9375,0.6875,0.6875,0.6875,0.6875,0.6875,0.75
random--la620,1.0,1.0,1.0,1.0,1.0,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.625,1.0,0.625,0.9375,0.8125,1.0,0.875,0.9375,0.8125,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la654,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.6875,0.8125,0.875,0.75,0.5,0.875,0.5,0.8125,0.6875,0.875,1.0,0.8125,0.6875,0.75,0.6875,0.75,0.875,0.875,0.875,0.875,0.875,0.9375
random--la655,0.9375,0.9375,0.9375,0.9375,0.9375,0.8125,0.9375,0.9375,0.875,0.875,0.9375,0.8125,0.5625,0.9375,0.5625,1.0,0.75,0.9375,0.8125,1.0,0.75,0.8125,0.75,0.8125,0.9375,0.9375,0.9375,0.9375,0.9375,0.875
