road,one-plus-o22,one-plus-o227,one-plus-o230,one-plus-o238,one-plus-o34,one-plus-o37,one-plus-o320,one-plus-o331,one-plus-o340,one-plus-o344,one-plus-o346,random--la12,random--la1016,random--la24,random--la314,random--la43,random--la413,random--la415,random--la421,random--la424,random--la427,random--la53,random--la532,random--la619,random--la621,random--la628,random--la712,random--la717,random--la734,random--la911
random--la427,0.6363636363636364,0.8181818181818182,0.6666666666666666,0.6363636363636364,0.7,0.7,0.7,0.7,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5833333333333334,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.75,0.5833333333333334,0.09090909090909091,0.5,0.5,1.0,0.7272727272727273,0.6666666666666666,0.6363636363636364,0.8181818181818182,0.8,0.75,0.5833333333333334,0.45454545454545453,0.5833333333333334
random--la53,0.5454545454545454,0.7272727272727273,0.5833333333333334,0.5454545454545454,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.5,0.7,0.5833333333333334,0.8,0.8181818181818182,0.6363636363636364,0.2222222222222222,0.7,0.5454545454545454,0.7272727272727273,1.0,0.7272727272727273,0.8888888888888888,0.5833333333333334,0.8888888888888888,0.8181818181818182,0.6363636363636364,0.5,0.6363636363636364
random--la532,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.5,0.6666666666666666,0.7272727272727273,0.9090909090909091,0.7272727272727273,0.2,0.8,0.8,0.6666666666666666,0.7272727272727273,1.0,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.75,0.7272727272727273,0.45454545454545453,0.7272727272727273
random--la619,0.45454545454545453,0.6363636363636364,0.5,0.45454545454545453,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.4166666666666667,0.6,0.5,0.7,0.7272727272727273,0.5454545454545454,0.25,0.6,0.45454545454545453,0.6363636363636364,0.8888888888888888,0.6363636363636364,1.0,0.5,0.7777777777777778,0.7272727272727273,0.7,0.4,0.7
random--la621,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,0.5,0.5,0.7272727272727273,0.5,0.8181818181818182,0.7272727272727273,0.75,0.7272727272727273,0.09090909090909091,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.5833333333333334,0.8181818181818182,0.5,1.0,0.6363636363636364,0.75,0.7272727272727273,0.45454545454545453,0.5833333333333334
random--la628,0.45454545454545453,0.6363636363636364,0.5,0.45454545454545453,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6,0.4166666666666667,0.6,0.6363636363636364,0.7,0.7272727272727273,0.5454545454545454,0.1111111111111111,0.6,0.45454545454545453,0.8,0.8888888888888888,0.6363636363636364,0.7777777777777778,0.6363636363636364,1.0,0.7272727272727273,0.5454545454545454,0.4,0.5454545454545454
random--la712,0.5833333333333334,0.75,0.75,0.5833333333333334,0.5,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.7272727272727273,0.75,0.8181818181818182,0.8333333333333334,0.8181818181818182,0.18181818181818182,0.7272727272727273,0.5833333333333334,0.75,0.8181818181818182,0.75,0.7272727272727273,0.75,0.7272727272727273,1.0,0.8181818181818182,0.5454545454545454,0.6666666666666666
random--la717,0.4166666666666667,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6363636363636364,0.5454545454545454,0.5833333333333334,0.8,0.6666666666666666,0.8,0.2222222222222222,0.7,0.5454545454545454,0.5833333333333334,0.6363636363636364,0.7272727272727273,0.7,0.7272727272727273,0.5454545454545454,0.8181818181818182,1.0,0.5,0.6363636363636364
random--la734,0.5555555555555556,0.45454545454545453,0.45454545454545453,0.4,0.18181818181818182,0.18181818181818182,0.3,0.3,0.4,0.4,0.4,0.5,0.5555555555555556,0.45454545454545453,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.14285714285714285,0.5555555555555556,0.2727272727272727,0.45454545454545453,0.5,0.45454545454545453,0.4,0.45454545454545453,0.4,0.5454545454545454,0.5,1.0,0.36363636363636365
random--la911,0.5454545454545454,0.5833333333333334,0.5833333333333334,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,0.4166666666666667,0.7272727272727273,0.5,0.8181818181818182,0.6363636363636364,0.1,0.7,0.5454545454545454,0.5833333333333334,0.6363636363636364,0.7272727272727273,0.7,0.5833333333333334,0.5454545454545454,0.6666666666666666,0.6363636363636364,0.36363636363636365,1.0
