road,random--la11,random--la18,random--la111,random--la109,random--la1018,random--la219,random--la222,random--la311,random--la322,random--la46,random--la49,random--la412,random--la53,random--la510,random--la511,random--la520,random--la61,random--la610,random--la616,random--la617,random--la625,random--la626,random--la714,random--la84,random--la811,random--la813,random--la820,random--la822,random--la912,random--la921
random--la11,1.0,0.5625,0.5,0.5,0.5,0.8125,0.4375,0.5,0.75,0.625,0.5625,0.6875,0.625,0.625,0.4375,0.625,0.5,0.5,0.5625,0.5625,0.375,0.375,0.625,0.625,0.5,0.625,0.5625,0.4375,0.5,0.6875
random--la18,0.5625,1.0,0.9375,0.6875,0.8125,0.75,0.75,0.8125,0.8125,0.8125,0.875,0.625,0.9375,0.9375,0.75,0.5625,0.9375,0.8125,0.75,0.875,0.6875,0.6875,0.5625,0.5625,0.9375,0.5625,0.75,0.75,0.8125,0.625
random--la111,0.5,0.9375,1.0,0.625,0.75,0.6875,0.6875,0.75,0.75,0.875,0.9375,0.5625,0.875,0.875,0.6875,0.5,1.0,0.875,0.6875,0.9375,0.75,0.75,0.5,0.5,1.0,0.5,0.6875,0.6875,0.875,0.5625
random--la109,0.5,0.6875,0.625,1.0,0.875,0.6875,0.8125,0.875,0.625,0.5,0.6875,0.8125,0.75,0.75,0.8125,0.75,0.625,0.75,0.9375,0.5625,0.75,0.75,0.75,0.75,0.625,0.75,0.9375,0.8125,0.75,0.8125
random--la1018,0.5,0.8125,0.75,0.875,1.0,0.6875,0.9375,1.0,0.625,0.625,0.8125,0.8125,0.875,0.875,0.9375,0.75,0.75,0.875,0.9375,0.6875,0.875,0.875,0.75,0.75,0.75,0.75,0.9375,0.9375,0.875,0.6875
random--la219,0.8125,0.75,0.6875,0.6875,0.6875,1.0,0.625,0.6875,0.9375,0.5625,0.75,0.875,0.8125,0.8125,0.625,0.8125,0.6875,0.6875,0.75,0.625,0.5625,0.5625,0.8125,0.8125,0.6875,0.8125,0.75,0.625,0.6875,0.875
random--la222,0.4375,0.75,0.6875,0.8125,0.9375,0.625,1.0,0.9375,0.5625,0.5625,0.75,0.75,0.8125,0.8125,1.0,0.8125,0.6875,0.8125,0.875,0.625,0.9375,0.9375,0.8125,0.8125,0.6875,0.8125,0.875,1.0,0.8125,0.625
random--la311,0.5,0.8125,0.75,0.875,1.0,0.6875,0.9375,1.0,0.625,0.625,0.8125,0.8125,0.875,0.875,0.9375,0.75,0.75,0.875,0.9375,0.6875,0.875,0.875,0.75,0.75,0.75,0.75,0.9375,0.9375,0.875,0.6875
random--la322,0.75,0.8125,0.75,0.625,0.625,0.9375,0.5625,0.625,1.0,0.625,0.6875,0.8125,0.75,0.75,0.5625,0.75,0.75,0.625,0.6875,0.6875,0.5,0.5,0.75,0.75,0.75,0.75,0.6875,0.5625,0.625,0.8125
random--la46,0.625,0.8125,0.875,0.5,0.625,0.5625,0.5625,0.625,0.625,1.0,0.8125,0.4375,0.75,0.75,0.5625,0.375,0.875,0.75,0.5625,0.9375,0.625,0.625,0.375,0.375,0.875,0.375,0.5625,0.5625,0.75,0.4375
random--la49,0.5625,0.875,0.9375,0.6875,0.8125,0.75,0.75,0.8125,0.6875,0.8125,1.0,0.625,0.9375,0.9375,0.75,0.5625,0.9375,0.9375,0.75,0.875,0.8125,0.8125,0.5625,0.5625,0.9375,0.5625,0.75,0.75,0.9375,0.625
random--la412,0.6875,0.625,0.5625,0.8125,0.8125,0.875,0.75,0.8125,0.8125,0.4375,0.625,1.0,0.6875,0.6875,0.75,0.9375,0.5625,0.6875,0.875,0.5,0.6875,0.6875,0.9375,0.9375,0.5625,0.9375,0.875,0.75,0.6875,0.875
