road,one-plus-o230,one-plus-o345,random--la19,random--la123,random--la124,random--la218,random--la219,random--la223,random--la237,random--la314,random--la318,random--la42,random--la44,random--la413,random--la431,random--la52,random--la620,random--la623,random--la631,random--la635,random--la650,random--la651,random--la655,random--la657,random--la78,random--la712,random--la717,random--la722,random--la87,random--la910
random--la623,0.88671875,0.9765625,0.953125,0.9609375,0.9375,0.94140625,0.90234375,0.97265625,0.9375,0.91015625,0.8828125,0.94140625,0.90625,0.8984375,0.94921875,0.921875,0.95703125,1.0,0.9453125,0.96875,0.9453125,0.95703125,0.91015625,0.96875,0.984375,0.921875,0.94140625,0.8828125,0.96875,0.93359375
random--la631,0.92578125,0.9375,0.953125,0.921875,0.921875,0.93359375,0.89453125,0.93359375,0.9296875,0.93359375,0.8671875,0.93359375,0.9375,0.8984375,0.91796875,0.9296875,0.94140625,0.9453125,1.0,0.9375,0.9375,0.94921875,0.94921875,0.9296875,0.9453125,0.890625,0.92578125,0.921875,0.953125,0.91796875
random--la635,0.90234375,0.9609375,0.9375,0.9296875,0.9296875,0.93359375,0.90234375,0.95703125,0.921875,0.91796875,0.8515625,0.94921875,0.8984375,0.90625,0.94140625,0.9296875,0.93359375,0.96875,0.9375,1.0,0.9375,0.94921875,0.91015625,0.953125,0.9765625,0.90625,0.91796875,0.890625,0.9453125,0.92578125
random--la650,0.92578125,0.9375,0.921875,0.9375,0.921875,0.97265625,0.89453125,0.94140625,0.90625,0.92578125,0.875,0.95703125,0.9375,0.9140625,0.95703125,0.9296875,0.97265625,0.9453125,0.9375,0.9375,1.0,0.94140625,0.90234375,0.9296875,0.953125,0.90625,0.94921875,0.90625,0.953125,0.91015625
random--la651,0.90625,0.95703125,0.96484375,0.94140625,0.91015625,0.9296875,0.90625,0.953125,0.93359375,0.90625,0.87890625,0.9296875,0.93359375,0.90234375,0.9296875,0.91796875,0.9453125,0.95703125,0.94921875,0.94921875,0.94140625,1.0,0.90625,0.94921875,0.96484375,0.91796875,0.9375,0.91015625,0.95703125,0.9375
random--la655,0.921875,0.90234375,0.91015625,0.87890625,0.89453125,0.921875,0.84375,0.8984375,0.90234375,0.921875,0.82421875,0.90625,0.92578125,0.85546875,0.9140625,0.93359375,0.8984375,0.91015625,0.94921875,0.91015625,0.90234375,0.90625,1.0,0.89453125,0.91015625,0.84765625,0.8828125,0.91796875,0.91015625,0.8984375
random--la657,0.87890625,0.9921875,0.953125,0.9609375,0.9140625,0.91796875,0.88671875,0.98046875,0.921875,0.89453125,0.875,0.91796875,0.890625,0.8828125,0.93359375,0.90625,0.94140625,0.96875,0.9296875,0.953125,0.9296875,0.94921875,0.89453125,1.0,0.96875,0.921875,0.94921875,0.875,0.9453125,0.91796875
random--la78,0.90234375,0.9765625,0.953125,0.953125,0.9296875,0.94140625,0.90234375,0.98046875,0.9375,0.91015625,0.875,0.94140625,0.921875,0.90625,0.95703125,0.9296875,0.95703125,0.984375,0.9453125,0.9765625,0.953125,0.96484375,0.91015625,0.96875,1.0,0.9296875,0.94140625,0.8828125,0.96875,0.93359375
random--la712,0.85546875,0.9296875,0.90625,0.921875,0.875,0.89453125,0.85546875,0.93359375,0.890625,0.85546875,0.84375,0.87890625,0.8671875,0.8671875,0.89453125,0.859375,0.91796875,0.921875,0.890625,0.90625,0.90625,0.91796875,0.84765625,0.921875,0.9296875,1.0,0.91015625,0.84375,0.9140625,0.87890625
random--la717,0.8828125,0.94921875,0.94140625,0.95703125,0.89453125,0.921875,0.875,0.953125,0.91015625,0.890625,0.89453125,0.9140625,0.89453125,0.88671875,0.9140625,0.88671875,0.9453125,0.94140625,0.92578125,0.91796875,0.94921875,0.9375,0.8828125,0.94921875,0.94140625,0.91015625,1.0,0.87890625,0.94921875,0.9140625
random--la722,0.91796875,0.8828125,0.8984375,0.875,0.8828125,0.91796875,0.85546875,0.87890625,0.875,0.94140625,0.8359375,0.91015625,0.921875,0.8515625,0.91015625,0.90625,0.91015625,0.8828125,0.921875,0.890625,0.90625,0.91015625,0.91796875,0.875,0.8828125,0.84375,0.87890625,1.0,0.90625,0.87890625
random--la87,0.91015625,0.953125,0.9453125,0.9453125,0.921875,0.94140625,0.89453125,0.95703125,0.921875,0.93359375,0.90625,0.93359375,0.921875,0.90625,0.94140625,0.921875,0.95703125,0.96875,0.953125,0.9453125,0.953125,0.95703125,0.91015625,0.9453125,0.96875,0.9140625,0.94921875,0.90625,1.0,0.92578125
random--la910,0.890625,0.91796875,0.92578125,0.91015625,0.88671875,0.890625,0.8515625,0.9140625,0.94921875,0.875,0.84765625,0.890625,0.90234375,0.87890625,0.890625,0.87890625,0.90625,0.93359375,0.91796875,0.92578125,0.91015625,0.9375,0.8984375,0.91796875,0.93359375,0.87890625,0.9140625,0.87890625,0.92578125,1.0
