road,one-plus-o230,one-plus-o345,random--la19,random--la123,random--la124,random--la218,random--la219,random--la223,random--la237,random--la314,random--la318,random--la42,random--la44,random--la413,random--la431,random--la52,random--la620,random--la623,random--la631,random--la635,random--la650,random--la651,random--la655,random--la657,random--la78,random--la712,random--la717,random--la722,random--la87,random--la910
one-plus-o230,1.0,0.875,0.875,0.6875,0.9375,1.0,0.875,0.8125,0.875,0.875,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,0.8125,0.875,1.0,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
one-plus-o345,0.875,1.0,0.875,0.8125,0.8125,0.875,0.875,0.9375,0.75,0.75,0.75,0.875,0.875,0.8125,0.875,0.875,0.875,0.9375,0.875,0.875,0.9375,0.9375,0.8125,1.0,1.0,1.0,0.75,0.75,0.75,0.8125
random--la19,0.875,0.875,1.0,0.8125,0.9375,0.875,0.875,0.8125,0.875,0.875,0.875,0.875,0.875,0.8125,0.875,0.875,0.875,0.9375,1.0,0.875,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la123,0.6875,0.8125,0.8125,1.0,0.75,0.6875,0.6875,0.875,0.6875,0.6875,0.6875,0.6875,0.6875,0.625,0.6875,0.6875,0.6875,0.875,0.8125,0.6875,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.6875,0.6875,0.6875,0.75
random--la124,0.9375,0.8125,0.9375,0.75,1.0,0.9375,0.8125,0.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.875,1.0,0.8125,0.8125,0.8125,0.9375,0.9375,0.9375,1.0
random--la218,1.0,0.875,0.875,0.6875,0.9375,1.0,0.875,0.8125,0.875,0.875,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,0.8125,0.875,1.0,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la219,0.875,0.875,0.875,0.6875,0.8125,0.875,1.0,0.8125,0.75,0.75,0.75,0.875,0.875,0.8125,0.875,0.875,0.875,0.8125,0.875,0.875,0.9375,0.9375,0.8125,0.875,0.875,0.875,0.75,0.75,0.75,0.8125
random--la223,0.8125,0.9375,0.8125,0.875,0.75,0.8125,0.8125,1.0,0.6875,0.6875,0.6875,0.8125,0.8125,0.75,0.8125,0.8125,0.8125,0.875,0.8125,0.8125,0.875,0.875,0.75,0.9375,0.9375,0.9375,0.6875,0.6875,0.6875,0.75
random--la237,0.875,0.75,0.875,0.6875,0.9375,0.875,0.75,0.6875,1.0,1.0,1.0,0.875,0.875,0.9375,0.875,0.875,0.875,0.8125,0.875,0.875,0.8125,0.8125,0.9375,0.75,0.75,0.75,1.0,1.0,1.0,0.9375
random--la314,0.875,0.75,0.875,0.6875,0.9375,0.875,0.75,0.6875,1.0,1.0,1.0,0.875,0.875,0.9375,0.875,0.875,0.875,0.8125,0.875,0.875,0.8125,0.8125,0.9375,0.75,0.75,0.75,1.0,1.0,1.0,0.9375
random--la318,0.875,0.75,0.875,0.6875,0.9375,0.875,0.75,0.6875,1.0,1.0,1.0,0.875,0.875,0.9375,0.875,0.875,0.875,0.8125,0.875,0.875,0.8125,0.8125,0.9375,0.75,0.75,0.75,1.0,1.0,1.0,0.9375
random--la42,1.0,0.875,0.875,0.6875,0.9375,1.0,0.875,0.8125,0.875,0.875,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,0.8125,0.875,1.0,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
random--la44,1.0,0.875,0.875,0.6875,0.9375,1.0,0.875,0.8125,0.875,0.875,0.875,1.0,1.0,0.9375,1.0,1.0,1.0,0.8125,0.875,1.0,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.875,0.875,0.875,0.9375
