test,num_obes
random--la18,1
random--la109,1
random--la214,0
random--la219,1
random--la222,0
random--la31,1
random--la35,0
random--la310,0
random--la311,0
random--la322,1
random--la49,1
random--la53,1
random--la57,0
random--la511,1
random--la520,0
random--la61,1
random--la615,0
random--la616,0
random--la617,1
random--la619,1
random--la626,0
random--la711,0
random--la714,1
random--la85,0
random--la811,1
random--la821,0
random--la822,0
random--la912,0
random--la921,0
random--la922,1
