test,num_states
random--la11,379
random--la18,63
random--la111,88
random--la109,219
random--la1018,652
random--la219,471
random--la222,727
random--la311,699
random--la322,344
random--la46,129
random--la412,648
random--la53,499
random--la510,412
random--la511,155
random--la61,72
random--la66,130
random--la610,85
random--la616,736
random--la619,228
random--la75,604
random--la711,640
random--la84,871
random--la811,64
random--la814,195
random--la816,748
random--la821,656
random--la822,872
random--la912,797
random--la921,740
random--la922,488
