test,num_obes
random--la11,1
random--la18,1
random--la111,1
random--la109,1
random--la1018,0
random--la219,1
random--la222,0
random--la311,0
random--la322,1
random--la46,1
random--la412,1
random--la53,1
random--la510,1
random--la511,1
random--la61,1
random--la66,1
random--la610,1
random--la616,0
random--la619,1
random--la75,0
random--la711,0
random--la84,0
random--la811,1
random--la814,1
random--la816,1
random--la821,0
random--la822,0
random--la912,0
random--la921,0
random--la922,1
