road,one-plus-o224,one-plus-o228,random--la112,random--la114,random--la125,random--la102,random--la1010,random--la1021,random--la24,random--la26,random--la218,random--la235,random--la240,random--la318,random--la43,random--la431,random--la438,random--la514,random--la532,random--la63,random--la66,random--la621,random--la630,random--la631,random--la633,random--la638,random--la641,random--la712,random--la727,random--la910
random--la514,0.76953125,0.76953125,0.78125,0.78125,0.76171875,0.83984375,0.81640625,0.76171875,0.796875,0.796875,0.78515625,0.7265625,0.7578125,0.7421875,0.83203125,0.71484375,0.78515625,1.0,0.796875,0.74609375,0.7734375,0.79296875,0.7734375,0.70703125,0.81640625,0.7421875,0.80859375,0.8125,0.7890625,0.7734375
random--la532,0.81640625,0.80078125,0.8203125,0.8359375,0.80859375,0.78515625,0.81640625,0.79296875,0.828125,0.7890625,0.83984375,0.75,0.7734375,0.7890625,0.84765625,0.78515625,0.80078125,0.796875,1.0,0.80078125,0.734375,0.78515625,0.828125,0.73046875,0.85546875,0.828125,0.83984375,0.765625,0.8046875,0.8046875
random--la63,0.7734375,0.7578125,0.77734375,0.76953125,0.765625,0.6953125,0.765625,0.7578125,0.80078125,0.73046875,0.71875,0.72265625,0.76171875,0.78515625,0.765625,0.7109375,0.7578125,0.74609375,0.80078125,1.0,0.75390625,0.78125,0.81640625,0.7109375,0.765625,0.80859375,0.7421875,0.74609375,0.75390625,0.76953125
random--la66,0.73046875,0.73046875,0.75,0.734375,0.74609375,0.74609375,0.74609375,0.72265625,0.7578125,0.734375,0.75390625,0.6953125,0.71875,0.7578125,0.76171875,0.69921875,0.76171875,0.7734375,0.734375,0.75390625,1.0,0.73828125,0.703125,0.68359375,0.73828125,0.734375,0.75390625,0.71875,0.7421875,0.71875
random--la621,0.75,0.734375,0.76953125,0.74609375,0.7734375,0.734375,0.78125,0.828125,0.76953125,0.77734375,0.7890625,0.76953125,0.74609375,0.80078125,0.765625,0.7421875,0.75,0.79296875,0.78515625,0.78125,0.73828125,1.0,0.76953125,0.7265625,0.8046875,0.75390625,0.796875,0.74609375,0.79296875,0.73828125
random--la630,0.76953125,0.73828125,0.7734375,0.78125,0.77734375,0.73828125,0.73046875,0.75390625,0.84375,0.75,0.78515625,0.7265625,0.78125,0.7890625,0.82421875,0.70703125,0.76171875,0.7734375,0.828125,0.81640625,0.703125,0.76953125,1.0,0.67578125,0.79296875,0.796875,0.81640625,0.765625,0.796875,0.796875
random--la631,0.6875,0.7421875,0.67578125,0.70703125,0.7109375,0.703125,0.7109375,0.65625,0.69140625,0.69140625,0.6875,0.77734375,0.72265625,0.65234375,0.6953125,0.7421875,0.6875,0.70703125,0.73046875,0.7109375,0.68359375,0.7265625,0.67578125,1.0,0.6796875,0.69921875,0.71875,0.69921875,0.67578125,0.73046875
random--la633,0.796875,0.796875,0.79296875,0.81640625,0.78125,0.7734375,0.8125,0.796875,0.81640625,0.82421875,0.8671875,0.74609375,0.74609375,0.78515625,0.8359375,0.78125,0.78125,0.81640625,0.85546875,0.765625,0.73828125,0.8046875,0.79296875,0.6796875,1.0,0.79296875,0.8515625,0.76953125,0.82421875,0.79296875
random--la638,0.74609375,0.75390625,0.765625,0.8359375,0.74609375,0.74609375,0.76171875,0.74609375,0.828125,0.7578125,0.79296875,0.7578125,0.8125,0.7578125,0.80859375,0.74609375,0.78515625,0.7421875,0.828125,0.80859375,0.734375,0.75390625,0.796875,0.69921875,0.79296875,1.0,0.78515625,0.7734375,0.75,0.78125
random--la641,0.7890625,0.78125,0.79296875,0.80859375,0.7890625,0.8203125,0.8046875,0.7890625,0.83203125,0.83203125,0.875,0.76953125,0.76953125,0.77734375,0.796875,0.765625,0.7578125,0.80859375,0.83984375,0.7421875,0.75390625,0.796875,0.81640625,0.71875,0.8515625,0.78515625,1.0,0.76953125,0.81640625,0.80859375
random--la712,0.75390625,0.75390625,0.75,0.7734375,0.73828125,0.73828125,0.75390625,0.71484375,0.765625,0.75,0.78515625,0.7265625,0.75,0.71875,0.80078125,0.71484375,0.76953125,0.8125,0.765625,0.74609375,0.71875,0.74609375,0.765625,0.69921875,0.76953125,0.7734375,0.76953125,1.0,0.734375,0.7421875
random--la727,0.78515625,0.74609375,0.7734375,0.75,0.80859375,0.76953125,0.76171875,0.80078125,0.7734375,0.78125,0.84765625,0.7421875,0.7421875,0.84375,0.80859375,0.70703125,0.73828125,0.7890625,0.8046875,0.75390625,0.7421875,0.79296875,0.796875,0.67578125,0.82421875,0.75,0.81640625,0.734375,1.0,0.765625
random--la910,0.73828125,0.73046875,0.7421875,0.8046875,0.76171875,0.76953125,0.77734375,0.76171875,0.8125,0.765625,0.78515625,0.75,0.8203125,0.7421875,0.80078125,0.76171875,0.74609375,0.7734375,0.8046875,0.76953125,0.71875,0.73828125,0.796875,0.73046875,0.79296875,0.78125,0.80859375,0.7421875,0.765625,1.0
