road,random--la11,random--la111,random--la109,random--la215,random--la219,random--la31,random--la310,random--la311,random--la322,random--la46,random--la412,random--la415,random--la53,random--la510,random--la610,random--la616,random--la617,random--la625,random--la75,random--la711,random--la713,random--la84,random--la811,random--la816,random--la819,random--la820,random--la821,random--la822,random--la93,random--la912
random--la412,0.6894736842105262,0.8,0.7684210526315789,0.7615384615384615,0.8,0.7476190476190476,0.7428571428571429,0.7476190476190476,0.7238095238095238,0.7176470588235294,1.0,0.7761904761904762,0.7666666666666666,0.7619047619047619,0.7666666666666666,0.7619047619047619,0.7333333333333334,0.7357142857142858,0.7714285714285715,0.78,0.6833333333333333,0.7142857142857143,0.7733333333333333,0.780952380952381,0.7428571428571429,0.7666666666666666,0.7947368421052632,0.7428571428571429,0.7263157894736842,0.8049999999999999
random--la415,0.7052631578947368,0.7470588235294118,0.7473684210526316,0.823076923076923,0.79,0.7333333333333334,0.7571428571428571,0.7952380952380953,0.7761904761904762,0.7529411764705882,0.7761904761904762,1.0,0.7952380952380953,0.8047619047619048,0.7857142857142857,0.7619047619047619,0.7619047619047619,0.7142857142857143,0.7333333333333334,0.8066666666666666,0.7333333333333334,0.7571428571428571,0.7333333333333334,0.7333333333333334,0.7857142857142857,0.7555555555555555,0.7631578947368421,0.7380952380952381,0.7894736842105263,0.775
random--la53,0.7578947368421053,0.7647058823529411,0.7526315789473684,0.8153846153846154,0.78,0.7523809523809524,0.75,0.7863636363636364,0.7954545454545454,0.7176470588235294,0.7666666666666666,0.7952380952380953,1.0,0.7285714285714286,0.7863636363636364,0.7545454545454545,0.7545454545454545,0.7142857142857143,0.7636363636363637,0.7666666666666666,0.8,0.7681818181818182,0.7533333333333333,0.7454545454545455,0.7619047619047619,0.7722222222222223,0.8,0.75,0.7684210526315789,0.79
random--la510,0.736842105263158,0.7235294117647059,0.7578947368421053,0.7461538461538462,0.79,0.7380952380952381,0.7428571428571429,0.7857142857142857,0.7523809523809524,0.7705882352941177,0.7619047619047619,0.8047619047619048,0.7285714285714286,1.0,0.7571428571428571,0.7619047619047619,0.7047619047619047,0.75,0.8095238095238095,0.7066666666666667,0.6722222222222223,0.6857142857142857,0.7666666666666666,0.719047619047619,0.8095238095238095,0.7166666666666667,0.7578947368421053,0.680952380952381,0.7578947368421053,0.75
random--la610,0.7473684210526316,0.7470588235294118,0.7894736842105263,0.7692307692307692,0.785,0.7380952380952381,0.744,0.7478260869565218,0.7608695652173914,0.7294117647058824,0.7666666666666666,0.7857142857142857,0.7863636363636364,0.7571428571428571,1.0,0.7583333333333333,0.740909090909091,0.7142857142857143,0.7363636363636363,0.8066666666666666,0.75,0.8181818181818181,0.7933333333333333,0.782608695652174,0.7761904761904762,0.7555555555555555,0.7578947368421053,0.7454545454545455,0.7947368421052632,0.74
random--la616,0.7473684210526316,0.7470588235294118,0.7263157894736842,0.7384615384615385,0.765,0.7761904761904762,0.7375,0.7652173913043478,0.7434782608695651,0.7764705882352941,0.7619047619047619,0.7619047619047619,0.7545454545454545,0.7619047619047619,0.7583333333333333,1.0,0.7454545454545455,0.7071428571428571,0.7454545454545455,0.8200000000000001,0.75,0.7318181818181818,0.76,0.7782608695652173,0.7571428571428571,0.7666666666666666,0.7631578947368421,0.75,0.736842105263158,0.785
random--la617,0.7052631578947368,0.7058823529411764,0.6947368421052631,0.7307692307692308,0.745,0.7904761904761904,0.7363636363636363,0.7272727272727273,0.7818181818181819,0.7529411764705882,0.7333333333333334,0.7619047619047619,0.7545454545454545,0.7047619047619047,0.740909090909091,0.7454545454545455,1.0,0.7071428571428571,0.7090909090909091,0.6799999999999999,0.7055555555555555,0.6863636363636363,0.6799999999999999,0.7318181818181818,0.7333333333333334,0.6944444444444444,0.7210526315789474,0.7681818181818182,0.7842105263157895,0.785
random--la625,0.7357142857142858,0.7,0.7285714285714286,0.7615384615384615,0.6714285714285715,0.6928571428571428,0.7142857142857143,0.7714285714285715,0.8,0.7357142857142858,0.7357142857142858,0.7142857142857143,0.7142857142857143,0.75,0.7142857142857143,0.7071428571428571,0.7071428571428571,1.0,0.7428571428571429,0.7285714285714286,0.6785714285714286,0.7571428571428571,0.7,0.7428571428571429,0.7142857142857143,0.7285714285714286,0.8071428571428572,0.7785714285714286,0.7,0.7285714285714286
random--la75,0.7947368421052632,0.8,0.7736842105263158,0.8076923076923077,0.75,0.780952380952381,0.740909090909091,0.8136363636363636,0.740909090909091,0.7705882352941177,0.7714285714285715,0.7333333333333334,0.7636363636363637,0.8095238095238095,0.7363636363636363,0.7454545454545455,0.7090909090909091,0.7428571428571429,1.0,0.8200000000000001,0.7222222222222222,0.7318181818181818,0.78,0.740909090909091,0.8047619047619048,0.7555555555555555,0.7947368421052632,0.7136363636363636,0.7473684210526316,0.75
random--la711,0.7133333333333334,0.6933333333333334,0.7933333333333333,0.8153846153846154,0.76,0.7466666666666666,0.7733333333333333,0.78,0.7933333333333333,0.7333333333333334,0.78,0.8066666666666666,0.7666666666666666,0.7066666666666667,0.8066666666666666,0.8200000000000001,0.6799999999999999,0.7285714285714286,0.8200000000000001,1.0,0.7733333333333333,0.8066666666666666,0.7733333333333333,0.7466666666666666,0.76,0.7866666666666666,0.78,0.7466666666666666,0.7666666666666666,0.7666666666666666
random--la713,0.8055555555555556,0.6882352941176471,0.7222222222222222,0.7,0.6888888888888889,0.8277777777777777,0.6944444444444444,0.6777777777777778,0.7,0.7176470588235294,0.6833333333333333,0.7333333333333334,0.8,0.6722222222222223,0.75,0.75,0.7055555555555555,0.6785714285714286,0.7222222222222222,0.7733333333333333,1.0,0.7666666666666666,0.6866666666666666,0.7111111111111111,0.6666666666666667,0.6944444444444444,0.7,0.7388888888888889,0.7222222222222222,0.6833333333333333
random--la84,0.7263157894736842,0.711764705882353,0.7157894736842105,0.7461538461538462,0.7150000000000001,0.7095238095238094,0.7090909090909091,0.7727272727272727,0.7136363636363636,0.7058823529411764,0.7142857142857143,0.7571428571428571,0.7681818181818182,0.6857142857142857,0.8181818181818181,0.7318181818181818,0.6863636363636363,0.7571428571428571,0.7318181818181818,0.8066666666666666,0.7666666666666666,1.0,0.7333333333333334,0.7090909090909091,0.7047619047619047,0.7722222222222223,0.7578947368421053,0.7727272727272727,0.7,0.7150000000000001
random--la811,0.74,0.8066666666666666,0.7533333333333333,0.7230769230769231,0.8333333333333334,0.76,0.7666666666666666,0.7866666666666666,0.78,0.78,0.7733333333333333,0.7333333333333334,0.7533333333333333,0.7666666666666666,0.7933333333333333,0.76,0.6799999999999999,0.7,0.78,0.7733333333333333,0.6866666666666666,0.7333333333333334,1.0,0.84,0.8266666666666667,0.76,0.7733333333333333,0.7533333333333333,0.7266666666666667,0.7866666666666666
random--la816,0.6894736842105262,0.7529411764705882,0.8,0.7923076923076923,0.785,0.8,0.7304347826086957,0.7521739130434782,0.7043478260869565,0.7764705882352941,0.780952380952381,0.7333333333333334,0.7454545454545455,0.719047619047619,0.782608695652174,0.7782608695652173,0.7318181818181818,0.7428571428571429,0.740909090909091,0.7466666666666666,0.7111111111111111,0.7090909090909091,0.84,1.0,0.7476190476190476,0.7777777777777778,0.7789473684210526,0.75,0.7473684210526316,0.76
random--la819,0.7315789473684211,0.8235294117647058,0.7842105263157895,0.7538461538461538,0.76,0.719047619047619,0.7476190476190476,0.8047619047619048,0.7904761904761904,0.7529411764705882,0.7428571428571429,0.7857142857142857,0.7619047619047619,0.8095238095238095,0.7761904761904762,0.7571428571428571,0.7333333333333334,0.7142857142857143,0.8047619047619048,0.76,0.6666666666666667,0.7047619047619047,0.8266666666666667,0.7476190476190476,1.0,0.7277777777777779,0.7526315789473684,0.7142857142857143,0.7736842105263158,0.795
random--la820,0.7722222222222223,0.7294117647058824,0.7,0.7384615384615385,0.7333333333333334,0.75,0.7166666666666667,0.7555555555555555,0.7888888888888889,0.6647058823529413,0.7666666666666666,0.7555555555555555,0.7722222222222223,0.7166666666666667,0.7555555555555555,0.7666666666666666,0.6944444444444444,0.7285714285714286,0.7555555555555555,0.7866666666666666,0.6944444444444444,0.7722222222222223,0.76,0.7777777777777778,0.7277777777777779,1.0,0.7388888888888889,0.7333333333333334,0.7222222222222222,0.8333333333333334
random--la821,0.7315789473684211,0.7529411764705882,0.7842105263157895,0.7846153846153846,0.736842105263158,0.7526315789473684,0.7631578947368421,0.8210526315789474,0.7526315789473684,0.7235294117647059,0.7947368421052632,0.7631578947368421,0.8,0.7578947368421053,0.7578947368421053,0.7631578947368421,0.7210526315789474,0.8071428571428572,0.7947368421052632,0.78,0.7,0.7578947368421053,0.7733333333333333,0.7789473684210526,0.7526315789473684,0.7388888888888889,1.0,0.7684210526315789,0.736842105263158,0.7526315789473684
random--la822,0.7210526315789474,0.7705882352941177,0.7052631578947368,0.7692307692307692,0.76,0.7476190476190476,0.7545454545454545,0.7227272727272727,0.7,0.8,0.7428571428571429,0.7380952380952381,0.75,0.680952380952381,0.7454545454545455,0.75,0.7681818181818182,0.7785714285714286,0.7136363636363636,0.7466666666666666,0.7388888888888889,0.7727272727272727,0.7533333333333333,0.75,0.7142857142857143,0.7333333333333334,0.7684210526315789,1.0,0.7421052631578947,0.7050000000000001
random--la93,0.7,0.7470588235294118,0.7421052631578947,0.7923076923076923,0.7684210526315789,0.7263157894736842,0.7526315789473684,0.7789473684210526,0.7631578947368421,0.7235294117647059,0.7263157894736842,0.7894736842105263,0.7684210526315789,0.7578947368421053,0.7947368421052632,0.736842105263158,0.7842105263157895,0.7,0.7473684210526316,0.7666666666666666,0.7222222222222222,0.7,0.7266666666666667,0.7473684210526316,0.7736842105263158,0.7222222222222222,0.736842105263158,0.7421052631578947,1.0,0.7105263157894737
random--la912,0.7210526315789474,0.8176470588235294,0.7421052631578947,0.7538461538461538,0.74,0.74,0.785,0.76,0.755,0.7470588235294118,0.8049999999999999,0.775,0.79,0.75,0.74,0.785,0.785,0.7285714285714286,0.75,0.7666666666666666,0.6833333333333333,0.7150000000000001,0.7866666666666666,0.76,0.795,0.8333333333333334,0.7526315789473684,0.7050000000000001,0.7105263157894737,1.0
