road,random--la11,random--la111,random--la109,random--la215,random--la219,random--la31,random--la310,random--la311,random--la322,random--la46,random--la412,random--la415,random--la53,random--la510,random--la610,random--la616,random--la617,random--la625,random--la75,random--la711,random--la713,random--la84,random--la811,random--la816,random--la819,random--la820,random--la821,random--la822,random--la93,random--la912
random--la625,0.91015625,0.96484375,0.9765625,0.96875,0.9140625,0.90625,0.96484375,0.9453125,0.921875,0.953125,0.953125,0.96875,0.95703125,0.94140625,0.97265625,0.9609375,0.96484375,1.0,0.95703125,0.98046875,0.97265625,0.93359375,0.94140625,0.95703125,0.9609375,0.96875,0.97265625,0.98828125,0.94140625,0.97265625
random--la75,0.921875,0.9453125,0.96484375,0.94140625,0.91796875,0.90234375,0.9765625,0.94921875,0.92578125,0.91796875,0.95703125,0.96484375,0.9453125,0.9609375,0.953125,0.97265625,0.953125,0.95703125,1.0,0.9609375,0.9765625,0.90625,0.921875,0.9609375,0.97265625,0.98046875,0.953125,0.96875,0.9453125,0.9765625
random--la711,0.90625,0.953125,0.96484375,0.95703125,0.91796875,0.89453125,0.984375,0.95703125,0.91796875,0.93359375,0.95703125,0.96484375,0.9609375,0.9453125,0.953125,0.97265625,0.953125,0.98046875,0.9609375,1.0,0.9765625,0.9296875,0.9296875,0.9609375,0.95703125,0.96484375,0.96875,0.96875,0.9375,0.9765625
random--la713,0.9140625,0.953125,0.97265625,0.94921875,0.91796875,0.90234375,0.9765625,0.94921875,0.92578125,0.93359375,0.95703125,0.98046875,0.9453125,0.953125,0.96875,0.97265625,0.96875,0.97265625,0.9765625,0.9765625,1.0,0.921875,0.9296875,0.96875,0.95703125,0.96484375,0.9609375,0.9609375,0.953125,0.984375
random--la84,0.8984375,0.9140625,0.93359375,0.92578125,0.93359375,0.88671875,0.9296875,0.94140625,0.94921875,0.89453125,0.94140625,0.91796875,0.921875,0.9296875,0.9375,0.93359375,0.90625,0.93359375,0.90625,0.9296875,0.921875,1.0,0.90625,0.9140625,0.93359375,0.92578125,0.953125,0.9296875,0.921875,0.921875
random--la811,0.90625,0.9765625,0.93359375,0.95703125,0.91796875,0.93359375,0.9296875,0.92578125,0.92578125,0.94921875,0.93359375,0.94921875,0.9375,0.9375,0.9609375,0.92578125,0.9375,0.94140625,0.921875,0.9296875,0.9296875,0.90625,1.0,0.9296875,0.93359375,0.93359375,0.921875,0.9296875,0.9375,0.9453125
random--la816,0.9296875,0.953125,0.95703125,0.94140625,0.91796875,0.91796875,0.96875,0.94921875,0.93359375,0.92578125,0.95703125,0.96484375,0.9453125,0.9453125,0.9609375,0.96484375,0.953125,0.95703125,0.9609375,0.9609375,0.96875,0.9140625,0.9296875,1.0,0.96484375,0.96484375,0.953125,0.953125,0.9375,0.9765625
random--la819,0.94140625,0.95703125,0.9765625,0.9453125,0.9375,0.9140625,0.97265625,0.9453125,0.9375,0.9296875,0.96875,0.953125,0.94921875,0.94140625,0.95703125,0.9765625,0.94921875,0.9609375,0.97265625,0.95703125,0.95703125,0.93359375,0.93359375,0.96484375,1.0,0.9921875,0.96484375,0.96484375,0.93359375,0.97265625
random--la820,0.93359375,0.95703125,0.984375,0.953125,0.9375,0.90625,0.98046875,0.953125,0.9296875,0.9296875,0.9765625,0.9609375,0.95703125,0.94921875,0.95703125,0.9765625,0.95703125,0.96875,0.98046875,0.96484375,0.96484375,0.92578125,0.93359375,0.96484375,0.9921875,1.0,0.96484375,0.97265625,0.94140625,0.97265625
random--la821,0.9140625,0.9453125,0.96484375,0.94921875,0.92578125,0.90234375,0.9765625,0.94921875,0.93359375,0.92578125,0.95703125,0.95703125,0.96875,0.9609375,0.953125,0.98046875,0.9453125,0.97265625,0.953125,0.96875,0.9609375,0.953125,0.921875,0.953125,0.96484375,0.96484375,1.0,0.9765625,0.921875,0.953125
random--la822,0.9140625,0.953125,0.97265625,0.95703125,0.91796875,0.90234375,0.96875,0.94921875,0.92578125,0.94140625,0.95703125,0.95703125,0.9609375,0.953125,0.9609375,0.96484375,0.953125,0.98828125,0.96875,0.96875,0.9609375,0.9296875,0.9296875,0.953125,0.96484375,0.97265625,0.9765625,1.0,0.9296875,0.9609375
random--la93,0.8984375,0.9453125,0.94140625,0.95703125,0.94921875,0.89453125,0.9375,0.96484375,0.96484375,0.91796875,0.94140625,0.95703125,0.921875,0.9453125,0.953125,0.93359375,0.953125,0.94140625,0.9453125,0.9375,0.953125,0.921875,0.9375,0.9375,0.93359375,0.94140625,0.921875,0.9296875,1.0,0.953125
random--la912,0.9296875,0.96875,0.97265625,0.95703125,0.91796875,0.91796875,0.9765625,0.94921875,0.93359375,0.94140625,0.95703125,0.97265625,0.9453125,0.9453125,0.9765625,0.97265625,0.96875,0.97265625,0.9765625,0.9765625,0.984375,0.921875,0.9453125,0.9765625,0.97265625,0.97265625,0.953125,0.9609375,0.953125,1.0
