road,one-plus-o243,one-plus-o35,one-plus-o38,one-plus-o324,random--la19,random--la122,random--la1017,random--la1021,random--la1022,random--la1024,random--la235,random--la240,random--la314,random--la317,random--la413,random--la415,random--la423,random--la438,random--la518,random--la62,random--la66,random--la628,random--la637,random--la638,random--la660,random--la72,random--la732,random--la86,random--la88,random--la813
random--la438,0.73828125,0.796875,0.796875,0.8046875,0.70703125,0.71484375,0.78515625,0.78125,0.71875,0.7890625,0.74609375,0.76953125,0.7578125,0.73828125,0.7890625,0.76953125,0.7734375,1.0,0.76171875,0.76953125,0.76171875,0.7890625,0.75,0.78515625,0.78125,0.76171875,0.72265625,0.765625,0.7890625,0.7578125
random--la518,0.7734375,0.75390625,0.75390625,0.78515625,0.7578125,0.71875,0.7578125,0.77734375,0.80859375,0.72265625,0.734375,0.7734375,0.72265625,0.734375,0.80859375,0.6953125,0.76953125,0.76171875,1.0,0.7734375,0.7265625,0.74609375,0.81640625,0.75,0.76953125,0.796875,0.6484375,0.77734375,0.74609375,0.71484375
random--la62,0.734375,0.83203125,0.84765625,0.80859375,0.8046875,0.71875,0.7890625,0.75390625,0.73046875,0.73828125,0.765625,0.8046875,0.75390625,0.765625,0.82421875,0.7265625,0.76171875,0.76953125,0.7734375,1.0,0.734375,0.78515625,0.78515625,0.8125,0.77734375,0.7578125,0.6953125,0.76953125,0.75390625,0.75390625
random--la66,0.703125,0.73046875,0.71484375,0.74609375,0.7109375,0.7265625,0.7578125,0.72265625,0.73046875,0.75390625,0.6953125,0.71875,0.73828125,0.703125,0.76171875,0.7109375,0.72265625,0.76171875,0.7265625,0.734375,1.0,0.76171875,0.69921875,0.734375,0.73046875,0.75,0.671875,0.71484375,0.76953125,0.71484375
random--la628,0.73046875,0.875,0.8828125,0.8671875,0.78515625,0.75390625,0.80078125,0.71875,0.7421875,0.75,0.76171875,0.75390625,0.7421875,0.76953125,0.78125,0.78515625,0.7734375,0.7890625,0.74609375,0.78515625,0.76171875,1.0,0.78125,0.82421875,0.78125,0.75390625,0.72265625,0.765625,0.78125,0.7890625
random--la637,0.78515625,0.7734375,0.7890625,0.7734375,0.76171875,0.78515625,0.76953125,0.7578125,0.7578125,0.75,0.78515625,0.75390625,0.765625,0.76171875,0.75,0.66015625,0.78125,0.75,0.81640625,0.78515625,0.69921875,0.78125,1.0,0.76171875,0.8125,0.76171875,0.73046875,0.828125,0.75,0.765625
random--la638,0.7421875,0.84765625,0.82421875,0.80078125,0.7421875,0.6875,0.7734375,0.74609375,0.73046875,0.73828125,0.7578125,0.8125,0.74609375,0.7890625,0.79296875,0.7578125,0.77734375,0.78515625,0.75,0.8125,0.734375,0.82421875,0.76171875,1.0,0.77734375,0.7890625,0.75,0.73046875,0.77734375,0.77734375
random--la660,0.75390625,0.765625,0.78125,0.765625,0.75390625,0.75390625,0.76171875,0.7890625,0.7421875,0.7421875,0.76171875,0.76171875,0.734375,0.75390625,0.75,0.73828125,0.7578125,0.78125,0.76953125,0.77734375,0.73046875,0.78125,0.8125,0.77734375,1.0,0.73828125,0.73046875,0.796875,0.7890625,0.765625
random--la72,0.75,0.79296875,0.77734375,0.76171875,0.71875,0.6875,0.7421875,0.72265625,0.77734375,0.73046875,0.71875,0.7890625,0.74609375,0.7578125,0.81640625,0.75,0.80078125,0.76171875,0.796875,0.7578125,0.75,0.75390625,0.76171875,0.7890625,0.73828125,1.0,0.6640625,0.73828125,0.76171875,0.73046875
random--la732,0.6953125,0.72265625,0.72265625,0.68359375,0.6953125,0.71875,0.7109375,0.69921875,0.62890625,0.72265625,0.6953125,0.6875,0.70703125,0.7421875,0.66015625,0.640625,0.70703125,0.72265625,0.6484375,0.6953125,0.671875,0.72265625,0.73046875,0.75,0.73046875,0.6640625,1.0,0.72265625,0.71484375,0.69921875
random--la86,0.76953125,0.75,0.7734375,0.765625,0.77734375,0.76171875,0.74609375,0.7421875,0.7421875,0.734375,0.80078125,0.78515625,0.7734375,0.72265625,0.765625,0.66015625,0.765625,0.765625,0.77734375,0.76953125,0.71484375,0.765625,0.828125,0.73046875,0.796875,0.73828125,0.72265625,1.0,0.7265625,0.7265625
random--la88,0.71484375,0.75,0.765625,0.7890625,0.69921875,0.72265625,0.76953125,0.75,0.703125,0.7578125,0.69921875,0.75390625,0.765625,0.76953125,0.796875,0.76171875,0.7109375,0.7890625,0.74609375,0.75390625,0.76953125,0.78125,0.75,0.77734375,0.7890625,0.76171875,0.71484375,0.7265625,1.0,0.75
random--la813,0.73046875,0.7890625,0.78125,0.78125,0.69921875,0.67578125,0.71484375,0.7265625,0.671875,0.7578125,0.72265625,0.71484375,0.734375,0.78515625,0.734375,0.76171875,0.7421875,0.7578125,0.71484375,0.75390625,0.71484375,0.7890625,0.765625,0.77734375,0.765625,0.73046875,0.69921875,0.7265625,0.75,1.0
