road,one-plus-o243,one-plus-o35,one-plus-o38,one-plus-o324,random--la19,random--la122,random--la1017,random--la1021,random--la1022,random--la1024,random--la235,random--la240,random--la314,random--la317,random--la413,random--la415,random--la423,random--la438,random--la518,random--la62,random--la66,random--la628,random--la637,random--la638,random--la660,random--la72,random--la732,random--la86,random--la88,random--la813
random--la235,0.8,0.36363636363636365,0.2727272727272727,0.3,0.6363636363636364,0.5,0.6,0.7272727272727273,0.6,0.6363636363636364,1.0,0.7,0.7,0.3333333333333333,0.7,0.1111111111111111,0.5454545454545454,0.6666666666666666,0.5454545454545454,0.7,0.6363636363636364,0.45454545454545453,0.5,0.5833333333333334,0.8,0.5,0.875,0.6666666666666666,0.875,0.4
random--la240,0.9,0.6,0.5,0.5555555555555556,0.7272727272727273,0.6,0.5454545454545454,0.8181818181818182,0.7,0.7272727272727273,0.7,1.0,0.8,0.5454545454545454,0.6363636363636364,0.2222222222222222,0.5,0.75,0.6363636363636364,0.8,0.7272727272727273,0.7,0.5833333333333334,0.6666666666666666,0.7272727272727273,0.45454545454545453,0.7777777777777778,0.75,0.6,0.5
random--la314,0.9,0.45454545454545453,0.36363636363636365,0.4,0.9,0.7777777777777778,0.7,0.8181818181818182,0.7,0.7272727272727273,0.7,0.8,1.0,0.5454545454545454,0.8,0.2222222222222222,0.6363636363636364,0.75,0.6363636363636364,1.0,0.7272727272727273,0.7,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.6,0.6,0.75,0.6,0.6666666666666666
random--la317,0.5,0.6666666666666666,0.5555555555555556,0.3,0.6363636363636364,0.5,0.45454545454545453,0.5833333333333334,0.3333333333333333,0.5,0.3333333333333333,0.5454545454545454,0.5454545454545454,1.0,0.5454545454545454,0.1111111111111111,0.7,0.6666666666666666,0.3076923076923077,0.5454545454545454,0.6363636363636364,0.7777777777777778,0.6363636363636364,0.5833333333333334,0.5,0.36363636363636365,0.36363636363636365,0.6666666666666666,0.36363636363636365,0.5555555555555556
random--la413,0.7272727272727273,0.3333333333333333,0.25,0.2727272727272727,0.9,0.6,0.8888888888888888,0.8181818181818182,0.5454545454545454,0.5833333333333334,0.7,0.6363636363636364,0.8,0.5454545454545454,1.0,0.1,0.8,0.75,0.5,0.8,0.5833333333333334,0.5454545454545454,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.7777777777777778,0.6,0.75,0.6,0.5
random--la415,0.2,0.125,0.14285714285714285,0.16666666666666666,0.2,0.125,0.1111111111111111,0.18181818181818182,0.25,0.2,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1,1.0,0.1,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.09090909090909091,0.1111111111111111,0.2,0.18181818181818182,0.2,0.125,0.125,0.16666666666666666,0.0,0.14285714285714285
random--la423,0.5833333333333334,0.45454545454545453,0.36363636363636365,0.16666666666666666,0.7272727272727273,0.45454545454545453,0.7,0.6666666666666666,0.4166666666666667,0.5833333333333334,0.5454545454545454,0.5,0.6363636363636364,0.7,0.8,0.1,1.0,0.75,0.38461538461538464,0.6363636363636364,0.5833333333333334,0.5454545454545454,0.7272727272727273,0.6666666666666666,0.5833333333333334,0.6,0.45454545454545453,0.75,0.45454545454545453,0.5
random--la438,0.8333333333333334,0.5833333333333334,0.5,0.4166666666666667,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.75,0.16666666666666666,0.75,1.0,0.6153846153846154,0.75,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.5
random--la518,0.7272727272727273,0.3333333333333333,0.36363636363636365,0.4,0.5833333333333334,0.6,0.5454545454545454,0.6666666666666666,0.7,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.3076923076923077,0.5,0.2222222222222222,0.38461538461538464,0.6153846153846154,1.0,0.6363636363636364,0.5833333333333334,0.4166666666666667,0.46153846153846156,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.45454545454545453,0.6153846153846154,0.45454545454545453,0.36363636363636365
random--la62,0.9,0.45454545454545453,0.36363636363636365,0.4,0.9,0.7777777777777778,0.7,0.8181818181818182,0.7,0.7272727272727273,0.7,0.8,1.0,0.5454545454545454,0.8,0.2222222222222222,0.6363636363636364,0.75,0.6363636363636364,1.0,0.7272727272727273,0.7,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.6,0.6,0.75,0.6,0.6666666666666666
random--la66,0.8181818181818182,0.7,0.6,0.5,0.6666666666666666,0.7,0.5,0.75,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.5833333333333334,0.09090909090909091,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.7272727272727273,1.0,0.8,0.6666666666666666,0.75,0.6666666666666666,0.4166666666666667,0.5454545454545454,0.8333333333333334,0.7,0.6
random--la628,0.6363636363636364,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.6363636363636364,0.6666666666666666,0.45454545454545453,0.5833333333333334,0.45454545454545453,0.6363636363636364,0.45454545454545453,0.7,0.7,0.7777777777777778,0.5454545454545454,0.1111111111111111,0.5454545454545454,0.6666666666666666,0.4166666666666667,0.7,0.8,1.0,0.6363636363636364,0.5833333333333334,0.5,0.36363636363636365,0.5,0.6666666666666666,0.5,0.5555555555555556
random--la637,0.6666666666666666,0.4166666666666667,0.3333333333333333,0.36363636363636365,0.8181818181818182,0.5454545454545454,0.6363636363636364,0.75,0.6363636363636364,0.6666666666666666,0.5,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.2,0.7272727272727273,0.8333333333333334,0.46153846153846156,0.7272727272727273,0.6666666666666666,0.6363636363636364,1.0,0.75,0.6666666666666666,0.7,0.4166666666666667,0.8333333333333334,0.4166666666666667,0.6
random--la638,0.75,0.5,0.4166666666666667,0.3333333333333333,0.75,0.5,0.7272727272727273,0.8333333333333334,0.7272727272727273,0.9090909090909091,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.18181818181818182,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.75,1.0,0.75,0.5,0.5,0.9166666666666666,0.5,0.4166666666666667
random--la660,0.8181818181818182,0.4166666666666667,0.3333333333333333,0.36363636363636365,0.8181818181818182,0.5454545454545454,0.6363636363636364,0.9090909090909091,0.6363636363636364,0.6666666666666666,0.8,0.7272727272727273,0.7272727272727273,0.5,0.7272727272727273,0.2,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.7272727272727273,0.6666666666666666,0.5,0.6666666666666666,0.75,1.0,0.5454545454545454,0.7,0.8333333333333334,0.7,0.45454545454545453
random--la72,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.3333333333333333,0.7,0.4,0.6666666666666666,0.6363636363636364,0.5,0.4166666666666667,0.5,0.45454545454545453,0.6,0.36363636363636365,0.7777777777777778,0.125,0.6,0.5833333333333334,0.3333333333333333,0.6,0.4166666666666667,0.36363636363636365,0.7,0.5,0.5454545454545454,1.0,0.4,0.5833333333333334,0.4,0.4444444444444444
random--la732,0.7,0.4,0.3,0.3333333333333333,0.5454545454545454,0.4,0.5,0.6363636363636364,0.5,0.5454545454545454,0.875,0.7777777777777778,0.6,0.36363636363636365,0.6,0.125,0.45454545454545453,0.5833333333333334,0.45454545454545453,0.6,0.5454545454545454,0.5,0.4166666666666667,0.5,0.7,0.4,1.0,0.5833333333333334,0.75,0.3
random--la86,0.8333333333333334,0.5833333333333334,0.5,0.4166666666666667,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.75,0.75,0.6666666666666666,0.75,0.16666666666666666,0.75,1.0,0.6153846153846154,0.75,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.5
random--la88,0.7,0.4,0.3,0.3333333333333333,0.5454545454545454,0.5555555555555556,0.5,0.6363636363636364,0.5,0.5454545454545454,0.875,0.6,0.6,0.36363636363636365,0.6,0.0,0.45454545454545453,0.5833333333333334,0.45454545454545453,0.6,0.7,0.5,0.4166666666666667,0.5,0.7,0.4,0.75,0.5833333333333334,1.0,0.4444444444444444
random--la813,0.6,0.4444444444444444,0.3333333333333333,0.375,0.6,0.625,0.4,0.5454545454545454,0.5555555555555556,0.45454545454545453,0.4,0.5,0.6666666666666666,0.5555555555555556,0.5,0.14285714285714285,0.5,0.5,0.36363636363636365,0.6666666666666666,0.6,0.5555555555555556,0.6,0.4166666666666667,0.45454545454545453,0.4444444444444444,0.3,0.5,0.4444444444444444,1.0
