road,random--la11,random--la14,random--la17,random--la18,random--la111,random--la115,random--la117,random--la102,random--la103,random--la105,random--la108,random--la109,random--la1012,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la28,random--la210,random--la211,random--la213,random--la214,random--la215,random--la216,random--la218,random--la219,random--la220,random--la222,random--la31,random--la35,random--la36,random--la37,random--la38,random--la310,random--la311,random--la318,random--la321,random--la322,random--la323,random--la42,random--la44,random--la46,random--la49,random--la412,random--la413,random--la414,random--la415,random--la53,random--la56,random--la57,random--la58,random--la59,random--la510,random--la511,random--la517,random--la518,random--la520,random--la61,random--la62,random--la63,random--la66,random--la68,random--la610,random--la614,random--la615,random--la616,random--la617,random--la619,random--la621,random--la622,random--la623,random--la625,random--la626,random--la627,random--la72,random--la74,random--la75,random--la77,random--la79,random--la711,random--la713,random--la714,random--la716,random--la718,random--la719,random--la82,random--la84,random--la85,random--la87,random--la88,random--la810,random--la811,random--la813,random--la814,random--la816,random--la818,random--la819,random--la820,random--la821,random--la822,random--la824,random--la92,random--la93,random--la96,random--la98,random--la910,random--la912,random--la914,random--la916,random--la917,random--la918,random--la921,random--la922,random--la923
random--la11,19,8,10,9,9,8,10,11,9,11,9,8,9,10,10,10,11,8,9,10,8,9,9,10,9,9,9,10,8,10,9,8,9,9,9,9,11,10,10,10,10,8,10,10,9,9,8,10,10,8,9,9,10,11,9,9,9,10,9,9,8,10,8,9,9,10,9,11,8,9,10,10,10,10,9,9,9,11,9,11,10,11,10,5,9,10,11,11,9,8,9,8,8,10,9,9,8,9,9,9,10,9,10,9,7,10,8,10,9,11,10,8,9,9,11
random--la14,8,18,8,9,8,8,10,9,8,8,7,9,8,7,9,11,10,8,7,11,8,9,10,7,8,8,9,8,8,8,9,9,9,8,9,11,9,8,10,8,10,9,9,9,9,9,10,10,8,9,8,8,8,9,11,7,8,9,10,8,10,10,9,9,7,9,10,9,9,9,8,8,7,9,9,9,8,8,10,11,9,7,9,5,11,8,9,9,10,11,8,8,9,9,8,9,7,8,11,10,9,10,9,9,9,10,10,8,9,8,8,9,8,11,11
random--la17,10,8,15,10,9,9,9,10,10,10,9,11,8,8,9,8,10,8,10,9,8,8,10,11,10,10,9,8,10,10,9,8,8,9,9,8,8,9,9,9,11,9,10,8,9,9,9,8,9,8,9,8,9,9,8,9,9,8,10,10,9,9,9,10,9,9,9,11,9,8,8,8,11,9,8,8,9,10,8,9,10,10,10,5,9,8,9,10,10,8,8,9,9,12,9,9,9,8,8,11,9,9,9,10,8,9,9,8,9,8,9,9,9,8,9
random--la18,9,9,10,23,9,9,9,10,12,11,9,8,9,9,11,8,9,8,10,11,9,9,10,9,10,8,10,10,12,9,10,8,10,10,10,10,9,8,11,10,11,9,11,9,10,10,9,9,11,10,9,9,9,9,9,9,9,9,10,11,9,9,10,10,8,9,9,9,9,10,9,9,9,9,10,9,10,9,10,9,9,9,10,5,10,12,9,10,9,10,9,10,11,10,10,9,10,9,10,9,10,11,10,9,9,10,9,9,10,10,10,10,12,10,9
random--la111,9,8,9,9,17,8,8,9,8,9,9,14,8,8,12,8,9,8,11,10,9,8,9,10,9,9,9,8,9,9,8,8,9,10,9,10,9,9,10,9,11,8,11,9,10,8,8,10,9,9,9,8,9,9,8,9,10,9,11,11,10,9,9,9,8,11,10,10,9,9,9,9,8,8,8,9,10,9,8,8,10,9,8,5,9,9,9,10,10,9,9,10,9,9,9,8,9,10,10,12,8,12,10,10,8,9,9,10,9,8,8,9,10,9,11
random--la115,8,8,9,9,8,10,7,8,7,9,7,8,8,8,8,9,7,6,8,8,9,8,8,8,8,9,7,8,10,8,6,7,9,9,8,9,7,8,9,8,8,8,9,8,8,8,8,8,9,9,9,8,8,8,9,7,7,8,9,8,9,9,8,9,7,9,8,8,9,9,9,9,7,8,8,8,8,7,8,7,7,9,8,5,8,8,7,9,7,8,10,7,8,10,8,10,9,9,9,9,9,10,8,9,9,9,10,8,8,7,8,8,8,8,7
random--la117,10,10,9,9,8,7,19,10,9,8,9,9,10,9,9,11,9,8,9,8,7,8,10,8,10,8,9,11,9,10,9,8,8,8,9,7,10,8,9,11,10,10,8,9,8,10,8,10,9,8,10,9,9,9,10,10,8,10,9,9,10,9,8,9,8,8,9,9,8,7,8,9,8,8,11,8,7,11,8,11,10,8,10,5,9,10,11,8,9,8,8,8,8,10,9,8,8,9,7,11,8,9,9,8,8,8,9,9,10,10,9,9,10,10,10
random--la102,11,9,10,10,9,8,10,21,10,11,8,10,10,10,8,10,9,8,8,8,7,9,9,10,9,8,8,11,9,9,10,8,10,10,11,10,10,10,12,11,10,10,10,10,9,11,11,9,8,10,10,10,9,11,9,10,9,10,10,10,10,10,8,8,10,8,11,9,10,8,9,9,10,9,10,9,7,12,9,9,10,11,13,5,10,9,9,10,9,10,10,9,10,9,9,11,10,9,10,9,12,9,10,10,9,10,9,11,10,13,9,11,10,11,10
random--la103,9,8,10,12,8,7,9,10,14,11,9,10,10,9,8,9,10,8,10,8,8,9,9,9,9,9,10,8,11,9,10,7,8,9,9,9,8,8,10,9,9,8,9,10,7,13,9,8,9,9,8,9,9,9,8,9,8,8,9,9,9,9,8,9,7,10,9,9,8,7,9,10,9,12,8,9,7,11,9,11,10,10,8,5,9,8,9,9,8,10,8,9,9,9,9,11,9,8,10,10,10,9,10,8,8,9,9,8,9,10,9,9,10,9,10
random--la105,11,8,10,11,9,9,8,11,11,22,9,9,9,10,12,12,10,8,10,9,9,10,9,8,10,11,8,10,9,12,8,7,9,12,10,10,8,11,11,12,10,9,9,10,8,10,11,8,9,8,10,9,9,10,10,10,9,11,10,11,10,10,8,11,9,10,9,12,9,8,10,9,11,9,10,12,9,10,10,9,9,12,11,5,10,8,8,10,9,12,9,10,10,11,10,13,9,8,11,10,12,9,11,9,9,11,10,10,9,11,10,10,12,8,8
random--la108,9,7,9,9,9,7,9,8,9,9,12,10,8,9,8,9,10,8,10,7,8,9,8,9,10,9,8,8,11,9,8,7,9,8,10,9,9,8,9,9,9,8,8,9,9,8,9,9,8,7,9,10,8,10,9,8,9,8,9,9,8,9,8,9,9,9,9,10,8,8,9,9,9,8,8,8,8,9,9,8,9,8,8,5,8,8,8,10,8,9,8,8,9,8,10,9,8,9,8,8,10,9,8,7,8,9,8,10,9,11,9,8,11,8,8
random--la109,8,9,11,8,14,8,9,10,10,9,10,19,8,8,9,9,10,8,9,10,10,9,9,10,11,9,10,10,10,11,9,8,8,10,9,9,8,9,9,10,9,9,9,9,14,10,8,9,9,8,10,9,8,9,8,9,10,9,9,10,11,9,10,11,9,10,9,9,9,9,9,9,10,9,8,10,8,10,9,10,11,9,9,5,8,8,9,9,10,8,9,8,8,9,9,11,10,10,8,10,8,10,9,10,8,9,10,9,9,8,10,11,12,11,9
random--la1012,9,8,8,9,8,8,10,10,10,9,8,8,14,10,8,9,9,8,7,8,7,9,12,9,9,8,9,9,9,8,9,8,10,8,11,8,10,7,12,11,11,8,10,10,9,11,10,7,10,8,9,9,10,9,8,9,8,10,8,8,9,9,8,9,8,8,9,9,7,7,8,10,9,10,9,9,7,10,9,10,9,8,9,5,9,12,10,11,9,10,8,9,9,10,8,9,8,8,8,9,10,8,10,8,7,8,10,8,9,11,8,9,9,9,10
random--la1017,10,7,8,9,8,8,9,10,9,10,9,8,10,14,10,9,8,7,9,8,8,9,8,10,8,9,8,9,11,10,7,6,10,9,9,8,8,9,9,9,8,8,9,9,8,9,8,9,10,9,8,8,9,9,8,8,8,10,10,10,8,9,9,8,7,8,8,9,8,7,8,9,9,9,8,9,8,9,9,9,8,9,9,5,9,8,9,9,9,9,9,8,8,8,10,8,9,9,9,8,10,10,8,9,8,10,8,10,8,9,9,8,9,11,8
random--la1018,10,9,9,11,12,8,9,8,8,12,8,9,8,10,16,9,9,8,10,10,9,8,12,9,9,9,10,9,8,9,9,9,8,8,8,12,10,10,9,9,10,8,9,8,10,8,8,10,9,8,10,7,9,10,11,8,8,9,8,10,8,10,9,9,9,9,9,12,9,9,8,9,11,8,8,10,8,10,9,9,9,8,9,5,11,9,9,9,10,8,8,8,8,8,9,8,9,9,10,10,10,9,9,9,8,8,9,10,10,8,9,9,10,11,9
random--la1020,10,11,8,8,8,9,11,10,9,12,9,9,9,9,9,23,11,7,8,9,9,11,12,9,9,10,9,9,8,9,11,8,9,11,10,9,10,8,11,9,9,11,9,9,9,10,10,9,10,9,10,8,9,9,11,9,10,10,9,9,10,12,10,11,9,8,10,9,9,11,8,8,8,9,9,10,9,11,11,10,10,8,9,5,9,9,10,11,10,11,8,10,9,10,9,10,8,8,12,9,9,10,9,9,11,10,9,10,10,9,9,10,11,11,9
random--la23,11,10,10,9,9,7,9,9,10,10,10,10,9,8,9,11,21,8,10,9,9,9,11,10,10,8,12,10,9,11,9,9,10,8,9,9,9,8,9,10,10,9,8,8,10,8,9,8,11,8,11,9,9,9,11,8,9,9,9,9,11,11,9,9,8,9,9,9,9,11,8,8,10,9,9,9,9,12,9,9,12,11,9,5,8,9,8,10,11,10,8,8,9,10,10,10,8,9,10,10,8,10,8,9,11,9,10,9,9,9,9,9,11,9,9
random--la24,8,8,8,8,8,6,8,8,8,8,8,8,8,7,8,7,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,6,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,7,7,8,7,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,7,8,8,8,8
random--la28,9,7,10,10,11,8,9,8,10,10,10,9,7,9,10,8,10,8,12,9,8,8,8,10,11,9,8,8,8,9,9,6,8,8,9,8,9,9,9,9,8,8,10,8,9,9,8,10,8,9,8,9,8,9,8,8,9,9,10,8,9,9,9,9,8,8,9,9,9,7,9,8,9,8,8,9,8,8,8,11,8,10,9,5,8,7,8,10,10,7,9,8,7,10,9,9,9,10,8,12,9,11,9,9,8,9,9,9,10,9,10,10,9,9,8
random--la210,10,11,9,11,10,8,8,8,8,9,7,10,8,8,10,9,9,8,9,21,10,8,10,8,9,8,9,7,8,10,9,9,10,11,8,10,9,9,9,9,11,9,10,10,9,9,11,10,10,8,9,10,8,9,10,8,11,8,9,9,8,9,8,11,9,10,9,9,11,8,9,8,10,10,9,9,9,9,10,9,10,8,8,5,10,11,9,9,8,10,9,10,9,9,9,9,9,8,11,9,9,8,10,9,9,9,10,9,9,8,9,11,9,9,11
random--la211,8,8,8,9,9,9,7,7,8,9,8,10,7,8,9,9,9,7,8,10,10,8,9,8,10,8,9,8,9,8,7,8,10,9,8,9,8,8,9,7,8,9,8,8,8,8,9,9,10,8,10,9,8,8,8,8,7,8,8,9,7,8,8,9,7,10,9,8,9,7,9,7,9,9,9,9,9,8,9,7,9,10,7,5,8,9,8,9,8,9,7,7,8,8,8,8,8,8,10,8,10,10,8,10,9,10,9,8,9,8,8,8,9,9,8
random--la213,9,9,8,9,8,8,8,9,9,10,9,9,9,9,8,11,9,8,8,8,8,11,8,10,10,9,8,8,8,9,10,7,8,8,10,9,8,8,9,10,11,10,8,8,8,9,8,9,9,8,10,9,9,10,8,8,9,9,8,9,10,9,9,11,8,8,10,9,8,8,9,9,8,9,9,8,7,9,9,9,10,8,8,5,9,8,7,11,8,9,9,8,8,9,8,8,9,9,8,10,9,9,8,8,7,9,9,8,11,9,9,10,11,9,7
random--la214,9,10,10,10,9,8,10,9,9,9,8,9,12,8,12,12,11,8,8,10,9,8,24,8,10,8,9,9,9,9,9,10,10,8,10,10,11,8,10,11,10,11,9,10,9,10,9,8,8,9,12,8,10,9,11,8,8,9,10,9,9,10,8,12,9,9,10,9,8,10,9,9,8,9,11,9,9,9,9,9,11,9,10,5,9,10,11,10,10,11,8,9,11,9,8,10,8,10,9,9,11,8,10,9,9,9,10,9,10,9,9,9,9,9,11
random--la215,10,7,11,9,10,8,8,10,9,8,9,10,9,10,9,9,10,8,10,8,8,10,8,13,11,10,7,10,9,9,8,7,11,10,8,8,9,8,10,9,8,9,9,8,9,9,9,9,9,9,9,9,8,11,9,8,9,10,10,9,9,11,10,8,7,9,9,9,8,7,9,9,9,8,9,8,8,8,11,8,11,9,9,5,11,9,9,11,8,8,8,8,8,10,10,10,10,9,9,9,9,10,9,9,9,8,9,9,9,11,8,12,9,10,8
random--la216,9,8,10,10,9,8,10,9,9,10,10,11,9,8,9,9,10,8,11,9,10,10,10,11,20,9,9,9,10,10,9,9,10,8,9,8,9,8,9,12,10,11,8,11,9,9,9,10,9,9,10,10,10,13,10,10,11,10,10,8,12,9,10,9,9,9,9,11,10,8,10,12,11,9,10,9,9,10,9,10,10,8,9,5,8,9,9,10,9,9,11,8,8,9,10,10,9,10,10,10,10,10,10,9,8,9,9,10,10,10,9,11,11,12,10
random--la218,9,8,10,8,9,9,8,8,9,11,9,9,8,9,9,10,8,8,9,8,8,9,8,10,9,11,8,9,8,10,8,7,9,9,9,9,7,9,9,10,8,9,9,9,8,8,8,10,8,9,8,9,8,9,10,8,10,8,10,8,9,10,9,10,9,10,9,10,8,7,9,8,9,9,8,9,9,8,8,8,9,10,8,5,7,7,8,8,8,8,8,7,7,11,8,8,9,9,9,9,8,9,9,9,9,8,10,8,9,8,8,10,10,8,8
