road,random--la11,random--la14,random--la17,random--la18,random--la111,random--la115,random--la117,random--la102,random--la103,random--la105,random--la108,random--la109,random--la1012,random--la1017,random--la1018,random--la1020,random--la23,random--la24,random--la28,random--la210,random--la211,random--la213,random--la214,random--la215,random--la216,random--la218,random--la219,random--la220,random--la222,random--la31,random--la35,random--la36,random--la37,random--la38,random--la310,random--la311,random--la318,random--la321,random--la322,random--la323,random--la42,random--la44,random--la46,random--la49,random--la412,random--la413,random--la414,random--la415,random--la53,random--la56,random--la57,random--la58,random--la59,random--la510,random--la511,random--la517,random--la518,random--la520,random--la61,random--la62,random--la63,random--la66,random--la68,random--la610,random--la614,random--la615,random--la616,random--la617,random--la619,random--la621,random--la622,random--la623,random--la625,random--la626,random--la627,random--la72,random--la74,random--la75,random--la77,random--la79,random--la711,random--la713,random--la714,random--la716,random--la718,random--la719,random--la82,random--la84,random--la85,random--la87,random--la88,random--la810,random--la811,random--la813,random--la814,random--la816,random--la818,random--la819,random--la820,random--la821,random--la822,random--la824,random--la92,random--la93,random--la96,random--la98,random--la910,random--la912,random--la914,random--la916,random--la917,random--la918,random--la921,random--la922,random--la923
random--la109,7,7,9,9,12,6,8,7,7,11,7,19,6,6,9,11,9,6,8,10,7,7,12,7,10,6,10,7,8,13,8,4,7,8,10,10,7,7,8,9,9,8,7,7,11,8,7,10,10,7,12,7,8,10,10,8,6,11,9,8,11,10,10,12,7,9,10,11,7,10,10,9,8,8,8,8,6,10,6,7,9,8,8,4,7,7,7,10,9,8,8,6,6,10,8,10,9,10,7,11,10,13,9,9,8,8,9,10,12,8,7,11,10,9,7
random--la1012,7,7,7,8,6,4,10,10,8,8,5,6,14,8,6,8,7,6,5,7,3,6,9,6,8,4,10,8,7,7,8,5,8,6,10,7,6,5,9,10,10,7,7,9,8,8,9,7,7,7,9,8,7,10,7,6,6,7,8,8,8,8,5,7,6,7,10,8,9,5,6,9,6,7,8,6,4,9,6,8,6,5,6,3,7,10,8,10,7,7,6,8,8,8,7,10,7,7,8,8,9,8,8,8,5,5,9,7,9,9,7,9,10,8,7
random--la1017,9,6,6,9,7,5,8,9,8,9,7,6,8,14,8,8,7,6,8,6,5,6,7,9,8,7,8,7,9,7,6,4,8,7,9,8,5,8,9,9,8,9,8,10,9,8,7,9,7,8,8,7,6,9,8,7,6,7,10,11,7,9,8,9,5,9,7,8,9,4,6,8,6,6,6,7,7,7,8,8,9,8,6,4,6,6,8,9,7,7,7,6,6,6,7,8,7,7,9,8,8,8,7,9,6,6,9,8,8,7,7,8,10,10,7
random--la1018,9,8,11,9,11,6,8,8,6,10,6,9,6,8,16,8,8,7,8,10,7,6,11,6,9,6,10,6,9,12,7,6,8,8,9,10,8,8,8,8,9,7,8,8,9,7,6,9,9,7,9,6,7,9,10,6,7,9,9,9,7,10,8,11,7,9,8,12,8,8,7,7,10,9,10,9,6,9,7,7,8,8,8,5,8,8,8,9,9,8,8,6,6,8,7,8,6,7,8,10,9,9,11,10,8,8,10,8,9,6,9,8,11,9,9
random--la1020,10,11,10,12,9,8,10,10,8,12,6,11,8,8,8,23,11,6,8,11,7,8,13,9,12,9,11,12,8,11,9,7,11,9,9,13,10,6,11,11,11,11,10,11,11,12,11,12,10,13,12,9,10,12,12,6,8,10,11,12,12,12,12,13,8,11,11,10,11,11,8,9,7,10,11,9,7,11,11,7,10,8,10,5,9,9,10,10,8,10,8,8,8,10,10,12,9,10,10,12,10,11,10,10,9,8,12,11,12,8,8,12,16,12,11
random--la23,10,10,8,11,8,6,10,10,8,8,9,9,7,7,8,11,21,5,7,10,6,8,11,7,11,7,9,9,8,9,8,7,10,6,11,10,8,7,11,8,12,9,8,8,11,9,10,9,9,9,13,7,8,11,13,6,7,8,10,10,8,13,9,13,8,10,12,9,8,9,6,8,7,8,9,7,7,11,7,8,11,9,8,3,6,9,9,11,11,8,6,7,10,8,9,11,7,10,8,10,10,10,9,9,9,7,10,11,11,8,7,11,14,8,10
random--la24,6,5,7,6,6,3,7,6,6,7,5,6,6,6,7,6,5,8,7,5,4,5,6,7,7,5,6,6,6,6,5,3,5,5,7,6,5,6,5,6,6,5,6,7,7,6,6,6,4,5,6,5,5,7,6,5,5,6,6,6,5,7,4,8,5,5,6,7,7,3,6,6,6,5,5,6,4,6,5,7,5,6,5,4,6,6,6,7,7,4,6,5,5,8,5,6,5,5,6,8,7,6,6,7,4,4,7,6,7,6,6,7,7,6,5
random--la28,9,6,6,8,8,5,6,7,7,8,6,8,5,8,8,8,7,7,12,8,5,7,7,8,9,8,8,6,8,7,6,3,7,6,8,8,6,8,7,7,6,6,8,8,8,7,7,10,6,7,7,5,5,9,8,5,8,7,8,10,7,9,7,10,5,9,7,8,8,5,6,7,7,6,6,7,8,6,8,7,7,9,6,4,5,6,6,8,9,5,8,5,6,7,6,7,5,6,8,9,9,9,7,9,6,7,8,7,8,6,8,8,10,9,6
random--la210,9,10,9,11,12,6,7,8,7,9,5,10,7,6,10,11,10,5,8,21,7,7,11,6,9,6,11,7,8,9,8,9,10,9,10,12,7,7,9,8,11,8,9,9,10,9,11,10,9,10,11,8,7,11,11,5,8,8,9,10,8,10,9,13,6,9,10,10,10,8,7,6,7,10,10,8,9,8,10,7,8,7,7,3,7,10,9,12,9,9,6,8,8,9,9,9,7,7,10,12,10,10,11,10,7,8,9,10,10,6,7,10,10,8,12
random--la211,4,5,6,6,6,6,4,4,4,7,5,7,3,5,7,7,6,4,5,7,10,4,7,5,7,4,7,5,7,7,4,4,6,7,6,8,5,5,7,5,5,5,6,6,5,6,7,6,9,5,8,6,6,7,7,5,5,7,8,8,6,7,6,7,5,8,8,8,9,6,6,5,5,7,6,8,6,6,5,4,7,7,5,4,5,7,6,8,6,7,6,6,5,6,6,6,5,6,7,5,7,6,8,7,8,9,6,8,6,4,6,6,7,7,7
random--la213,9,5,5,7,6,3,7,8,6,7,6,7,6,6,6,8,8,5,7,7,4,11,9,6,9,7,8,7,6,7,6,3,6,5,9,7,4,6,8,8,9,7,6,8,7,6,7,7,7,5,7,6,7,10,7,5,7,7,7,7,7,7,6,10,5,5,8,6,7,5,5,7,6,7,7,6,5,7,6,5,6,6,6,3,5,7,7,8,6,7,5,7,7,7,7,7,6,7,7,8,8,8,7,6,5,5,7,8,8,7,6,8,10,6,6
random--la214,11,12,11,12,10,6,11,10,7,12,8,12,9,7,11,13,11,6,7,11,7,9,24,7,11,7,12,9,10,12,10,7,10,7,12,13,9,8,12,10,15,9,9,11,11,10,8,10,11,10,13,8,10,13,12,8,7,12,12,11,12,11,8,16,8,9,13,13,9,10,9,9,9,10,12,10,6,13,8,8,9,11,9,5,9,10,10,10,10,11,8,8,10,10,11,12,9,10,9,10,12,11,13,10,8,9,10,10,12,11,9,11,11,11,12
random--la215,9,8,8,9,7,5,7,8,7,8,7,7,6,9,6,9,7,7,8,6,5,6,7,13,8,8,7,9,7,7,8,4,8,7,8,9,5,8,8,9,8,8,9,8,9,8,8,9,7,8,9,7,6,10,8,6,7,7,9,9,8,12,9,8,5,9,8,8,9,5,6,7,7,6,7,7,7,8,8,7,9,8,8,4,8,7,9,10,8,6,7,7,8,8,8,9,7,8,8,8,9,9,7,10,7,6,9,8,9,7,7,10,10,8,7
random--la216,10,8,9,9,10,5,10,10,9,10,6,10,8,8,9,12,11,7,9,9,7,9,11,8,20,8,10,10,9,12,7,5,9,8,11,11,7,6,10,13,11,8,9,9,9,9,10,11,10,8,12,8,10,12,11,7,9,11,9,10,11,10,10,12,7,9,10,11,9,8,8,9,8,10,9,11,9,12,7,8,10,9,10,5,8,8,9,10,10,9,9,8,8,10,10,11,8,11,8,10,10,12,10,10,6,8,8,10,10,9,8,12,13,10,10
random--la218,6,7,6,7,6,4,5,8,7,7,5,6,4,7,6,9,7,5,8,6,4,7,7,8,8,11,6,7,6,7,5,4,6,5,7,9,4,7,7,7,6,8,6,8,7,6,5,8,6,8,8,5,6,7,8,4,7,6,6,8,6,9,8,9,4,8,7,5,7,5,5,6,5,6,6,6,6,6,7,5,7,7,5,2,6,5,6,7,8,6,6,4,6,7,6,8,6,6,8,7,6,8,6,7,6,5,9,7,7,5,6,8,10,8,7
random--la219,10,9,8,10,8,5,10,9,7,8,7,10,10,8,10,11,9,6,8,11,7,8,12,7,10,6,20,8,11,12,9,9,10,7,12,12,9,7,10,9,10,9,8,11,11,7,8,12,9,9,11,9,8,11,11,6,8,9,9,12,9,11,9,11,7,8,11,11,11,8,7,9,7,9,9,8,8,13,8,9,9,9,7,3,6,10,9,11,9,10,8,10,8,9,8,9,6,9,9,9,10,8,10,12,7,9,10,10,9,7,10,10,11,10,11
random--la220,10,7,7,9,6,5,11,10,8,8,6,7,8,7,6,12,9,6,6,7,5,7,9,9,10,7,8,16,8,7,8,4,9,6,10,9,7,5,9,9,11,8,9,8,10,9,9,10,9,9,10,9,7,11,8,6,7,7,8,11,10,11,8,9,5,9,11,9,8,7,7,7,6,7,8,6,5,9,8,8,7,8,8,4,8,8,9,10,9,6,8,8,9,9,9,10,9,9,9,10,10,8,8,8,7,7,8,9,10,9,8,9,11,8,8
random--la222,9,7,8,12,7,5,9,9,10,8,9,8,7,9,9,8,8,6,8,8,7,6,10,7,9,6,11,8,19,9,7,6,10,8,12,10,7,8,10,7,10,8,8,10,8,11,9,9,11,8,9,10,7,11,10,6,8,8,9,12,7,10,7,10,6,9,10,10,9,6,8,7,8,7,8,8,7,9,8,9,7,9,7,4,7,8,8,9,8,8,8,8,8,7,10,11,7,7,10,8,10,8,9,11,8,9,8,11,10,9,11,9,9,9,8
random--la31,9,8,11,10,10,5,11,9,8,13,7,13,7,7,12,11,9,6,7,9,7,7,12,7,12,7,12,7,9,21,7,6,7,8,13,11,9,7,9,12,10,8,10,9,9,9,7,10,9,8,13,7,8,9,10,8,7,11,8,9,13,12,9,12,8,9,11,11,9,9,9,10,10,10,9,10,7,12,8,8,9,9,10,4,8,9,8,10,10,8,7,7,7,10,8,10,8,10,9,11,10,11,10,10,8,8,10,10,11,8,9,11,14,10,8
random--la35,8,8,7,10,7,4,9,9,8,6,5,8,8,6,7,9,8,5,6,8,4,6,10,8,7,5,9,8,7,7,13,6,8,6,9,8,8,7,9,7,11,8,9,8,9,8,8,8,6,8,11,6,7,9,9,6,7,8,8,8,7,11,7,9,5,7,10,8,7,7,6,7,5,7,9,5,5,8,7,7,7,7,8,3,7,7,9,10,8,9,7,7,8,7,6,9,7,8,8,9,7,7,8,7,6,5,8,7,10,7,7,10,9,7,8
random--la36,5,7,6,6,5,3,6,5,4,3,4,4,5,4,6,7,7,3,3,9,4,3,7,4,5,4,9,4,6,6,6,10,7,4,6,8,5,4,6,5,7,6,5,7,7,5,6,6,5,8,6,4,4,7,6,2,5,5,6,7,4,9,4,9,3,7,8,6,7,5,3,4,3,5,6,4,6,8,5,6,5,4,4,1,4,7,8,6,8,5,4,5,5,5,3,5,3,4,5,6,5,4,5,7,5,4,6,5,6,4,4,6,6,6,8
random--la37,9,10,8,10,7,7,11,11,8,9,7,7,8,8,8,11,10,5,7,10,6,6,10,8,9,6,10,9,10,7,8,7,19,10,9,12,7,7,10,7,9,8,9,9,10,10,13,10,10,10,9,8,8,12,10,5,7,9,11,12,8,10,10,10,7,10,10,9,10,7,7,7,7,7,9,6,7,12,10,7,7,9,8,4,9,9,10,10,9,10,8,8,8,8,9,10,8,8,10,9,11,9,9,9,11,9,10,11,10,8,8,9,11,12,9
random--la38,8,6,8,11,9,6,7,10,8,11,6,8,6,7,8,9,6,5,6,9,7,5,7,7,8,5,7,6,8,8,6,4,10,17,10,9,6,7,10,8,9,7,10,7,6,9,11,8,11,8,11,7,7,8,12,6,6,9,8,11,6,10,7,9,7,8,9,12,8,7,8,6,9,7,6,8,4,8,9,6,8,10,8,5,8,8,7,11,7,8,8,8,9,9,11,9,7,8,10,8,11,9,11,9,8,9,9,9,10,9,7,6,9,9,8
random--la310,12,8,9,12,10,5,12,14,10,12,8,10,10,9,9,9,11,7,8,10,6,9,12,8,11,7,12,10,12,13,9,6,9,10,26,11,9,8,12,11,12,9,10,11,10,11,11,11,11,11,12,8,7,12,11,8,9,10,10,12,9,13,9,13,9,8,12,12,8,7,10,10,9,10,12,8,6,12,9,12,7,10,9,5,9,11,10,11,10,10,11,10,10,11,10,12,8,10,11,12,14,11,12,11,8,8,8,11,12,11,10,10,12,10,10
random--la311,9,10,9,12,11,8,9,10,9,11,8,10,7,8,10,13,10,6,8,12,8,7,13,9,11,9,12,9,10,11,8,8,12,9,11,23,8,9,11,10,12,10,10,10,12,10,11,14,10,11,11,6,8,11,11,6,8,10,13,12,10,11,10,13,8,11,13,11,10,8,7,8,9,11,11,8,9,11,9,7,9,9,7,4,8,10,9,11,11,10,9,9,9,11,9,10,8,9,12,12,11,11,12,11,11,9,10,10,11,7,8,12,13,12,13
random--la318,7,6,8,8,7,4,8,7,5,8,6,7,6,5,8,10,8,5,6,7,5,4,9,5,7,4,9,7,7,9,8,5,7,6,9,8,12,6,9,7,9,5,8,6,8,7,7,7,7,8,9,5,7,8,8,6,6,8,8,9,7,8,6,8,7,7,8,10,9,7,8,6,7,7,9,6,4,9,6,7,8,7,9,5,7,7,7,9,7,8,7,6,7,8,6,7,7,7,6,8,8,7,8,7,6,6,7,8,8,8,7,7,8,7,9
random--la321,10,7,8,9,7,5,6,8,7,7,7,7,5,8,8,6,7,6,8,7,5,6,8,8,6,7,7,5,8,7,7,4,7,7,8,9,6,12,8,4,7,6,9,8,9,6,6,8,5,6,6,5,6,8,8,5,7,7,8,10,4,9,6,9,6,8,7,8,6,5,5,5,9,5,5,5,6,7,9,7,7,9,5,3,6,6,6,9,8,8,7,5,7,7,7,7,5,6,9,6,8,6,8,9,6,6,7,8,7,6,8,7,8,7,7
random--la322,11,8,8,12,9,7,11,12,11,10,9,8,9,9,8,11,11,5,7,9,7,8,12,8,10,7,10,9,10,9,9,6,10,10,12,11,9,8,23,14,15,9,11,11,10,12,11,10,12,9,12,9,8,13,10,7,6,12,13,13,10,10,7,11,8,10,14,11,9,8,9,9,9,10,11,7,6,12,8,8,9,10,8,4,9,11,11,13,9,12,8,10,9,8,10,12,9,10,12,11,13,10,12,10,10,10,9,11,11,11,8,11,12,10,11
random--la323,9,7,8,9,9,5,11,12,8,12,6,9,10,9,8,11,8,6,7,8,5,8,10,9,13,7,9,9,7,12,7,5,7,8,11,10,7,4,14,21,12,8,8,10,9,12,8,9,10,9,11,8,7,10,8,7,6,11,10,8,11,10,9,10,6,9,12,8,9,7,8,11,7,9,10,8,6,11,7,8,7,7,8,4,9,9,9,10,8,9,7,7,7,10,10,11,8,10,8,12,10,11,9,7,8,6,10,9,11,11,7,10,14,9,8
random--la42,12,10,9,15,9,6,12,12,10,10,9,9,10,8,9,11,12,6,6,11,5,9,15,8,11,6,10,11,10,10,11,7,9,9,12,12,9,7,15,12,25,8,12,12,9,11,11,9,12,9,13,9,10,13,11,7,6,11,13,12,12,12,8,13,7,9,14,12,9,9,10,10,9,10,10,8,6,14,8,9,11,9,10,5,10,10,12,13,10,11,9,10,10,9,12,13,10,10,9,11,11,10,12,9,7,8,10,12,12,12,9,13,13,11,13
random--la44,7,9,9,8,7,6,9,9,8,8,7,8,7,9,7,11,9,5,6,8,5,7,9,8,8,8,9,8,8,8,8,6,8,7,9,10,5,6,9,8,8,16,7,9,10,7,9,10,9,8,9,8,6,9,9,5,7,7,8,9,10,11,8,9,5,8,10,8,9,7,5,8,5,6,9,7,6,9,8,7,7,6,8,3,7,7,8,8,8,7,7,6,6,7,8,10,7,6,9,9,9,9,7,9,6,5,11,8,10,7,7,11,10,8,8
random--la46,10,8,9,12,9,6,7,10,10,11,7,7,7,8,8,10,8,6,8,9,6,6,9,9,9,6,8,9,8,10,9,5,9,10,10,10,8,9,11,8,12,7,17,9,9,11,8,9,8,9,10,7,7,13,10,6,8,8,11,11,7,13,7,11,7,9,9,12,9,7,7,8,10,8,8,6,5,9,8,8,8,11,8,5,9,9,10,12,9,8,9,8,8,9,9,11,8,8,10,8,11,9,10,10,7,9,9,10,12,10,8,9,10,9,10
random--la49,11,8,7,10,9,6,11,9,9,8,7,7,9,10,8,11,8,7,8,9,6,8,11,8,9,8,11,8,10,9,8,7,9,7,11,10,6,8,11,10,12,9,9,18,9,10,10,9,10,9,11,8,8,11,9,6,7,10,10,11,8,11,7,10,6,9,12,10,9,7,8,8,9,8,9,8,7,12,8,9,9,7,7,4,6,8,11,13,9,10,8,9,9,9,10,11,7,8,10,9,10,10,9,10,7,8,12,9,10,9,9,12,10,10,10
random--la412,11,10,9,10,9,5,9,10,8,8,8,11,8,9,9,11,11,7,8,10,5,7,11,9,9,7,11,10,8,9,9,7,10,6,10,12,8,9,10,9,9,10,9,9,21,9,8,12,9,9,11,8,8,12,11,6,8,12,12,11,9,12,11,12,6,10,13,9,10,9,8,8,7,7,9,6,9,11,8,9,8,10,8,4,7,10,10,11,12,8,7,7,8,9,9,11,8,10,9,10,11,11,10,10,8,9,10,12,10,8,8,10,12,12,10
random--la413,9,8,8,11,8,6,9,11,9,10,7,8,8,8,7,12,9,6,7,9,6,6,10,8,9,6,7,9,11,9,8,5,10,9,11,10,7,6,12,12,11,7,11,10,9,19,10,8,9,11,9,8,7,9,10,8,8,8,10,10,8,11,8,10,7,9,11,11,8,5,8,9,8,10,8,7,6,11,10,9,7,9,8,5,9,9,10,11,9,10,9,9,8,8,9,11,9,8,10,10,11,10,11,9,8,8,9,8,9,10,7,9,12,11,10
random--la414,8,10,8,11,7,6,9,8,9,10,7,7,9,7,6,11,10,6,7,11,7,7,8,8,10,5,8,9,9,7,8,6,13,11,11,11,7,6,11,8,11,9,8,10,8,10,19,10,12,10,10,7,7,10,11,7,6,8,8,11,9,10,8,9,7,8,9,9,10,7,7,7,7,9,8,8,7,11,9,8,8,7,8,4,9,10,10,13,9,9,8,9,8,8,8,10,8,7,10,10,11,10,10,9,9,8,11,10,9,9,6,11,11,8,9
random--la415,9,9,8,9,9,6,8,10,8,8,7,10,7,9,9,12,9,6,10,10,6,7,10,9,11,8,12,10,9,10,8,6,10,8,11,14,7,8,10,9,9,10,9,9,12,8,10,21,9,8,11,8,7,12,13,5,9,9,10,12,11,13,11,11,6,10,12,10,12,9,7,9,7,7,8,8,10,11,8,8,9,10,10,3,7,8,9,11,11,9,7,8,9,8,8,9,8,10,10,10,10,12,9,11,8,7,9,11,10,7,8,13,12,10,10
random--la53,9,7,8,11,9,7,9,9,7,9,7,10,7,7,9,10,9,4,6,9,9,7,11,7,10,6,9,9,11,9,6,5,10,11,11,10,7,5,12,10,12,9,8,10,9,9,12,9,22,9,12,9,9,12,12,7,8,10,9,12,10,9,9,13,7,8,14,10,9,10,7,9,8,11,10,9,6,10,8,6,8,9,10,5,7,9,10,10,8,10,8,8,8,9,12,12,9,10,10,9,12,11,11,9,10,12,10,12,13,8,8,9,11,9,10
random--la56,8,10,8,10,8,7,9,11,8,10,6,7,7,8,7,13,9,5,7,10,5,5,10,8,8,8,9,9,8,8,8,8,10,8,11,11,8,6,9,9,9,8,9,9,9,11,10,8,9,20,11,7,7,9,11,6,8,7,12,10,7,12,11,11,6,12,10,8,8,6,6,8,5,8,11,6,6,10,10,9,9,7,7,4,7,9,8,9,9,8,8,7,9,7,8,11,8,8,9,10,8,11,10,8,8,6,11,9,11,6,7,9,12,11,10
random--la57,9,10,9,13,10,8,11,12,8,13,9,12,9,8,9,12,13,6,7,11,8,7,13,9,12,8,11,10,9,13,11,6,9,11,12,11,9,6,12,11,13,9,10,11,11,9,10,11,12,11,29,9,9,12,12,8,7,13,10,10,12,13,12,14,8,12,14,11,12,10,9,11,8,9,10,11,7,13,8,9,12,11,12,5,8,10,10,15,12,11,8,9,10,9,11,14,10,14,11,11,12,13,12,12,11,10,11,13,14,10,8,12,14,10,12
random--la58,8,7,6,8,6,4,8,9,7,7,6,7,8,7,6,9,7,5,5,8,6,6,8,7,8,5,9,9,10,7,6,4,8,7,8,6,5,5,9,8,9,8,7,8,8,8,7,8,9,7,9,13,8,11,7,5,6,8,8,9,8,8,8,9,5,7,9,8,9,7,6,7,6,6,8,7,5,7,6,6,7,7,7,4,7,6,8,9,6,7,6,7,7,7,8,10,6,8,10,7,8,8,7,9,7,7,7,9,9,8,7,9,8,8,7
random--la59,8,7,7,7,7,6,7,7,6,9,6,8,7,6,7,10,8,5,5,7,6,7,10,6,10,6,8,7,7,8,7,4,8,7,7,8,7,6,8,7,10,6,7,8,8,7,7,7,9,7,9,8,12,10,9,6,6,9,9,7,9,7,7,9,5,7,9,8,9,8,6,8,7,7,8,7,5,9,6,5,9,8,8,5,7,8,7,9,8,8,7,7,8,8,8,8,6,8,7,7,9,8,7,8,7,7,7,8,7,7,7,8,8,8,9
random--la510,12,10,10,11,10,6,10,13,8,10,8,10,10,9,9,12,11,7,9,11,7,10,13,10,12,7,11,11,11,9,9,7,12,8,12,11,8,8,13,10,13,9,13,11,12,9,10,12,12,9,12,11,10,21,12,7,9,13,12,12,10,11,9,12,7,9,12,12,12,10,8,9,9,9,10,9,8,12,10,9,10,11,9,5,9,11,11,13,11,10,8,9,10,9,10,12,8,11,10,10,12,12,11,13,8,9,10,12,11,11,9,13,11,12,10
