road,random--la17,random--la18,random--la1018,random--la219,random--la31,random--la310,random--la311,random--la322,random--la46,random--la49,random--la412,random--la53,random--la510,random--la511,random--la61,random--la66,random--la610,random--la616,random--la619,random--la627,random--la75,random--la713,random--la714,random--la84,random--la85,random--la811,random--la814,random--la816,random--la912,random--la921
random--la17,1.0,0.921875,0.98046875,0.921875,0.90625,0.98046875,0.953125,0.9296875,0.9375,0.98046875,0.9609375,0.94921875,0.94921875,0.97265625,0.93359375,0.921875,0.97265625,0.9765625,0.9453125,0.984375,0.97265625,0.99609375,0.95703125,0.92578125,0.96484375,0.93359375,0.95703125,0.97265625,0.98828125,0.953125
random--la18,0.921875,1.0,0.92578125,0.9375,0.9296875,0.92578125,0.953125,0.953125,0.9375,0.91796875,0.9296875,0.92578125,0.93359375,0.93359375,0.94921875,0.9453125,0.94921875,0.921875,0.9375,0.9375,0.91796875,0.91796875,0.91796875,0.91796875,0.91796875,0.96484375,0.94140625,0.92578125,0.93359375,0.90625
random--la1018,0.98046875,0.92578125,1.0,0.91796875,0.90234375,0.96875,0.95703125,0.91796875,0.94140625,0.96875,0.95703125,0.9453125,0.9453125,0.984375,0.9375,0.91796875,0.96875,0.96484375,0.93359375,0.98828125,0.96875,0.9765625,0.96875,0.9296875,0.96875,0.9375,0.953125,0.9609375,0.9765625,0.93359375
random--la219,0.921875,0.9375,0.91796875,1.0,0.8828125,0.93359375,0.953125,0.953125,0.890625,0.91015625,0.9609375,0.92578125,0.93359375,0.91796875,0.89453125,0.890625,0.92578125,0.9375,0.9296875,0.9296875,0.91796875,0.91796875,0.93359375,0.93359375,0.93359375,0.91796875,0.91796875,0.91796875,0.91796875,0.953125
random--la31,0.90625,0.9296875,0.90234375,0.8828125,1.0,0.90234375,0.8828125,0.9140625,0.921875,0.91015625,0.8984375,0.90234375,0.90234375,0.91015625,0.93359375,0.9296875,0.91796875,0.90625,0.875,0.9140625,0.90234375,0.90234375,0.91796875,0.88671875,0.91796875,0.93359375,0.91796875,0.91796875,0.91796875,0.8984375
random--la310,0.98046875,0.92578125,0.96875,0.93359375,0.90234375,1.0,0.96484375,0.93359375,0.92578125,0.96875,0.97265625,0.96875,0.9609375,0.96875,0.9296875,0.91015625,0.953125,0.98828125,0.93359375,0.98046875,0.9765625,0.9765625,0.9609375,0.9296875,0.9765625,0.9296875,0.953125,0.96875,0.9765625,0.95703125
random--la311,0.953125,0.953125,0.95703125,0.953125,0.8828125,0.96484375,1.0,0.953125,0.90625,0.94921875,0.9609375,0.94140625,0.95703125,0.94140625,0.91015625,0.90625,0.94921875,0.953125,0.9609375,0.9609375,0.94921875,0.94921875,0.93359375,0.94140625,0.95703125,0.92578125,0.93359375,0.94921875,0.94921875,0.9296875
random--la322,0.9296875,0.953125,0.91796875,0.953125,0.9140625,0.93359375,0.953125,1.0,0.90625,0.92578125,0.9375,0.92578125,0.94140625,0.93359375,0.90234375,0.90625,0.94140625,0.9375,0.9453125,0.9296875,0.92578125,0.92578125,0.92578125,0.94921875,0.93359375,0.92578125,0.93359375,0.93359375,0.93359375,0.921875
random--la46,0.9375,0.9375,0.94140625,0.890625,0.921875,0.92578125,0.90625,0.90625,1.0,0.93359375,0.9140625,0.94921875,0.91796875,0.94921875,0.96484375,0.9296875,0.94921875,0.921875,0.921875,0.9453125,0.91796875,0.93359375,0.92578125,0.89453125,0.91796875,0.94921875,0.97265625,0.92578125,0.94140625,0.8984375
random--la49,0.98046875,0.91796875,0.96875,0.91015625,0.91015625,0.96875,0.94921875,0.92578125,0.93359375,1.0,0.94921875,0.953125,0.9609375,0.96875,0.9296875,0.91015625,0.96875,0.95703125,0.94921875,0.97265625,0.9609375,0.984375,0.953125,0.9296875,0.953125,0.9296875,0.953125,0.9609375,0.96875,0.93359375
random--la412,0.9609375,0.9296875,0.95703125,0.9609375,0.8984375,0.97265625,0.9609375,0.9375,0.9140625,0.94921875,1.0,0.94921875,0.95703125,0.95703125,0.91796875,0.8984375,0.95703125,0.96875,0.9296875,0.96875,0.95703125,0.95703125,0.96484375,0.94140625,0.96484375,0.93359375,0.94140625,0.95703125,0.95703125,0.96875
random--la53,0.94921875,0.92578125,0.9453125,0.92578125,0.90234375,0.96875,0.94140625,0.92578125,0.94921875,0.953125,0.94921875,1.0,0.96875,0.953125,0.953125,0.91015625,0.9453125,0.96484375,0.94140625,0.95703125,0.9453125,0.9453125,0.9453125,0.921875,0.953125,0.9375,0.9765625,0.9453125,0.9453125,0.94140625
random--la510,0.94921875,0.93359375,0.9453125,0.93359375,0.90234375,0.9609375,0.95703125,0.94140625,0.91796875,0.9609375,0.95703125,0.96875,1.0,0.9453125,0.921875,0.90234375,0.9609375,0.95703125,0.94140625,0.94921875,0.9609375,0.953125,0.9375,0.9296875,0.953125,0.9375,0.9453125,0.9453125,0.9453125,0.94921875
random--la511,0.97265625,0.93359375,0.984375,0.91796875,0.91015625,0.96875,0.94140625,0.93359375,0.94921875,0.96875,0.95703125,0.953125,0.9453125,1.0,0.9453125,0.91796875,0.9765625,0.96484375,0.93359375,0.98046875,0.9609375,0.96875,0.9765625,0.9453125,0.9609375,0.9453125,0.9609375,0.9609375,0.9765625,0.93359375
random--la61,0.93359375,0.94921875,0.9375,0.89453125,0.93359375,0.9296875,0.91015625,0.90234375,0.96484375,0.9296875,0.91796875,0.953125,0.921875,0.9453125,1.0,0.95703125,0.9453125,0.92578125,0.91796875,0.94921875,0.921875,0.9296875,0.921875,0.890625,0.921875,0.9609375,0.96875,0.9375,0.9453125,0.90234375
random--la66,0.921875,0.9453125,0.91796875,0.890625,0.9296875,0.91015625,0.90625,0.90625,0.9296875,0.91015625,0.8984375,0.91015625,0.90234375,0.91796875,0.95703125,1.0,0.92578125,0.90625,0.90625,0.9296875,0.91015625,0.91796875,0.90234375,0.87109375,0.91015625,0.94140625,0.93359375,0.93359375,0.93359375,0.890625
random--la610,0.97265625,0.94921875,0.96875,0.92578125,0.91796875,0.953125,0.94921875,0.94140625,0.94921875,0.96875,0.95703125,0.9453125,0.9609375,0.9765625,0.9453125,0.92578125,1.0,0.94921875,0.94921875,0.97265625,0.953125,0.96875,0.953125,0.9375,0.9453125,0.9609375,0.9609375,0.9609375,0.9765625,0.94140625
random--la616,0.9765625,0.921875,0.96484375,0.9375,0.90625,0.98828125,0.953125,0.9375,0.921875,0.95703125,0.96875,0.96484375,0.95703125,0.96484375,0.92578125,0.90625,0.94921875,1.0,0.9296875,0.9765625,0.97265625,0.97265625,0.96484375,0.93359375,0.98046875,0.92578125,0.94921875,0.96484375,0.97265625,0.96875
random--la619,0.9453125,0.9375,0.93359375,0.9296875,0.875,0.93359375,0.9609375,0.9453125,0.921875,0.94921875,0.9296875,0.94140625,0.94140625,0.93359375,0.91796875,0.90625,0.94921875,0.9296875,1.0,0.9375,0.91796875,0.94140625,0.91796875,0.94140625,0.91796875,0.91796875,0.93359375,0.92578125,0.93359375,0.9140625
random--la627,0.984375,0.9375,0.98828125,0.9296875,0.9140625,0.98046875,0.9609375,0.9296875,0.9453125,0.97265625,0.96875,0.95703125,0.94921875,0.98046875,0.94921875,0.9296875,0.97265625,0.9765625,0.9375,1.0,0.97265625,0.98046875,0.96484375,0.92578125,0.97265625,0.94921875,0.96484375,0.97265625,0.98828125,0.9453125
random--la75,0.97265625,0.91796875,0.96875,0.91796875,0.90234375,0.9765625,0.94921875,0.92578125,0.91796875,0.9609375,0.95703125,0.9453125,0.9609375,0.9609375,0.921875,0.91015625,0.953125,0.97265625,0.91796875,0.97265625,1.0,0.9765625,0.953125,0.90625,0.96875,0.921875,0.9375,0.9609375,0.9765625,0.94921875
random--la713,0.99609375,0.91796875,0.9765625,0.91796875,0.90234375,0.9765625,0.94921875,0.92578125,0.93359375,0.984375,0.95703125,0.9453125,0.953125,0.96875,0.9296875,0.91796875,0.96875,0.97265625,0.94140625,0.98046875,0.9765625,1.0,0.953125,0.921875,0.9609375,0.9296875,0.953125,0.96875,0.984375,0.94921875
random--la714,0.95703125,0.91796875,0.96875,0.93359375,0.91796875,0.9609375,0.93359375,0.92578125,0.92578125,0.953125,0.96484375,0.9453125,0.9375,0.9765625,0.921875,0.90234375,0.953125,0.96484375,0.91796875,0.96484375,0.953125,0.953125,1.0,0.9375,0.96875,0.9296875,0.9375,0.9453125,0.953125,0.94921875
random--la84,0.92578125,0.91796875,0.9296875,0.93359375,0.88671875,0.9296875,0.94140625,0.94921875,0.89453125,0.9296875,0.94140625,0.921875,0.9296875,0.9453125,0.890625,0.87109375,0.9375,0.93359375,0.94140625,0.92578125,0.90625,0.921875,0.9375,1.0,0.9296875,0.90625,0.9140625,0.9140625,0.921875,0.92578125
random--la85,0.96484375,0.91796875,0.96875,0.93359375,0.91796875,0.9765625,0.95703125,0.93359375,0.91796875,0.953125,0.96484375,0.953125,0.953125,0.9609375,0.921875,0.91015625,0.9453125,0.98046875,0.91796875,0.97265625,0.96875,0.9609375,0.96875,0.9296875,1.0,0.9296875,0.9453125,0.9609375,0.9609375,0.94921875
random--la811,0.93359375,0.96484375,0.9375,0.91796875,0.93359375,0.9296875,0.92578125,0.92578125,0.94921875,0.9296875,0.93359375,0.9375,0.9375,0.9453125,0.9609375,0.94140625,0.9609375,0.92578125,0.91796875,0.94921875,0.921875,0.9296875,0.9296875,0.90625,0.9296875,1.0,0.9609375,0.9296875,0.9453125,0.91796875
random--la814,0.95703125,0.94140625,0.953125,0.91796875,0.91796875,0.953125,0.93359375,0.93359375,0.97265625,0.953125,0.94140625,0.9765625,0.9453125,0.9609375,0.96875,0.93359375,0.9609375,0.94921875,0.93359375,0.96484375,0.9375,0.953125,0.9375,0.9140625,0.9453125,0.9609375,1.0,0.953125,0.9609375,0.92578125
random--la816,0.97265625,0.92578125,0.9609375,0.91796875,0.91796875,0.96875,0.94921875,0.93359375,0.92578125,0.9609375,0.95703125,0.9453125,0.9453125,0.9609375,0.9375,0.93359375,0.9609375,0.96484375,0.92578125,0.97265625,0.9609375,0.96875,0.9453125,0.9140625,0.9609375,0.9296875,0.953125,1.0,0.9765625,0.94140625
random--la912,0.98828125,0.93359375,0.9765625,0.91796875,0.91796875,0.9765625,0.94921875,0.93359375,0.94140625,0.96875,0.95703125,0.9453125,0.9453125,0.9765625,0.9453125,0.93359375,0.9765625,0.97265625,0.93359375,0.98828125,0.9765625,0.984375,0.953125,0.921875,0.9609375,0.9453125,0.9609375,0.9765625,1.0,0.94921875
