road,one-plus-o29,random--la114,random--la123,random--la1014,random--la1017,random--la1021,random--la1022,random--la214,random--la231,random--la232,random--la314,random--la413,random--la425,random--la430,random--la435,random--la52,random--la519,random--la523,random--la531,random--la68,random--la614,random--la635,random--la653,random--la654,random--la655,random--la658,random--la661,random--la732,random--la83,random--la828
random--la435,0.7,0.7,0.7777777777777778,0.7,0.7777777777777778,0.7272727272727273,0.6,0.6666666666666666,1.0,0.6363636363636364,0.8888888888888888,0.8888888888888888,0.7,0.8,1.0,1.0,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.7,0.7,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6363636363636364
random--la52,0.7,0.7,0.7777777777777778,0.7,0.7777777777777778,0.7272727272727273,0.6,0.6666666666666666,1.0,0.6363636363636364,0.8888888888888888,0.8888888888888888,0.7,0.8,1.0,1.0,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.7,0.7,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6363636363636364
random--la519,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.8181818181818182,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.6363636363636364,0.5833333333333334,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5833333333333334,0.5833333333333334,1.0,0.9090909090909091,0.6363636363636364,0.5,0.8181818181818182,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6363636363636364,0.6363636363636364,0.6923076923076923,0.9090909090909091
random--la523,0.5833333333333334,0.7272727272727273,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.9090909090909091,0.6363636363636364,0.7,0.6363636363636364,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.5833333333333334,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.9090909090909091,1.0,0.7,0.5454545454545454,0.9,0.7272727272727273,0.8,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.7,0.7,0.6153846153846154,0.8181818181818182
random--la531,0.6,0.6,0.5,0.6,0.6666666666666666,0.6363636363636364,0.6666666666666666,0.75,0.6666666666666666,0.7,0.6,0.6,0.6,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.7,1.0,0.5555555555555556,0.7777777777777778,0.6,0.875,0.6,0.6,0.6666666666666666,0.5555555555555556,0.75,0.5,0.5454545454545454
random--la68,0.45454545454545453,0.45454545454545453,0.5,0.6,0.5,0.5,0.5,0.5555555555555556,0.6666666666666666,0.7,0.6,0.6,0.45454545454545453,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.5,0.5454545454545454,0.5555555555555556,1.0,0.6,0.6,0.6666666666666666,0.6,0.6,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5,0.5454545454545454
random--la614,0.6363636363636364,0.8,0.7,0.8,0.5454545454545454,0.8181818181818182,0.7,0.7777777777777778,0.7,0.9,0.8,0.6363636363636364,0.5,0.7272727272727273,0.7,0.7,0.8181818181818182,0.9,0.7777777777777778,0.6,1.0,0.8,0.8888888888888888,0.8,0.8,0.7,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7272727272727273
random--la635,0.6363636363636364,0.8,0.7,0.6363636363636364,0.5454545454545454,0.8181818181818182,0.8888888888888888,0.6,0.7,0.7272727272727273,0.8,0.6363636363636364,0.5,0.7272727272727273,0.7,0.7,0.6666666666666666,0.7272727272727273,0.6,0.6,0.8,1.0,0.7,0.8,0.8,0.7,0.6,0.6,0.6666666666666666,0.5833333333333334
random--la653,0.7,0.7,0.6,0.7,0.6,0.7272727272727273,0.6,0.6666666666666666,0.7777777777777778,0.8,0.7,0.7,0.5454545454545454,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.7272727272727273,0.8,0.875,0.6666666666666666,0.8888888888888888,0.7,1.0,0.7,0.7,0.7777777777777778,0.6666666666666666,0.875,0.5833333333333334,0.6363636363636364
random--la654,0.6363636363636364,0.8,0.8888888888888888,0.8,0.7,0.8181818181818182,0.7,0.7777777777777778,0.8888888888888888,0.7272727272727273,1.0,0.8,0.6363636363636364,0.9,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.7272727272727273,0.6,0.6,0.8,0.8,0.7,1.0,1.0,0.8888888888888888,0.7777777777777778,0.6,0.6666666666666666,0.7272727272727273
random--la655,0.6363636363636364,0.8,0.8888888888888888,0.8,0.7,0.8181818181818182,0.7,0.7777777777777778,0.8888888888888888,0.7272727272727273,1.0,0.8,0.6363636363636364,0.9,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.7272727272727273,0.6,0.6,0.8,0.8,0.7,1.0,1.0,0.8888888888888888,0.7777777777777778,0.6,0.6666666666666666,0.7272727272727273
random--la658,0.7,0.7,0.7777777777777778,0.7,0.7777777777777778,0.7272727272727273,0.6,0.6666666666666666,1.0,0.6363636363636364,0.8888888888888888,0.8888888888888888,0.7,0.8,1.0,1.0,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.7,0.7,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6363636363636364
random--la661,0.45454545454545453,0.7777777777777778,0.875,0.7777777777777778,0.5,0.6363636363636364,0.5,0.75,0.6666666666666666,0.7,0.7777777777777778,0.6,0.45454545454545453,0.7,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.7,0.5555555555555556,0.5555555555555556,0.7777777777777778,0.6,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.6666666666666666,1.0,0.5555555555555556,0.5,0.7
random--la732,0.6,0.6,0.5,0.6,0.5,0.6363636363636364,0.5,0.5555555555555556,0.6666666666666666,0.7,0.6,0.6,0.45454545454545453,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.7,0.75,0.5555555555555556,0.7777777777777778,0.6,0.875,0.6,0.6,0.6666666666666666,0.5555555555555556,1.0,0.5,0.5454545454545454
random--la83,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.46153846153846156,0.6923076923076923,0.5833333333333334,0.5,0.5833333333333334,0.75,0.6666666666666666,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.5833333333333334,0.5833333333333334,0.6923076923076923,0.6153846153846154,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5,0.5,1.0,0.6153846153846154
random--la828,0.5833333333333334,0.5833333333333334,0.6363636363636364,0.9,0.6363636363636364,0.75,0.5,0.7,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.5833333333333334,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.7,0.5454545454545454,0.6153846153846154,1.0
