road,random--la11,random--la117,random--la1018,random--la23,random--la24,random--la222,random--la38,random--la318,random--la415,random--la56,random--la57,random--la511,random--la63,random--la614,random--la617,random--la621,random--la622,random--la626,random--la74,random--la77,random--la79,random--la810,random--la811,random--la819,random--la820,random--la821,random--la822,random--la914,random--la921,random--la922
random--la11,1.0,0.5,0.5,0.5,0.375,0.4375,0.5,0.4375,0.5625,0.5,0.6875,0.4375,0.5,0.4375,0.5625,0.4375,0.5,0.375,0.375,0.5,0.5,0.5625,0.5,0.5625,0.5625,0.5,0.4375,0.4375,0.6875,0.4375
random--la117,0.5,1.0,0.875,0.75,0.875,0.8125,0.875,0.8125,0.9375,0.75,0.6875,0.8125,0.875,0.9375,0.8125,0.9375,0.75,0.875,0.875,0.875,0.875,0.5625,0.875,0.8125,0.8125,0.75,0.8125,0.9375,0.6875,0.4375
random--la1018,0.5,0.875,1.0,0.875,0.875,0.9375,0.75,0.9375,0.8125,0.875,0.8125,0.9375,1.0,0.9375,0.6875,0.9375,0.875,0.875,0.875,0.75,0.75,0.6875,0.75,0.9375,0.9375,0.875,0.9375,0.9375,0.6875,0.5625
random--la23,0.5,0.75,0.875,1.0,0.875,0.9375,0.625,0.9375,0.6875,1.0,0.8125,0.9375,0.875,0.8125,0.5625,0.8125,1.0,0.875,0.875,0.625,0.75,0.8125,0.625,0.9375,0.9375,1.0,0.9375,0.8125,0.6875,0.6875
random--la24,0.375,0.875,0.875,0.875,1.0,0.9375,0.75,0.9375,0.8125,0.875,0.6875,0.9375,0.875,0.9375,0.6875,0.9375,0.875,1.0,1.0,0.75,0.875,0.6875,0.75,0.8125,0.8125,0.875,0.9375,0.9375,0.5625,0.5625
random--la222,0.4375,0.8125,0.9375,0.9375,0.9375,1.0,0.6875,1.0,0.75,0.9375,0.75,1.0,0.9375,0.875,0.625,0.875,0.9375,0.9375,0.9375,0.6875,0.8125,0.75,0.6875,0.875,0.875,0.9375,1.0,0.875,0.625,0.625
random--la38,0.5,0.875,0.75,0.625,0.75,0.6875,1.0,0.6875,0.9375,0.625,0.5625,0.6875,0.75,0.8125,0.9375,0.8125,0.625,0.75,0.75,1.0,0.875,0.4375,1.0,0.6875,0.6875,0.625,0.6875,0.8125,0.5625,0.3125
random--la318,0.4375,0.8125,0.9375,0.9375,0.9375,1.0,0.6875,1.0,0.75,0.9375,0.75,1.0,0.9375,0.875,0.625,0.875,0.9375,0.9375,0.9375,0.6875,0.8125,0.75,0.6875,0.875,0.875,0.9375,1.0,0.875,0.625,0.625
random--la415,0.5625,0.9375,0.8125,0.6875,0.8125,0.75,0.9375,0.75,1.0,0.6875,0.625,0.75,0.8125,0.875,0.875,0.875,0.6875,0.8125,0.8125,0.9375,0.9375,0.5,0.9375,0.75,0.75,0.6875,0.75,0.875,0.625,0.375
random--la56,0.5,0.75,0.875,1.0,0.875,0.9375,0.625,0.9375,0.6875,1.0,0.8125,0.9375,0.875,0.8125,0.5625,0.8125,1.0,0.875,0.875,0.625,0.75,0.8125,0.625,0.9375,0.9375,1.0,0.9375,0.8125,0.6875,0.6875
random--la57,0.6875,0.6875,0.8125,0.8125,0.6875,0.75,0.5625,0.75,0.625,0.8125,1.0,0.75,0.8125,0.75,0.5,0.75,0.8125,0.6875,0.6875,0.5625,0.5625,0.875,0.5625,0.875,0.875,0.8125,0.75,0.75,0.875,0.75
random--la511,0.4375,0.8125,0.9375,0.9375,0.9375,1.0,0.6875,1.0,0.75,0.9375,0.75,1.0,0.9375,0.875,0.625,0.875,0.9375,0.9375,0.9375,0.6875,0.8125,0.75,0.6875,0.875,0.875,0.9375,1.0,0.875,0.625,0.625
random--la63,0.5,0.875,1.0,0.875,0.875,0.9375,0.75,0.9375,0.8125,0.875,0.8125,0.9375,1.0,0.9375,0.6875,0.9375,0.875,0.875,0.875,0.75,0.75,0.6875,0.75,0.9375,0.9375,0.875,0.9375,0.9375,0.6875,0.5625
random--la614,0.4375,0.9375,0.9375,0.8125,0.9375,0.875,0.8125,0.875,0.875,0.8125,0.75,0.875,0.9375,1.0,0.75,1.0,0.8125,0.9375,0.9375,0.8125,0.8125,0.625,0.8125,0.875,0.875,0.8125,0.875,1.0,0.625,0.5
random--la617,0.5625,0.8125,0.6875,0.5625,0.6875,0.625,0.9375,0.625,0.875,0.5625,0.5,0.625,0.6875,0.75,1.0,0.75,0.5625,0.6875,0.6875,0.9375,0.8125,0.375,0.9375,0.625,0.625,0.5625,0.625,0.75,0.5,0.25
random--la621,0.4375,0.9375,0.9375,0.8125,0.9375,0.875,0.8125,0.875,0.875,0.8125,0.75,0.875,0.9375,1.0,0.75,1.0,0.8125,0.9375,0.9375,0.8125,0.8125,0.625,0.8125,0.875,0.875,0.8125,0.875,1.0,0.625,0.5
random--la622,0.5,0.75,0.875,1.0,0.875,0.9375,0.625,0.9375,0.6875,1.0,0.8125,0.9375,0.875,0.8125,0.5625,0.8125,1.0,0.875,0.875,0.625,0.75,0.8125,0.625,0.9375,0.9375,1.0,0.9375,0.8125,0.6875,0.6875
random--la626,0.375,0.875,0.875,0.875,1.0,0.9375,0.75,0.9375,0.8125,0.875,0.6875,0.9375,0.875,0.9375,0.6875,0.9375,0.875,1.0,1.0,0.75,0.875,0.6875,0.75,0.8125,0.8125,0.875,0.9375,0.9375,0.5625,0.5625
random--la74,0.375,0.875,0.875,0.875,1.0,0.9375,0.75,0.9375,0.8125,0.875,0.6875,0.9375,0.875,0.9375,0.6875,0.9375,0.875,1.0,1.0,0.75,0.875,0.6875,0.75,0.8125,0.8125,0.875,0.9375,0.9375,0.5625,0.5625
random--la77,0.5,0.875,0.75,0.625,0.75,0.6875,1.0,0.6875,0.9375,0.625,0.5625,0.6875,0.75,0.8125,0.9375,0.8125,0.625,0.75,0.75,1.0,0.875,0.4375,1.0,0.6875,0.6875,0.625,0.6875,0.8125,0.5625,0.3125
random--la79,0.5,0.875,0.75,0.75,0.875,0.8125,0.875,0.8125,0.9375,0.75,0.5625,0.8125,0.75,0.8125,0.8125,0.8125,0.75,0.875,0.875,0.875,1.0,0.5625,0.875,0.6875,0.6875,0.75,0.8125,0.8125,0.5625,0.4375
random--la810,0.5625,0.5625,0.6875,0.8125,0.6875,0.75,0.4375,0.75,0.5,0.8125,0.875,0.75,0.6875,0.625,0.375,0.625,0.8125,0.6875,0.6875,0.4375,0.5625,1.0,0.4375,0.75,0.75,0.8125,0.75,0.625,0.875,0.875
random--la811,0.5,0.875,0.75,0.625,0.75,0.6875,1.0,0.6875,0.9375,0.625,0.5625,0.6875,0.75,0.8125,0.9375,0.8125,0.625,0.75,0.75,1.0,0.875,0.4375,1.0,0.6875,0.6875,0.625,0.6875,0.8125,0.5625,0.3125
random--la819,0.5625,0.8125,0.9375,0.9375,0.8125,0.875,0.6875,0.875,0.75,0.9375,0.875,0.875,0.9375,0.875,0.625,0.875,0.9375,0.8125,0.8125,0.6875,0.6875,0.75,0.6875,1.0,1.0,0.9375,0.875,0.875,0.75,0.625
random--la820,0.5625,0.8125,0.9375,0.9375,0.8125,0.875,0.6875,0.875,0.75,0.9375,0.875,0.875,0.9375,0.875,0.625,0.875,0.9375,0.8125,0.8125,0.6875,0.6875,0.75,0.6875,1.0,1.0,0.9375,0.875,0.875,0.75,0.625
random--la821,0.5,0.75,0.875,1.0,0.875,0.9375,0.625,0.9375,0.6875,1.0,0.8125,0.9375,0.875,0.8125,0.5625,0.8125,1.0,0.875,0.875,0.625,0.75,0.8125,0.625,0.9375,0.9375,1.0,0.9375,0.8125,0.6875,0.6875
random--la822,0.4375,0.8125,0.9375,0.9375,0.9375,1.0,0.6875,1.0,0.75,0.9375,0.75,1.0,0.9375,0.875,0.625,0.875,0.9375,0.9375,0.9375,0.6875,0.8125,0.75,0.6875,0.875,0.875,0.9375,1.0,0.875,0.625,0.625
random--la914,0.4375,0.9375,0.9375,0.8125,0.9375,0.875,0.8125,0.875,0.875,0.8125,0.75,0.875,0.9375,1.0,0.75,1.0,0.8125,0.9375,0.9375,0.8125,0.8125,0.625,0.8125,0.875,0.875,0.8125,0.875,1.0,0.625,0.5
